pluie,mean_std,stddev_std,mean_rad,stddev_rad,window_start,window_end
0,-22.47699,,-29.488352,,2022-06-16T19:01:00.000+02:00,2022-06-16T19:02:00.000+02:00
0,-24.353054,,-31.158451,,2022-12-06T13:04:00.000+01:00,2022-12-06T13:05:00.000+01:00
0,-20.427628,,-28.96172,,2022-12-26T20:30:00.000+01:00,2022-12-26T20:31:00.000+01:00
1,-22.41875,,-29.29304,,2022-06-15T03:29:00.000+02:00,2022-06-15T03:30:00.000+02:00
0,-22.724857,,-29.600924,,2022-12-08T03:48:00.000+01:00,2022-12-08T03:49:00.000+01:00
0,-22.07358,,-29.347017,,2022-08-10T19:45:00.000+02:00,2022-08-10T19:46:00.000+02:00
0,-20.480894,,-28.941477,,2022-12-29T19:02:00.000+01:00,2022-12-29T19:03:00.000+01:00
0,-22.195383,,-29.18757,,2022-06-06T06:32:00.000+02:00,2022-06-06T06:33:00.000+02:00
0,,,,,2022-05-30T21:40:00.000+02:00,2022-05-30T21:41:00.000+02:00
0,-23.430113,,-30.38821,,2022-10-25T03:46:00.000+02:00,2022-10-25T03:47:00.000+02:00
0,-23.60199,,-30.568607,,2022-10-21T13:34:00.000+02:00,2022-10-21T13:35:00.000+02:00
0,-22.521023,,-29.62507,,2022-08-18T11:07:00.000+02:00,2022-08-18T11:08:00.000+02:00
0,-22.45142,,-29.54446,,2022-06-06T12:08:00.000+02:00,2022-06-06T12:09:00.000+02:00
0,-22.603054,,-30.142117,,2022-11-08T03:00:00.000+01:00,2022-11-08T03:01:00.000+01:00
1,-22.371521,,-28.566122,,2022-05-20T03:21:00.000+02:00,2022-05-20T03:22:00.000+02:00
0,-23.905966,,-30.877201,,2022-10-18T13:34:00.000+02:00,2022-10-18T13:35:00.000+02:00
0,-22.099857,,-29.17017,,2022-07-19T05:07:00.000+02:00,2022-07-19T05:08:00.000+02:00
0,-22.207813,,-29.36797,,2022-08-03T23:01:00.000+02:00,2022-08-03T23:02:00.000+02:00
0,-23.426918,,-30.571804,,2022-11-26T03:20:00.000+01:00,2022-11-26T03:21:00.000+01:00
0,-22.29659,,-29.2,,2022-05-28T04:14:00.000+02:00,2022-05-28T04:15:00.000+02:00
0,-23.302273,,-30.547657,,2022-12-02T01:43:00.000+01:00,2022-12-02T01:44:00.000+01:00
0,-24.172655,,-31.342756,,2022-11-28T11:47:00.000+01:00,2022-11-28T11:48:00.000+01:00
0,-21.171236,,-29.308664,,2022-12-20T12:36:00.000+01:00,2022-12-20T12:37:00.000+01:00
0,-22.323935,,-29.57074,,2022-07-25T09:23:00.000+02:00,2022-07-25T09:24:00.000+02:00
0,-22.315056,,-29.41449,,2022-12-09T19:58:00.000+01:00,2022-12-09T19:59:00.000+01:00
0,-22.183666,,-29.368324,,2022-09-04T19:34:00.000+02:00,2022-09-04T19:35:00.000+02:00
0,-22.625782,,-30.126137,,2022-11-09T01:41:00.000+01:00,2022-11-09T01:42:00.000+01:00
0,-22.788424,,-29.995455,,2022-11-03T15:32:00.000+01:00,2022-11-03T15:33:00.000+01:00
0,-22.360157,,-29.474503,,2022-07-05T07:45:00.000+02:00,2022-07-05T07:46:00.000+02:00
0,-22.972729,,-30.126137,,2022-11-21T02:33:00.000+01:00,2022-11-21T02:34:00.000+01:00
0,-22.326065,,-29.349857,,2022-06-29T07:55:00.000+02:00,2022-06-29T07:56:00.000+02:00
0,-22.442898,,-29.341335,,2022-06-27T22:05:00.000+02:00,2022-06-27T22:06:00.000+02:00
0,-20.443253,,-28.890697,,2022-12-13T18:16:00.000+01:00,2022-12-13T18:17:00.000+01:00
0,-22.50007,,-29.343466,,2022-06-23T22:32:00.000+02:00,2022-06-23T22:33:00.000+02:00
0,-22.753977,,-29.705326,,2022-10-29T09:34:00.000+02:00,2022-10-29T09:35:00.000+02:00
0,-22.994389,,-30.226635,,2022-10-29T15:29:00.000+02:00,2022-10-29T15:30:00.000+02:00
0,-23.345596,,-30.358736,,2022-10-11T15:17:00.000+02:00,2022-10-11T15:18:00.000+02:00
0,-23.004332,,-28.95568,,2022-09-17T06:38:00.000+02:00,2022-09-17T06:39:00.000+02:00
0,-20.655256,,-29.07358,,2022-12-27T06:27:00.000+01:00,2022-12-27T06:28:00.000+01:00
0,-22.630398,,-29.767826,,2022-07-13T09:27:00.000+02:00,2022-07-13T09:28:00.000+02:00
0,-23.411293,,-30.207813,,2022-10-08T07:05:00.000+02:00,2022-10-08T07:06:00.000+02:00
1,-22.566477,,-29.27919,,2022-09-18T00:00:00.000+02:00,2022-09-18T00:01:00.000+02:00
0,-22.079262,,-29.203907,,2022-08-11T22:47:00.000+02:00,2022-08-11T22:48:00.000+02:00
0,-23.775995,,-30.82074,,2022-11-24T10:21:00.000+01:00,2022-11-24T10:22:00.000+01:00
0,-23.062216,,-29.861576,,2022-10-13T05:58:00.000+02:00,2022-10-13T05:59:00.000+02:00
0,-22.460653,,-29.425142,,2022-08-21T08:33:00.000+02:00,2022-08-21T08:34:00.000+02:00
