_c0,signal_std_final,signal_rad_final,pluie
2022-05-17T08:52:00.000+02:00,-22.377201,-29.495455,0
2022-05-17T08:53:00.000+02:00,-22.354118,-29.496164,0
2022-05-17T08:54:00.000+02:00,-22.377556,-29.491194,0
2022-05-17T08:55:00.000+02:00,-22.370455,-29.499716,0
2022-05-17T08:56:00.000+02:00,-22.378267,-29.501137,0
2022-05-17T08:57:00.000+02:00,-22.391052,-29.509304,0
2022-05-17T08:58:00.000+02:00,-22.385725,-29.501137,0
2022-05-17T08:59:00.000+02:00,-22.369389,-29.498295,0
2022-05-17T09:00:00.000+02:00,-22.376492,-29.482315,0
2022-05-17T09:01:00.000+02:00,-22.332457,-29.466335,0
2022-05-17T09:02:00.000+02:00,-22.35767,-29.48409,0
2022-05-17T09:03:00.000+02:00,-22.371876,-29.474503,0
2022-05-17T09:04:00.000+02:00,-22.376846,-29.474503,0
2022-05-17T09:05:00.000+02:00,-22.384304,-29.474148,0
2022-05-17T09:06:00.000+02:00,-22.37223,-29.453907,0
2022-05-17T09:07:00.000+02:00,-22.377556,-29.43615,0
2022-05-17T09:08:00.000+02:00,-22.3527,-29.446095,0
2022-05-17T09:09:00.000+02:00,-22.405256,-29.45142,0
2022-05-17T09:10:00.000+02:00,-22.385014,-29.440767,0
2022-05-17T09:11:00.000+02:00,-22.370455,-29.444674,0
2022-05-17T09:12:00.000+02:00,-22.365482,-29.443607,0
2022-05-17T09:13:00.000+02:00,-22.371166,-29.469532,0
2022-05-17T09:14:00.000+02:00,-22.375072,-29.48409,0
2022-05-17T09:15:00.000+02:00,-22.360157,-29.480185,0
2022-05-17T09:16:00.000+02:00,-22.377201,-29.48409,0
2022-05-17T09:17:00.000+02:00,-22.365482,-29.468111,0
2022-05-17T09:18:00.000+02:00,-22.37223,-29.468111,0
2022-05-17T09:19:00.000+02:00,-22.353054,-29.4777,0
2022-05-17T09:20:00.000+02:00,-22.361576,-29.487288,0
2022-05-17T09:21:00.000+02:00,-22.358025,-29.490128,0
2022-05-17T09:22:00.000+02:00,-22.385368,-29.494743,0
2022-05-17T09:23:00.000+02:00,-22.357315,-29.502556,0
2022-05-17T09:24:00.000+02:00,-22.412003,-29.512146,0
2022-05-17T09:25:00.000+02:00,-22.398865,-29.520668,0
2022-05-17T09:26:00.000+02:00,-22.404545,-29.527414,0
2022-05-17T09:27:00.000+02:00,-22.409163,-29.52777,0
2022-05-17T09:28:00.000+02:00,-22.399574,-29.532742,0
2022-05-17T09:29:00.000+02:00,-22.40135,-29.54659,0
2022-05-17T09:30:00.000+02:00,-22.41449,-29.55476,0
2022-05-17T09:31:00.000+02:00,-22.432955,-29.589916,0
2022-05-17T09:32:00.000+02:00,-22.463139,-29.6027,0
2022-05-17T09:33:00.000+02:00,-22.446804,-29.604473,0
2022-05-17T09:34:00.000+02:00,-22.44858,-29.588493,0
2022-05-17T09:35:00.000+02:00,-22.443607,-29.59169,0
2022-05-17T09:36:00.000+02:00,-22.450356,-29.595596,0
2022-05-17T09:37:00.000+02:00,-22.442188,-29.595951,0
2022-05-17T09:38:00.000+02:00,-22.454971,-29.598793,0
