_c0,signal_std_final,signal_rad_final,pluie
2022-06-10T14:52:00.000+02:00,-22.675852,-29.621521,1
2022-06-10T14:53:00.000+02:00,-22.617613,-29.68544,0
2022-06-10T14:54:00.000+02:00,-22.616194,-29.687572,0
2022-06-10T14:55:00.000+02:00,-22.63395,-29.687216,0
2022-06-10T14:56:00.000+02:00,-22.644602,-29.691122,0
2022-06-10T14:57:00.000+02:00,-22.630043,-29.687216,0
2022-06-10T14:58:00.000+02:00,-22.623295,-29.68544,0
2022-06-10T14:59:00.000+02:00,-22.639275,-29.68615,0
2022-06-10T15:00:00.000+02:00,-22.638565,-29.68118,0
2022-06-10T15:01:00.000+02:00,-22.613707,-29.677982,0
2022-06-10T15:02:00.000+02:00,-22.636078,-29.673721,1
2022-06-10T15:03:00.000+02:00,-22.638565,-29.665554,1
2022-06-10T15:04:00.000+02:00,-22.640696,-29.657032,1
2022-06-10T15:05:00.000+02:00,-22.64034,-29.642471,1
2022-06-10T15:06:00.000+02:00,-22.64034,-29.600924,1
2022-06-10T15:07:00.000+02:00,-22.662357,-29.580326,1
2022-06-10T15:08:00.000+02:00,-22.979475,-29.75895,1
2022-06-10T15:09:00.000+02:00,-23.130398,-29.691477,1
2022-06-10T15:10:00.000+02:00,-23.025639,-29.332458,1
2022-06-10T15:11:00.000+02:00,-22.68544,-28.864773,1
2022-06-10T15:12:00.000+02:00,-22.63892,-28.847017,1
2022-06-10T15:13:00.000+02:00,-22.689346,-28.783808,1
2022-06-10T15:14:00.000+02:00,-22.722372,-28.718111,1
2022-06-10T15:15:00.000+02:00,-22.811861,-28.50007,1
2022-06-10T15:16:00.000+02:00,-22.850924,-28.4152,1
2022-06-10T15:17:00.000+02:00,-22.833168,-28.334942,1
2022-06-10T15:18:00.000+02:00,-23.268538,-27.83885,1
2022-06-10T15:19:00.000+02:00,-23.085061,-28.496994,1
2022-06-10T15:20:00.000+02:00,-23.2102385,-28.3815825,1
2022-06-10T15:21:00.000+02:00,-23.775758,-28.0312625,1
2022-06-10T15:22:00.000+02:00,-24.452426,-27.6997645,1
2022-06-10T15:23:00.000+02:00,-24.713258,-27.553812,1
2022-06-10T15:24:00.000+02:00,-24.6051255,-27.550438,1
2022-06-10T15:25:00.000+02:00,-23.996816,-27.741312,1
2022-06-10T15:26:00.000+02:00,-23.794400500000002,-27.9020005,1
2022-06-10T15:27:00.000+02:00,-23.6207505,-28.0170575,1
2022-06-10T15:28:00.000+02:00,-23.470892,-28.153599,1
2022-06-10T15:29:00.000+02:00,-23.371993,-28.276646,1
2022-06-10T15:30:00.000+02:00,-23.478527,-28.1534215,1
2022-06-10T15:31:00.000+02:00,-23.202603,-28.3489115,1
2022-06-10T15:32:00.000+02:00,-23.385014,-27.550142,1
2022-06-10T15:33:00.000+02:00,-23.087074,-27.833878,1
2022-06-10T15:34:00.000+02:00,-23.029545,-28.023508,1
2022-06-10T15:35:00.000+02:00,-22.857315,-28.153126,1
2022-06-10T15:36:00.000+02:00,-22.829262,-28.257528,1
2022-06-10T15:37:00.000+02:00,-22.875072,-28.306889,1
2022-06-10T15:38:00.000+02:00,-22.770313,-28.35909,1
2022-06-10T15:39:00.000+02:00,-22.686506,-28.503624,1
2022-06-10T15:40:00.000+02:00,-22.557955,-28.419815,1
2022-06-10T15:41:00.000+02:00,-22.641407,-28.35554,1
2022-06-10T15:42:00.000+02:00,-22.530611,-28.510725,1
2022-06-10T15:43:00.000+02:00,-22.51179,-28.58885,1
2022-06-10T15:44:00.000+02:00,-22.464205,-28.64034,1
2022-06-10T15:45:00.000+02:00,-22.376137,-28.688992,1
2022-06-10T15:46:00.000+02:00,-22.35909,-28.759304,1
2022-06-10T15:47:00.000+02:00,-22.35909,-28.738354,1
2022-06-10T15:48:00.000+02:00,-22.44574,-28.720951,1
2022-06-10T15:49:00.000+02:00,-22.405966,-28.72699,1
2022-06-10T15:50:00.000+02:00,-22.496164,-28.751846,1
2022-06-10T15:51:00.000+02:00,-22.39318,-28.789845,1
2022-06-10T15:52:00.000+02:00,-22.399574,-28.811506,1
2022-06-10T15:53:00.000+02:00,-22.400993,-28.811861,1
2022-06-10T15:54:00.000+02:00,-22.380753,-28.813282,1
2022-06-10T15:55:00.000+02:00,-22.385725,-28.847372,1
2022-06-10T15:56:00.000+02:00,-22.317188,-28.8701,1
2022-06-10T15:57:00.000+02:00,-22.376492,-28.895668,1
2022-06-10T15:58:00.000+02:00,-22.342756,-28.90206,1
2022-06-10T15:59:00.000+02:00,-22.33956,-28.853054,1
2022-06-10T16:00:00.000+02:00,-22.369034,-28.817898,1
2022-06-10T16:01:00.000+02:00,-22.4152,-28.737288,1
2022-06-10T16:02:00.000+02:00,-22.477345,-28.725924,1
2022-06-10T16:03:00.000+02:00,-22.439346,-28.71101,1
2022-06-10T16:04:00.000+02:00,-22.452131,-28.724857,1
2022-06-10T16:05:00.000+02:00,-22.443962,-28.7277,1
2022-06-10T16:06:00.000+02:00,-22.405966,-28.763565,1
2022-06-10T16:07:00.000+02:00,-22.428337,-28.758595,1
2022-06-10T16:08:00.000+02:00,-22.451065,-28.773865,1
2022-06-10T16:09:00.000+02:00,-22.43544,-28.762146,1
2022-06-10T16:10:00.000+02:00,-22.462074,-28.757174,1
2022-06-10T16:11:00.000+02:00,-22.469177,-28.713495,1
2022-06-10T16:12:00.000+02:00,-22.516762,-28.631462,1
2022-06-10T16:13:00.000+02:00,-22.615128,-28.554758,1
2022-06-10T16:14:00.000+02:00,-22.629688,-28.505753,1
2022-06-10T16:15:00.000+02:00,-22.609446,-28.527416,1
2022-06-10T16:16:00.000+02:00,-22.564701,-28.583168,1
2022-06-10T16:17:00.000+02:00,-22.534163,-28.613352,1
2022-06-10T16:18:00.000+02:00,-22.520668,-28.615482,1
2022-06-10T16:19:00.000+02:00,-22.485157,-28.647087,1
2022-06-10T16:20:00.000+02:00,-22.486576,-28.662003,1
2022-06-10T16:21:00.000+02:00,-22.495455,-28.670525,1
2022-06-10T16:22:00.000+02:00,-22.487642,-28.683664,1
2022-06-10T16:23:00.000+02:00,-22.472727,-28.680824,1
2022-06-10T16:24:00.000+02:00,-22.464916,-28.69574,1
2022-06-10T16:25:00.000+02:00,-22.483027,-28.685085,1
2022-06-10T16:26:00.000+02:00,-22.483736,-28.669106,1
