_c0,signal_std_final,signal_rad_final,pluie
2022-06-12T08:52:00.000+02:00,-22.376846,-29.473083,0
2022-06-12T08:53:00.000+02:00,-22.376846,-29.46101,0
2022-06-12T08:54:00.000+02:00,-22.371876,-29.457102,0
2022-06-12T08:55:00.000+02:00,-22.364773,-29.456747,0
2022-06-12T08:56:00.000+02:00,-22.360867,-29.46243,0
2022-06-12T08:57:00.000+02:00,-22.34169,-29.451065,0
2022-06-12T08:58:00.000+02:00,-22.342402,-29.443607,0
2022-06-12T08:59:00.000+02:00,-22.353409,-29.445028,0
2022-06-12T09:00:00.000+02:00,-22.361576,-29.438992,0
2022-06-12T09:01:00.000+02:00,-22.347727,-29.425852,0
2022-06-12T09:02:00.000+02:00,-22.339205,-29.427273,0
2022-06-12T09:03:00.000+02:00,-22.35696,-29.421236,0
2022-06-12T09:04:00.000+02:00,-22.32571,-29.424788,0
2022-06-12T09:05:00.000+02:00,-22.329617,-29.429403,0
2022-06-12T09:06:00.000+02:00,-22.332102,-29.427982,0
2022-06-12T09:07:00.000+02:00,-22.327131,-29.419815,0
2022-06-12T09:08:00.000+02:00,-22.316477,-29.423721,0
2022-06-12T09:09:00.000+02:00,-22.326065,-29.430115,0
2022-06-12T09:10:00.000+02:00,-22.326777,-29.426563,0
2022-06-12T09:11:00.000+02:00,-22.313992,-29.43047,0
2022-06-12T09:12:00.000+02:00,-22.330326,-29.431889,0
2022-06-12T09:13:00.000+02:00,-22.337784,-29.432245,0
2022-06-12T09:14:00.000+02:00,-22.339914,-29.438282,0
2022-06-12T09:15:00.000+02:00,-22.33743,-29.441122,0
2022-06-12T09:16:00.000+02:00,-22.332813,-29.43615,0
2022-06-12T09:17:00.000+02:00,-22.332458,-29.443962,0
2022-06-12T09:18:00.000+02:00,-22.344177,-29.440413,0
2022-06-12T09:19:00.000+02:00,-22.35483,-29.441833,0
2022-06-12T09:20:00.000+02:00,-22.335299,-29.453552,0
2022-06-12T09:21:00.000+02:00,-22.358025,-29.452486,0
2022-06-12T09:22:00.000+02:00,-22.349503,-29.457457,0
2022-06-12T09:23:00.000+02:00,-22.36868,-29.464914,0
2022-06-12T09:24:00.000+02:00,-22.379333,-29.483736,0
2022-06-12T09:25:00.000+02:00,-22.374361,-29.48409,0
