_c0,signal_std_final,signal_rad_final,pluie
2022-06-12T20:52:00.000+02:00,-22.360867,-29.426208,0
2022-06-12T20:53:00.000+02:00,-22.346663,-29.420881,0
2022-06-12T20:54:00.000+02:00,-22.345951,-29.421947,0
2022-06-12T20:55:00.000+02:00,-22.340626,-29.41733,0
2022-06-12T20:56:00.000+02:00,-22.339914,-29.423721,0
2022-06-12T20:57:00.000+02:00,-22.340271,-29.41804,0
2022-06-12T20:58:00.000+02:00,-22.337074,-29.421236,0
2022-06-12T20:59:00.000+02:00,-22.334589,-29.4223,0
2022-06-12T21:00:00.000+02:00,-22.329971,-29.419815,0
2022-06-12T21:01:00.000+02:00,-22.329262,-29.42017,0
2022-06-12T21:02:00.000+02:00,-22.326893,-29.416855,0
2022-06-12T21:03:00.000+02:00,-22.313282,-29.41946,0
2022-06-12T21:04:00.000+02:00,-22.312216,-29.41733,0
2022-06-12T21:05:00.000+02:00,-22.396496,-29.515815,0
2022-06-12T21:06:00.000+02:00,-22.396496,-29.515815,0
2022-06-12T21:07:00.000+02:00,-22.328787,-29.412594,0
2022-06-12T21:08:00.000+02:00,-22.330328,-29.413778,0
2022-06-12T21:09:00.000+02:00,-22.328196,-29.416618,0
2022-06-12T21:10:00.000+02:00,-22.340271,-29.41875,0
2022-06-12T21:11:00.000+02:00,-22.331747,-29.412003,0
2022-06-12T21:12:00.000+02:00,-22.34169,-29.416973,0
2022-06-12T21:13:00.000+02:00,-22.344175,-29.413069,0
2022-06-12T21:14:00.000+02:00,-22.353054,-29.419815,0
2022-06-12T21:15:00.000+02:00,-22.36868,-29.427273,0
2022-06-12T21:16:00.000+02:00,-22.370455,-29.412357,0
2022-06-12T21:17:00.000+02:00,-22.363352,-29.416975,0
2022-06-12T21:18:00.000+02:00,-22.381462,-29.413778,0
2022-06-12T21:19:00.000+02:00,-22.383238,-29.422302,0
2022-06-12T21:20:00.000+02:00,-22.386435,-29.414845,0
2022-06-12T21:21:00.000+02:00,-22.388565,-29.414845,0
2022-06-12T21:22:00.000+02:00,-22.385725,-29.403126,0
2022-06-12T21:23:00.000+02:00,-22.394957,-29.420881,0
2022-06-12T21:24:00.000+02:00,-22.394958,-29.413069,0
2022-06-12T21:25:00.000+02:00,-22.405256,-29.416973,0
2022-06-12T21:26:00.000+02:00,-22.403835,-29.419106,0
2022-06-12T21:27:00.000+02:00,-22.416264,-29.413424,0
2022-06-12T21:28:00.000+02:00,-22.416975,-29.4152,0
2022-06-12T21:29:00.000+02:00,-22.418041,-29.410583,0
2022-06-12T21:30:00.000+02:00,-22.39922,-29.416618,0
2022-06-12T21:31:00.000+02:00,-22.408806,-29.409872,0
2022-06-12T21:32:00.000+02:00,-22.408808,-29.406914,0
2022-06-12T21:33:00.000+02:00,-22.407387,-29.405966,0
2022-06-12T21:34:00.000+02:00,-22.397444,-29.410229,0
2022-06-12T21:35:00.000+02:00,-22.396732,-29.405256,0
2022-06-12T21:36:00.000+02:00,-22.407387,-29.412003,0
2022-06-12T21:37:00.000+02:00,-22.391052,-29.409517,0
2022-06-12T21:38:00.000+02:00,-22.373295,-29.403835,0
2022-06-12T21:39:00.000+02:00,-22.385725,-29.405966,0
2022-06-12T21:40:00.000+02:00,-22.377201,-29.402414,0
2022-06-12T21:41:00.000+02:00,-22.377201,-29.408806,0
2022-06-12T21:42:00.000+02:00,-22.378977,-29.40632,0
2022-06-12T21:43:00.000+02:00,-22.376137,-29.406677,0
2022-06-12T21:44:00.000+02:00,-22.355894,-29.40632,0
2022-06-12T21:45:00.000+02:00,-22.350569,-29.403124,0
2022-06-12T21:46:00.000+02:00,-22.358736,-29.40135,0
2022-06-12T21:47:00.000+02:00,-22.351633,-29.407387,0
2022-06-12T21:48:00.000+02:00,-22.348793,-29.404545,0
2022-06-12T21:49:00.000+02:00,-22.347017,-29.40277,0
2022-06-12T21:50:00.000+02:00,-22.346306,-29.398865,0
2022-06-12T21:51:00.000+02:00,-22.343466,-29.403126,0
2022-06-12T21:52:00.000+02:00,-22.348438,-29.399574,0
2022-06-12T21:53:00.000+02:00,-22.355896,-29.395313,0
2022-06-12T21:54:00.000+02:00,-22.351635,-29.394957,0
2022-06-12T21:55:00.000+02:00,-22.351278,-29.391052,0
2022-06-12T21:56:00.000+02:00,-22.355185,-29.393892,0
2022-06-12T21:57:00.000+02:00,-22.35696,-29.396732,0
2022-06-12T21:58:00.000+02:00,-22.357315,-29.396023,0
2022-06-12T21:59:00.000+02:00,-22.359802,-29.396732,0
2022-06-12T22:00:00.000+02:00,-22.361576,-29.391762,0
2022-06-12T22:01:00.000+02:00,-22.35838,-29.391407,0
2022-06-12T22:02:00.000+02:00,-22.365128,-29.395313,0
2022-06-12T22:03:00.000+02:00,-22.375782,-29.395313,0
2022-06-12T22:04:00.000+02:00,-22.37507,-29.392828,0
2022-06-12T22:05:00.000+02:00,-22.385723,-29.392826,0
2022-06-12T22:06:00.000+02:00,-22.38608,-29.386435,0
2022-06-12T22:07:00.000+02:00,-22.394602,-29.389275,0
2022-06-12T22:08:00.000+02:00,-22.40135,-29.391407,0
2022-06-12T22:09:00.000+02:00,-22.397444,-29.385014,0
2022-06-12T22:10:00.000+02:00,-22.409872,-29.39034,0
2022-06-12T22:11:00.000+02:00,-22.419815,-29.386435,0
2022-06-12T22:12:00.000+02:00,-22.416975,-29.385368,0
2022-06-12T22:13:00.000+02:00,-22.424788,-29.385725,0
2022-06-12T22:14:00.000+02:00,-22.436861,-29.378267,0
2022-06-12T22:15:00.000+02:00,-22.430824,-29.384659,0
