_c0,signal_std_final,signal_rad_final,pluie
2022-06-13T08:52:00.000+02:00,-22.415554,-29.564701,0
2022-06-13T08:53:00.000+02:00,-22.421946,-29.580326,0
2022-06-13T08:54:00.000+02:00,-22.412714,-29.567188,0
2022-06-13T08:55:00.000+02:00,-22.40348,-29.555115,0
2022-06-13T08:56:00.000+02:00,-22.392826,-29.540554,0
2022-06-13T08:57:00.000+02:00,-22.395668,-29.557243,0
2022-06-13T08:58:00.000+02:00,-22.407742,-29.563992,0
2022-06-13T08:59:00.000+02:00,-22.407387,-29.552273,0
2022-06-13T09:00:00.000+02:00,-22.413069,-29.573935,0
2022-06-13T09:01:00.000+02:00,-22.404902,-29.563992,0
2022-06-13T09:02:00.000+02:00,-22.39922,-29.554758,0
2022-06-13T09:03:00.000+02:00,-22.382883,-29.545525,0
2022-06-13T09:04:00.000+02:00,-22.37791,-29.537712,0
2022-06-13T09:05:00.000+02:00,-22.381462,-29.519604,0
2022-06-13T09:06:00.000+02:00,-22.354118,-29.49581,0
2022-06-13T09:07:00.000+02:00,-22.357315,-29.51534,0
2022-06-13T09:08:00.000+02:00,-22.33672,-29.490839,0
2022-06-13T09:09:00.000+02:00,-22.309021,-29.50007,0
2022-06-13T09:10:00.000+02:00,-22.378622,-29.487997,0
2022-06-13T09:11:00.000+02:00,-22.38821,-29.476278,0
2022-06-13T09:12:00.000+02:00,-22.328907,-29.478409,0
2022-06-13T09:13:00.000+02:00,-22.336365,-29.490837,0
2022-06-13T09:14:00.000+02:00,-22.334944,-29.474857,0
2022-06-13T09:15:00.000+02:00,-22.349148,-29.482315,0
2022-06-13T09:16:00.000+02:00,-22.349148,-29.48196,0
2022-06-13T09:17:00.000+02:00,-22.32571,-29.46598,0
2022-06-13T09:18:00.000+02:00,-22.328196,-29.469532,0
2022-06-13T09:19:00.000+02:00,-22.35483,-29.4951,0
2022-06-13T09:20:00.000+02:00,-22.362997,-29.506464,0
2022-06-13T09:21:00.000+02:00,-22.360867,-29.505043,0
2022-06-13T09:22:00.000+02:00,-22.367615,-29.510725,0
2022-06-13T09:23:00.000+02:00,-22.387146,-29.55476,0
2022-06-13T09:24:00.000+02:00,-22.410938,-29.576065,0
2022-06-13T09:25:00.000+02:00,-22.393183,-29.55547,0
2022-06-13T09:26:00.000+02:00,-22.397444,-29.558664,0
2022-06-13T09:27:00.000+02:00,-22.443607,-29.585299,0
2022-06-13T09:28:00.000+02:00,-22.44858,-29.613708,0
2022-06-13T09:29:00.000+02:00,-22.460299,-29.62365,0
2022-06-13T09:30:00.000+02:00,-22.476278,-29.632885,0
2022-06-13T09:31:00.000+02:00,-22.479475,-29.655256,0
2022-06-13T09:32:00.000+02:00,-22.488352,-29.658451,0
2022-06-13T09:33:00.000+02:00,-22.49794,-29.679403,0
2022-06-13T09:34:00.000+02:00,-22.514275,-29.682955,0
2022-06-13T09:35:00.000+02:00,-22.506817,-29.683666,0
2022-06-13T09:36:00.000+02:00,-22.51037,-29.692898,0
2022-06-13T09:37:00.000+02:00,-22.5402,-29.680113,0
2022-06-13T09:38:00.000+02:00,-22.502556,-29.665909,0
2022-06-13T09:39:00.000+02:00,-22.474503,-29.650993,0
2022-06-13T09:40:00.000+02:00,-22.463139,-29.634659,0
2022-06-13T09:41:00.000+02:00,-22.468466,-29.626492,0
2022-06-13T09:42:00.000+02:00,-22.473793,-29.663069,0
2022-06-13T09:43:00.000+02:00,-22.496166,-29.682955,0
2022-06-13T09:44:00.000+02:00,-22.490482,-29.688282,0
2022-06-13T09:45:00.000+02:00,-22.49368,-29.664845,0
2022-06-13T09:46:00.000+02:00,-22.479118,-29.650993,0
2022-06-13T09:47:00.000+02:00,-22.447868,-29.628977,0
2022-06-13T09:48:00.000+02:00,-22.443607,-29.631464,0
2022-06-13T09:49:00.000+02:00,-22.458523,-29.64922,0
2022-06-13T09:50:00.000+02:00,-22.475214,-29.66449,0
2022-06-13T09:51:00.000+02:00,-22.459587,-29.639631,0
2022-06-13T09:52:00.000+02:00,-22.442543,-29.63679,0
2022-06-13T09:53:00.000+02:00,-22.44645,-29.65348,0
2022-06-13T09:54:00.000+02:00,-22.445028,-29.631107,0
2022-06-13T09:55:00.000+02:00,-22.419815,-29.620455,0
2022-06-13T09:56:00.000+02:00,-22.447514,-29.630043,0
2022-06-13T09:57:00.000+02:00,-22.478764,-29.667685,0
2022-06-13T09:58:00.000+02:00,-22.504688,-29.705326,0
2022-06-13T09:59:00.000+02:00,-22.524574,-29.73693,0
2022-06-13T10:00:00.000+02:00,-22.54517,-29.758595,0
2022-06-13T10:01:00.000+02:00,-22.552628,-29.781675,0
2022-06-13T10:02:00.000+02:00,-22.581036,-29.789133,0
2022-06-13T10:03:00.000+02:00,-22.594887,-29.801563,0
2022-06-13T10:04:00.000+02:00,-22.597727,-29.799433,0
2022-06-13T10:05:00.000+02:00,-22.5924,-29.82145,0
2022-06-13T10:06:00.000+02:00,-22.611221,-29.835299,0
2022-06-13T10:07:00.000+02:00,-22.673721,-29.87294,0
2022-06-13T10:08:00.000+02:00,-22.686861,-29.897444,0
2022-06-13T10:09:00.000+02:00,-22.698225,-29.912357,0
2022-06-13T10:10:00.000+02:00,-22.72166,-29.929758,0
2022-06-13T10:11:00.000+02:00,-22.721308,-29.931534,0
2022-06-13T10:12:00.000+02:00,-22.601042,-29.772917,0
2022-06-13T10:13:00.000+02:00,-22.601042,-29.772917,0
2022-06-13T10:14:00.000+02:00,-22.601042,-29.772917,0
2022-06-13T10:15:00.000+02:00,-22.601042,-29.772917,0
2022-06-13T10:16:00.000+02:00,-22.601042,-29.772917,0
2022-06-13T10:17:00.000+02:00,-22.601042,-29.772917,0
2022-06-13T10:18:00.000+02:00,-22.601042,-29.772917,0
2022-06-13T10:19:00.000+02:00,-22.601042,-29.772917,0
2022-06-13T10:20:00.000+02:00,-22.655493,-29.857197,0
2022-06-13T10:21:00.000+02:00,-22.659517,-29.85625,0
