_c0,signal_std_final,signal_rad_final,pluie
2022-06-13T14:52:00.000+02:00,-22.447159,-29.608736,0
2022-06-13T14:53:00.000+02:00,-22.442543,-29.610157,0
2022-06-13T14:54:00.000+02:00,-22.438992,-29.599503,0
2022-06-13T14:55:00.000+02:00,-22.444319,-29.586365,0
2022-06-13T14:56:00.000+02:00,-22.450356,-29.582813,0
2022-06-13T14:57:00.000+02:00,-22.444674,-29.583168,0
2022-06-13T14:58:00.000+02:00,-22.448935,-29.589205,0
2022-06-13T14:59:00.000+02:00,-22.442898,-29.598083,0
2022-06-13T15:00:00.000+02:00,-22.43757,-29.594532,0
2022-06-13T15:01:00.000+02:00,-22.442188,-29.595596,0
2022-06-13T15:02:00.000+02:00,-22.4326,-29.598438,0
2022-06-13T15:03:00.000+02:00,-22.445738,-29.594532,0
2022-06-13T15:04:00.000+02:00,-22.446804,-29.590626,0
2022-06-13T15:05:00.000+02:00,-22.443253,-29.588493,0
2022-06-13T15:06:00.000+02:00,-22.456038,-29.59382,0
2022-06-13T15:07:00.000+02:00,-22.469177,-29.606606,0
2022-06-13T15:08:00.000+02:00,-22.43118,-29.595951,0
2022-06-13T15:09:00.000+02:00,-22.455326,-29.603764,0
2022-06-13T15:10:00.000+02:00,-22.46385,-29.595951,0
2022-06-13T15:11:00.000+02:00,-22.462784,-29.595951,0
2022-06-13T15:12:00.000+02:00,-22.459232,-29.603409,0
2022-06-13T15:13:00.000+02:00,-22.481606,-29.60483,0
2022-06-13T15:14:00.000+02:00,-22.475924,-29.608381,0
2022-06-13T15:15:00.000+02:00,-22.468111,-29.608736,0
2022-06-13T15:16:00.000+02:00,-22.473438,-29.610157,0
2022-06-13T15:17:00.000+02:00,-22.468111,-29.612997,0
2022-06-13T15:18:00.000+02:00,-22.469532,-29.606606,0
2022-06-13T15:19:00.000+02:00,-22.460653,-29.60696,0
2022-06-13T15:20:00.000+02:00,-22.46669,-29.605185,0
2022-06-13T15:21:00.000+02:00,-22.471306,-29.609446,0
2022-06-13T15:22:00.000+02:00,-22.469532,-29.603054,0
