_c0,signal_std_final,signal_rad_final,pluie
2022-06-14T08:52:00.000+02:00,-22.597372,-29.7,0
2022-06-14T08:53:00.000+02:00,-22.583878,-29.711365,0
2022-06-14T08:54:00.000+02:00,-22.594532,-29.715271,0
2022-06-14T08:55:00.000+02:00,-22.592402,-29.713493,0
2022-06-14T08:56:00.000+02:00,-22.579971,-29.704971,0
2022-06-14T08:57:00.000+02:00,-22.582813,-29.693607,0
2022-06-14T08:58:00.000+02:00,-22.573935,-29.688992,0
2022-06-14T08:59:00.000+02:00,-22.55618,-29.655966,0
2022-06-14T09:00:00.000+02:00,-22.5402,-29.658451,0
2022-06-14T09:01:00.000+02:00,-22.550497,-29.67159,0
2022-06-14T09:02:00.000+02:00,-22.567543,-29.679758,0
2022-06-14T09:03:00.000+02:00,-22.583523,-29.691833,0
2022-06-14T09:04:00.000+02:00,-22.571095,-29.697868,0
2022-06-14T09:05:00.000+02:00,-22.567543,-29.675852,0
2022-06-14T09:06:00.000+02:00,-22.601633,-29.682955,0
2022-06-14T09:07:00.000+02:00,-22.55547,-29.683664,0
2022-06-14T09:08:00.000+02:00,-22.554403,-29.670525,0
2022-06-14T09:09:00.000+02:00,-22.55831,-29.670525,0
2022-06-14T09:10:00.000+02:00,-22.554403,-29.672657,0
2022-06-14T09:11:00.000+02:00,-22.54375,-29.658806,0
2022-06-14T09:12:00.000+02:00,-22.548012,-29.662357,0
2022-06-14T09:13:00.000+02:00,-22.564346,-29.678694,0
2022-06-14T09:14:00.000+02:00,-22.585299,-29.708523,0
2022-06-14T09:15:00.000+02:00,-22.587074,-29.722372,0
2022-06-14T09:16:00.000+02:00,-22.595596,-29.733025,0
2022-06-14T09:17:00.000+02:00,-22.59169,-29.720596,0
2022-06-14T09:18:00.000+02:00,-22.568962,-29.68757,0
2022-06-14T09:19:00.000+02:00,-22.55547,-29.68047,0
2022-06-14T09:20:00.000+02:00,-22.562572,-29.67017,0
2022-06-14T09:21:00.000+02:00,-22.555468,-29.673721,0
2022-06-14T09:22:00.000+02:00,-22.55831,-29.66875,0
2022-06-14T09:23:00.000+02:00,-22.52635,-29.661293,0
2022-06-14T09:24:00.000+02:00,-22.562216,-29.679403,0
2022-06-14T09:25:00.000+02:00,-22.581038,-29.708878,0
2022-06-14T09:26:00.000+02:00,-22.579262,-29.707102,0
2022-06-14T09:27:00.000+02:00,-22.583523,-29.712784,0
2022-06-14T09:28:00.000+02:00,-22.610157,-29.744034,0
2022-06-14T09:29:00.000+02:00,-22.6375,-29.754333,0
2022-06-14T09:30:00.000+02:00,-22.640696,-29.773508,0
2022-06-14T09:31:00.000+02:00,-22.653126,-29.769602,0
2022-06-14T09:32:00.000+02:00,-22.627556,-29.745098,0
2022-06-14T09:33:00.000+02:00,-22.615482,-29.75007,0
2022-06-14T09:34:00.000+02:00,-22.632174,-29.764275,0
2022-06-14T09:35:00.000+02:00,-22.603764,-29.78416,0
2022-06-14T09:36:00.000+02:00,-22.64034,-29.781677,0
2022-06-14T09:37:00.000+02:00,-22.661648,-29.783806,0
2022-06-14T09:38:00.000+02:00,-22.64105,-29.787357,0
2022-06-14T09:39:00.000+02:00,-22.664845,-29.768892,0
2022-06-14T09:40:00.000+02:00,-22.647444,-29.751846,0
2022-06-14T09:41:00.000+02:00,-22.650639,-29.706392,0
2022-06-14T09:42:00.000+02:00,-22.616549,-29.698225,0
2022-06-14T09:43:00.000+02:00,-22.596663,-29.695385,0
2022-06-14T09:44:00.000+02:00,-22.590626,-29.689701,0
2022-06-14T09:45:00.000+02:00,-22.561506,-29.68047,0
2022-06-14T09:46:00.000+02:00,-22.544106,-29.659872,0
2022-06-14T09:47:00.000+02:00,-22.54943,-29.670525,0
2022-06-14T09:48:00.000+02:00,-22.551208,-29.668396,0
2022-06-14T09:49:00.000+02:00,-22.555824,-29.690767,0
2022-06-14T09:50:00.000+02:00,-22.592756,-29.720242,0
2022-06-14T09:51:00.000+02:00,-22.604475,-29.74723,0
2022-06-14T09:52:00.000+02:00,-22.61193,-29.76179,0
2022-06-14T09:53:00.000+02:00,-22.625427,-29.771378,0
2022-06-14T09:54:00.000+02:00,-22.630753,-29.779545,0
2022-06-14T09:55:00.000+02:00,-22.644957,-29.791264,0
2022-06-14T09:56:00.000+02:00,-22.644247,-29.801563,0
2022-06-14T09:57:00.000+02:00,-22.671946,-29.805115,0
2022-06-14T09:58:00.000+02:00,-22.661293,-29.815413,0
2022-06-14T09:59:00.000+02:00,-22.653126,-29.800852,0
2022-06-14T10:00:00.000+02:00,-22.626492,-29.76534,0
2022-06-14T10:01:00.000+02:00,-22.624716,-29.74368,0
2022-06-14T10:02:00.000+02:00,-22.603054,-29.730894,0
2022-06-14T10:03:00.000+02:00,-22.597372,-29.715271,0
2022-06-14T10:04:00.000+02:00,-22.584232,-29.709587,0
2022-06-14T10:05:00.000+02:00,-22.581747,-29.704262,0
2022-06-14T10:06:00.000+02:00,-22.609446,-29.73267,0
2022-06-14T10:07:00.000+02:00,-22.612642,-29.766407,0
2022-06-14T10:08:00.000+02:00,-22.635368,-29.782387,0
2022-06-14T10:09:00.000+02:00,-22.60625,-29.756819,0
2022-06-14T10:10:00.000+02:00,-22.618324,-29.735157,0
2022-06-14T10:11:00.000+02:00,-22.610867,-29.723793,0
2022-06-14T10:12:00.000+02:00,-22.603764,-29.725212,0
2022-06-14T10:13:00.000+02:00,-22.613708,-29.75007,0
2022-06-14T10:14:00.000+02:00,-22.615128,-29.760723,0
2022-06-14T10:15:00.000+02:00,-22.614773,-29.744034,0
2022-06-14T10:16:00.000+02:00,-22.637856,-29.76534,0
2022-06-14T10:17:00.000+02:00,-22.623295,-29.74297,0
2022-06-14T10:18:00.000+02:00,-22.592756,-29.734446,0
2022-06-14T10:19:00.000+02:00,-22.60199,-29.735512,0
2022-06-14T10:20:00.000+02:00,-22.602936,-29.725096,0
2022-06-14T10:21:00.000+02:00,-22.600212,-29.725212,0
2022-06-14T10:22:00.000+02:00,-22.594532,-29.704617,0
2022-06-14T10:23:00.000+02:00,-22.582813,-29.711008,0
2022-06-14T10:24:00.000+02:00,-22.60625,-29.736221,0
2022-06-14T10:25:00.000+02:00,-22.63395,-29.771732,0
2022-06-14T10:26:00.000+02:00,-22.63324,-29.77493,0
2022-06-14T10:27:00.000+02:00,-22.61868,-29.757883,0
2022-06-14T10:28:00.000+02:00,-22.625782,-29.757528,0
