_c0,signal_std_final,signal_rad_final,pluie
2022-06-15T14:52:00.000+02:00,-22.517471,-29.365128,1
2022-06-15T14:53:00.000+02:00,-22.523508,-29.358025,1
2022-06-15T14:54:00.000+02:00,-22.540554,-29.371166,1
2022-06-15T14:55:00.000+02:00,-22.516762,-29.384659,1
2022-06-15T14:56:00.000+02:00,-22.505398,-29.392471,1
2022-06-15T14:57:00.000+02:00,-22.520313,-29.396378,1
2022-06-15T14:58:00.000+02:00,-22.514986,-29.397799,1
2022-06-15T14:59:00.000+02:00,-22.523508,-29.416975,1
2022-06-15T15:00:00.000+02:00,-22.513565,-29.41946,1
2022-06-15T15:01:00.000+02:00,-22.514275,-29.412357,1
2022-06-15T15:02:00.000+02:00,-22.48409,-29.41804,1
2022-06-15T15:03:00.000+02:00,-22.49368,-29.429049,0
2022-06-15T15:04:00.000+02:00,-22.512144,-29.432955,0
2022-06-15T15:05:00.000+02:00,-22.506819,-29.43118,0
2022-06-15T15:06:00.000+02:00,-22.499006,-29.440056,0
2022-06-15T15:07:00.000+02:00,-22.494389,-29.444319,0
2022-06-15T15:08:00.000+02:00,-22.502556,-29.447159,0
2022-06-15T15:09:00.000+02:00,-22.495455,-29.445028,0
2022-06-15T15:10:00.000+02:00,-22.49368,-29.456747,0
2022-06-15T15:11:00.000+02:00,-22.495455,-29.454971,0
2022-06-15T15:12:00.000+02:00,-22.480896,-29.451065,0
2022-06-15T15:13:00.000+02:00,-22.48267,-29.45071,0
2022-06-15T15:14:00.000+02:00,-22.491903,-29.458168,0
2022-06-15T15:15:00.000+02:00,-22.488708,-29.456747,0
2022-06-15T15:16:00.000+02:00,-22.49368,-29.461008,0
2022-06-15T15:17:00.000+02:00,-22.496164,-29.459589,0
2022-06-15T15:18:00.000+02:00,-22.49368,-29.463139,0
2022-06-15T15:19:00.000+02:00,-22.485512,-29.463493,0
2022-06-15T15:20:00.000+02:00,-22.483027,-29.464205,0
2022-06-15T15:21:00.000+02:00,-22.493324,-29.46243,0
2022-06-15T15:22:00.000+02:00,-22.487997,-29.462784,0
2022-06-15T15:23:00.000+02:00,-22.47983,-29.463139,0
2022-06-15T15:24:00.000+02:00,-22.487288,-29.460299,0
2022-06-15T15:25:00.000+02:00,-22.48267,-29.463139,0
2022-06-15T15:26:00.000+02:00,-22.502913,-29.465626,0
2022-06-15T15:27:00.000+02:00,-22.500782,-29.469532,0
2022-06-15T15:28:00.000+02:00,-22.499716,-29.476042,0
2022-06-15T15:29:00.000+02:00,-22.501846,-29.473793,0
2022-06-15T15:30:00.000+02:00,-22.487642,-29.474857,0
2022-06-15T15:31:00.000+02:00,-22.486576,-29.48267,0
2022-06-15T15:32:00.000+02:00,-22.486221,-29.482315,0
2022-06-15T15:33:00.000+02:00,-22.475212,-29.478764,0
2022-06-15T15:34:00.000+02:00,-22.47983,-29.479475,0
2022-06-15T15:35:00.000+02:00,-22.48125,-29.481606,0
2022-06-15T15:36:00.000+02:00,-22.479473,-29.483027,0
2022-06-15T15:37:00.000+02:00,-22.485512,-29.48054,0
2022-06-15T15:38:00.000+02:00,-22.489418,-29.485867,0
2022-06-15T15:39:00.000+02:00,-22.483381,-29.481606,0
2022-06-15T15:40:00.000+02:00,-22.48409,-29.48409,0
2022-06-15T15:41:00.000+02:00,-22.462784,-29.487642,0
2022-06-15T15:42:00.000+02:00,-22.48196,-29.491903,0
2022-06-15T15:43:00.000+02:00,-22.487288,-29.490482,0
2022-06-15T15:44:00.000+02:00,-22.480896,-29.491549,0
2022-06-15T15:45:00.000+02:00,-22.482315,-29.49297,0
2022-06-15T15:46:00.000+02:00,-22.47983,-29.488352,0
2022-06-15T15:47:00.000+02:00,-22.480896,-29.49368,0
2022-06-15T15:48:00.000+02:00,-22.475567,-29.490482,0
2022-06-15T15:49:00.000+02:00,-22.489063,-29.491903,0
2022-06-15T15:50:00.000+02:00,-22.476633,-29.492258,0
2022-06-15T15:51:00.000+02:00,-22.48409,-29.489063,0
2022-06-15T15:52:00.000+02:00,-22.486576,-29.486933,0
2022-06-15T15:53:00.000+02:00,-22.489773,-29.487288,0
2022-06-15T15:54:00.000+02:00,-22.484446,-29.48196,0
2022-06-15T15:55:00.000+02:00,-22.480185,-29.48054,0
2022-06-15T15:56:00.000+02:00,-22.48125,-29.48196,0
2022-06-15T15:57:00.000+02:00,-22.48054,-29.482315,0
2022-06-15T15:58:00.000+02:00,-22.487288,-29.481606,0
2022-06-15T15:59:00.000+02:00,-22.483025,-29.48196,0
2022-06-15T16:00:00.000+02:00,-22.478054,-29.47699,0
2022-06-15T16:01:00.000+02:00,-22.474503,-29.48125,0
2022-06-15T16:02:00.000+02:00,-22.487286,-29.476278,0
2022-06-15T16:03:00.000+02:00,-22.493324,-29.478054,0
2022-06-15T16:04:00.000+02:00,-22.477345,-29.478764,0
2022-06-15T16:05:00.000+02:00,-22.483027,-29.480896,0
2022-06-15T16:06:00.000+02:00,-22.483025,-29.48125,0
2022-06-15T16:07:00.000+02:00,-22.483736,-29.480185,0
2022-06-15T16:08:00.000+02:00,-22.47166,-29.480185,0
2022-06-15T16:09:00.000+02:00,-22.485867,-29.482315,0
2022-06-15T16:10:00.000+02:00,-22.472727,-29.479473,0
2022-06-15T16:11:00.000+02:00,-22.475569,-29.47699,0
2022-06-15T16:12:00.000+02:00,-22.486221,-29.479118,0
2022-06-15T16:13:00.000+02:00,-22.473438,-29.474857,0
2022-06-15T16:14:00.000+02:00,-22.481606,-29.474857,0
2022-06-15T16:15:00.000+02:00,-22.479475,-29.46669,0
2022-06-15T16:16:00.000+02:00,-22.470242,-29.480541,0
2022-06-15T16:17:00.000+02:00,-22.48125,-29.476633,0
2022-06-15T16:18:00.000+02:00,-22.475214,-29.472017,0
2022-06-15T16:19:00.000+02:00,-22.485512,-29.472017,0
2022-06-15T16:20:00.000+02:00,-22.462784,-29.474148,0
2022-06-15T16:21:00.000+02:00,-22.501137,-29.472727,0
2022-06-15T16:22:00.000+02:00,-22.47912,-29.48125,0
2022-06-15T16:23:00.000+02:00,-22.480185,-29.475212,0
2022-06-15T16:24:00.000+02:00,-22.46243,-29.469532,0
2022-06-15T16:25:00.000+02:00,-22.485867,-29.469887,0
2022-06-15T16:26:00.000+02:00,-22.474857,-29.48267,0
2022-06-15T16:27:00.000+02:00,-22.469532,-29.4777,0
2022-06-15T16:28:00.000+02:00,-22.475212,-29.474148,0
2022-06-15T16:29:00.000+02:00,-22.470596,-29.473438,0
2022-06-15T16:30:00.000+02:00,-22.47699,-29.468111,0
2022-06-15T16:31:00.000+02:00,-22.487288,-29.477345,0
2022-06-15T16:32:00.000+02:00,-22.472017,-29.470242,0
2022-06-15T16:33:00.000+02:00,-22.475212,-29.470951,0
2022-06-15T16:34:00.000+02:00,-22.483736,-29.469177,0
2022-06-15T16:35:00.000+02:00,-22.480185,-29.474857,0
2022-06-15T16:36:00.000+02:00,-22.476278,-29.475569,0
2022-06-15T16:37:00.000+02:00,-22.479475,-29.474148,0
2022-06-15T16:38:00.000+02:00,-22.472727,-29.464914,0
2022-06-15T16:39:00.000+02:00,-22.470242,-29.466335,0
2022-06-15T16:40:00.000+02:00,-22.474503,-29.470951,0
2022-06-15T16:41:00.000+02:00,-22.4674,-29.468822,0
2022-06-15T16:42:00.000+02:00,-22.476278,-29.468466,0
2022-06-15T16:43:00.000+02:00,-22.48196,-29.471663,0
2022-06-15T16:44:00.000+02:00,-22.480894,-29.468466,0
2022-06-15T16:45:00.000+02:00,-22.47983,-29.466335,0
2022-06-15T16:46:00.000+02:00,-22.472727,-29.464205,0
2022-06-15T16:47:00.000+02:00,-22.466335,-29.467045,0
2022-06-15T16:48:00.000+02:00,-22.474148,-29.463139,0
2022-06-15T16:49:00.000+02:00,-22.475212,-29.46385,0
2022-06-15T16:50:00.000+02:00,-22.4674,-29.461363,0
2022-06-15T16:51:00.000+02:00,-22.467045,-29.46385,0
2022-06-15T16:52:00.000+02:00,-22.463139,-29.466335,0
2022-06-15T16:53:00.000+02:00,-22.471306,-29.46243,0
2022-06-15T16:54:00.000+02:00,-22.470242,-29.4674,0
2022-06-15T16:55:00.000+02:00,-22.470951,-29.472727,0
2022-06-15T16:56:00.000+02:00,-22.470596,-29.470951,0
2022-06-15T16:57:00.000+02:00,-22.468111,-29.469532,0
2022-06-15T16:58:00.000+02:00,-22.459589,-29.470951,0
2022-06-15T16:59:00.000+02:00,-22.469532,-29.472017,0
2022-06-15T17:00:00.000+02:00,-22.470596,-29.474503,0
2022-06-15T17:01:00.000+02:00,-22.475569,-29.471308,0
2022-06-15T17:02:00.000+02:00,-22.467045,-29.46882,0
2022-06-15T17:03:00.000+02:00,-22.467045,-29.4674,0
2022-06-15T17:04:00.000+02:00,-22.456747,-29.4674,0
2022-06-15T17:05:00.000+02:00,-22.460653,-29.470951,0
2022-06-15T17:06:00.000+02:00,-22.46456,-29.466335,0
2022-06-15T17:07:00.000+02:00,-22.46669,-29.464914,0
2022-06-15T17:08:00.000+02:00,-22.4674,-29.466335,0
2022-06-15T17:09:00.000+02:00,-22.464914,-29.468466,0
2022-06-15T17:10:00.000+02:00,-22.46456,-29.468822,0
2022-06-15T17:11:00.000+02:00,-22.474503,-29.473438,0
2022-06-15T17:12:00.000+02:00,-22.475569,-29.469177,0
2022-06-15T17:13:00.000+02:00,-22.467756,-29.470951,0
2022-06-15T17:14:00.000+02:00,-22.471663,-29.469532,0
2022-06-15T17:15:00.000+02:00,-22.46882,-29.465626,0
2022-06-15T17:16:00.000+02:00,-22.463493,-29.465271,0
2022-06-15T17:17:00.000+02:00,-22.460299,-29.462784,0
2022-06-15T17:18:00.000+02:00,-22.460653,-29.46172,0
2022-06-15T17:19:00.000+02:00,-22.478764,-29.46101,0
2022-06-15T17:20:00.000+02:00,-22.468111,-29.459232,0
2022-06-15T17:21:00.000+02:00,-22.464914,-29.462074,0
2022-06-15T17:22:00.000+02:00,-22.463495,-29.463495,0
2022-06-15T17:23:00.000+02:00,-22.473436,-29.462074,0
2022-06-15T17:24:00.000+02:00,-22.470242,-29.467045,0
2022-06-15T17:25:00.000+02:00,-22.461008,-29.461008,0
2022-06-15T17:26:00.000+02:00,-22.46669,-29.467045,0
2022-06-15T17:27:00.000+02:00,-22.476278,-29.475569,0
2022-06-15T17:28:00.000+02:00,-22.473438,-29.476635,0
2022-06-15T17:29:00.000+02:00,-22.468466,-29.47983,0
2022-06-15T17:30:00.000+02:00,-22.459944,-29.48267,0
2022-06-15T17:31:00.000+02:00,-22.471306,-29.483381,0
2022-06-15T17:32:00.000+02:00,-22.479475,-29.487642,0
2022-06-15T17:33:00.000+02:00,-22.474148,-29.494743,0
2022-06-15T17:34:00.000+02:00,-22.470596,-29.49865,0
2022-06-15T17:35:00.000+02:00,-22.46385,-29.494389,0
2022-06-15T17:36:00.000+02:00,-22.4674,-29.489773,0
2022-06-15T17:37:00.000+02:00,-22.470951,-29.490128,0
2022-06-15T17:38:00.000+02:00,-22.4674,-29.489418,0
2022-06-15T17:39:00.000+02:00,-22.46172,-29.491549,0
2022-06-15T17:40:00.000+02:00,-22.453196,-29.487288,0
2022-06-15T17:41:00.000+02:00,-22.475924,-29.48409,0
2022-06-15T17:42:00.000+02:00,-22.46598,-29.48409,0
2022-06-15T17:43:00.000+02:00,-22.467402,-29.48196,0
2022-06-15T17:44:00.000+02:00,-22.486221,-29.487642,0
2022-06-15T17:45:00.000+02:00,-22.472017,-29.484802,0
2022-06-15T17:46:00.000+02:00,-22.471663,-29.489773,0
2022-06-15T17:47:00.000+02:00,-22.474148,-29.480894,0
2022-06-15T17:48:00.000+02:00,-22.48125,-29.48409,0
2022-06-15T17:49:00.000+02:00,-22.46598,-29.480541,0
2022-06-15T17:50:00.000+02:00,-22.485157,-29.48267,0
2022-06-15T17:51:00.000+02:00,-22.47912,-29.48409,0
2022-06-15T17:52:00.000+02:00,-22.48125,-29.49368,0
2022-06-15T17:53:00.000+02:00,-22.480185,-29.485512,0
2022-06-15T17:54:00.000+02:00,-22.476278,-29.485512,0
2022-06-15T17:55:00.000+02:00,-22.4777,-29.485157,0
2022-06-15T17:56:00.000+02:00,-22.480894,-29.475569,0
2022-06-15T17:57:00.000+02:00,-22.48267,-29.48125,0
2022-06-15T17:58:00.000+02:00,-22.4777,-29.474857,0
2022-06-15T17:59:00.000+02:00,-22.480185,-29.478054,0
2022-06-15T18:00:00.000+02:00,-22.487288,-29.481606,0
2022-06-15T18:01:00.000+02:00,-22.487288,-29.477345,0
2022-06-15T18:02:00.000+02:00,-22.49723,-29.472017,0
2022-06-15T18:03:00.000+02:00,-22.475924,-29.476278,0
2022-06-15T18:04:00.000+02:00,-22.474503,-29.47699,0
2022-06-15T18:05:00.000+02:00,-22.490128,-29.476278,0
2022-06-15T18:06:00.000+02:00,-22.467756,-29.475212,0
2022-06-15T18:07:00.000+02:00,-22.475924,-29.475214,0
2022-06-15T18:08:00.000+02:00,-22.474857,-29.48054,0
2022-06-15T18:09:00.000+02:00,-22.47983,-29.473438,0
2022-06-15T18:10:00.000+02:00,-22.491194,-29.474857,0
2022-06-15T18:11:00.000+02:00,-22.486221,-29.474148,0
