_c0,signal_std_final,signal_rad_final,pluie
2022-06-17T02:52:00.000+02:00,-22.378977,-29.274574,0
2022-06-17T02:53:00.000+02:00,-22.375782,-29.271378,0
2022-06-17T02:54:00.000+02:00,-22.374361,-29.270668,0
2022-06-17T02:55:00.000+02:00,-22.373295,-29.263565,0
2022-06-17T02:56:00.000+02:00,-22.369743,-29.260725,0
2022-06-17T02:57:00.000+02:00,-22.365482,-29.272799,0
2022-06-17T02:58:00.000+02:00,-22.375425,-29.267471,0
2022-06-17T02:59:00.000+02:00,-22.375427,-29.2625,0
2022-06-17T03:00:00.000+02:00,-22.37365,-29.267826,0
2022-06-17T03:01:00.000+02:00,-22.373295,-29.264631,0
2022-06-17T03:02:00.000+02:00,-22.375427,-29.267471,0
2022-06-17T03:03:00.000+02:00,-22.371164,-29.272087,0
2022-06-17T03:04:00.000+02:00,-22.375782,-29.271023,0
2022-06-17T03:05:00.000+02:00,-22.372585,-29.271378,0
2022-06-17T03:06:00.000+02:00,-22.379333,-29.274574,0
2022-06-17T03:07:00.000+02:00,-22.376846,-29.277414,0
2022-06-17T03:08:00.000+02:00,-22.371164,-29.270313,0
2022-06-17T03:09:00.000+02:00,-22.369745,-29.273865,0
2022-06-17T03:10:00.000+02:00,-22.375782,-29.272442,0
2022-06-17T03:11:00.000+02:00,-22.369743,-29.27493,0
2022-06-17T03:12:00.000+02:00,-22.372585,-29.264631,0
2022-06-17T03:13:00.000+02:00,-22.37365,-29.269249,0
2022-06-17T03:14:00.000+02:00,-22.377556,-29.269247,0
2022-06-17T03:15:00.000+02:00,-22.407387,-29.26179,0
2022-06-17T03:16:00.000+02:00,-22.414133,-29.249006,0
2022-06-17T03:17:00.000+02:00,-22.383595,-29.24723,0
2022-06-17T03:18:00.000+02:00,-22.385725,-29.237288,0
2022-06-17T03:19:00.000+02:00,-22.385725,-29.27848,0
2022-06-17T03:20:00.000+02:00,-22.38324,-29.27635,0
2022-06-17T03:21:00.000+02:00,-22.377556,-29.275284,0
2022-06-17T03:22:00.000+02:00,-22.389986,-29.270313,0
2022-06-17T03:23:00.000+02:00,-22.389986,-29.26818,0
2022-06-17T03:24:00.000+02:00,-22.38892,-29.28132,0
2022-06-17T03:25:00.000+02:00,-22.38537,-29.278126,0
2022-06-17T03:26:00.000+02:00,-22.388922,-29.280966,0
