_c0,signal_std_final,signal_rad_final,pluie
2022-06-17T08:52:00.000+02:00,-22.73693,-28.647087,1
2022-06-17T08:53:00.000+02:00,-22.68544,-28.739418,1
2022-06-17T08:54:00.000+02:00,-22.62294,-28.815056,1
2022-06-17T08:55:00.000+02:00,-22.57713,-28.86193,1
2022-06-17T08:56:00.000+02:00,-22.502201,-28.970242,1
2022-06-17T08:57:00.000+02:00,-22.45071,-29.069319,1
2022-06-17T08:58:00.000+02:00,-22.399574,-29.116549,1
2022-06-17T08:59:00.000+02:00,-22.377913,-29.153835,1
2022-06-17T09:00:00.000+02:00,-22.377556,-29.194319,1
2022-06-17T09:01:00.000+02:00,-22.380398,-29.213493,1
2022-06-17T09:02:00.000+02:00,-22.357315,-29.219887,1
2022-06-17T09:03:00.000+02:00,-22.349148,-29.25291,1
2022-06-17T09:04:00.000+02:00,-22.32429,-29.257174,0
2022-06-17T09:05:00.000+02:00,-22.342045,-29.275284,0
2022-06-17T09:06:00.000+02:00,-22.362642,-29.284517,0
2022-06-17T09:07:00.000+02:00,-22.368324,-29.299788,0
2022-06-17T09:08:00.000+02:00,-22.38395,-29.322514,0
2022-06-17T09:09:00.000+02:00,-22.37081,-29.346663,0
2022-06-17T09:10:00.000+02:00,-22.387856,-29.351988,0
2022-06-17T09:11:00.000+02:00,-22.394247,-29.369745,0
2022-06-17T09:12:00.000+02:00,-22.400993,-29.379688,0
2022-06-17T09:13:00.000+02:00,-22.413424,-29.392826,0
2022-06-17T09:14:00.000+02:00,-22.419815,-29.396378,0
2022-06-17T09:15:00.000+02:00,-22.425142,-29.39318,0
2022-06-17T09:16:00.000+02:00,-22.427628,-29.389275,0
2022-06-17T09:17:00.000+02:00,-22.409517,-29.385725,0
2022-06-17T09:18:00.000+02:00,-22.416973,-29.387856,0
2022-06-17T09:19:00.000+02:00,-22.423367,-29.3875,0
2022-06-17T09:20:00.000+02:00,-22.42017,-29.381464,0
2022-06-17T09:21:00.000+02:00,-22.427628,-29.380043,0
2022-06-17T09:22:00.000+02:00,-22.428694,-29.396023,0
2022-06-17T09:23:00.000+02:00,-22.427982,-29.397087,0
2022-06-17T09:24:00.000+02:00,-22.423367,-29.396732,0
2022-06-17T09:25:00.000+02:00,-22.425497,-29.391052,0
2022-06-17T09:26:00.000+02:00,-22.427273,-29.395668,0
2022-06-17T09:27:00.000+02:00,-22.431534,-29.400993,0
2022-06-17T09:28:00.000+02:00,-22.425852,-29.408451,0
2022-06-17T09:29:00.000+02:00,-22.432955,-29.413424,0
2022-06-17T09:30:00.000+02:00,-22.45,-29.42443,0
2022-06-17T09:31:00.000+02:00,-22.456392,-29.436506,0
2022-06-17T09:32:00.000+02:00,-22.456392,-29.434021,0
2022-06-17T09:33:00.000+02:00,-22.461363,-29.453197,0
2022-06-17T09:34:00.000+02:00,-22.472017,-29.459587,0
2022-06-17T09:35:00.000+02:00,-22.464205,-29.455326,0
2022-06-17T09:36:00.000+02:00,-22.460653,-29.44929,0
2022-06-17T09:37:00.000+02:00,-22.454262,-29.459944,0
2022-06-17T09:38:00.000+02:00,-22.46243,-29.459944,0
2022-06-17T09:39:00.000+02:00,-22.457458,-29.462784,0
2022-06-17T09:40:00.000+02:00,-22.460653,-29.459232,0
2022-06-17T09:41:00.000+02:00,-22.483025,-29.470951,0
2022-06-17T09:42:00.000+02:00,-22.480185,-29.470596,0
2022-06-17T09:43:00.000+02:00,-22.488708,-29.47699,0
2022-06-17T09:44:00.000+02:00,-22.489418,-29.484802,0
2022-06-17T09:45:00.000+02:00,-22.483736,-29.484447,0
2022-06-17T09:46:00.000+02:00,-22.485157,-29.49794,1
2022-06-17T09:47:00.000+02:00,-22.497585,-29.49723,1
2022-06-17T09:48:00.000+02:00,-22.512856,-29.465271,1
2022-06-17T09:49:00.000+02:00,-22.485157,-29.436506,1
2022-06-17T09:50:00.000+02:00,-22.491549,-29.40419,1
2022-06-17T09:51:00.000+02:00,-22.478054,-29.369034,1
2022-06-17T09:52:00.000+02:00,-22.457102,-29.371164,1
2022-06-17T09:53:00.000+02:00,-22.473082,-29.334587,1
2022-06-17T09:54:00.000+02:00,-22.57784,-29.093466,1
2022-06-17T09:55:00.000+02:00,-22.541264,-29.142826,1
2022-06-17T09:56:00.000+02:00,-22.48693,-29.225569,1
2022-06-17T09:57:00.000+02:00,-22.48409,-29.191479,1
2022-06-17T09:58:00.000+02:00,-22.435795,-29.260368,1
2022-06-17T09:59:00.000+02:00,-22.502558,-29.117615,1
2022-06-17T10:00:00.000+02:00,-22.632528,-28.9326,1
2022-06-17T10:01:00.000+02:00,-22.504688,-29.112642,1
2022-06-17T10:02:00.000+02:00,-22.502556,-29.122585,1
2022-06-17T10:03:00.000+02:00,-22.438637,-29.226278,1
2022-06-17T10:04:00.000+02:00,-22.417685,-29.29162,1
2022-06-17T10:05:00.000+02:00,-22.3875,-29.334587,1
2022-06-17T10:06:00.000+02:00,-22.423012,-29.32642,1
2022-06-17T10:07:00.000+02:00,-22.395313,-29.344177,1
2022-06-17T10:08:00.000+02:00,-22.41733,-29.377201,1
2022-06-17T10:09:00.000+02:00,-22.42159,-29.376137,0
2022-06-17T10:10:00.000+02:00,-22.407742,-29.37507,0
2022-06-17T10:11:00.000+02:00,-22.423367,-29.38821,0
2022-06-17T10:12:00.000+02:00,-22.424076,-29.410583,0
2022-06-17T10:13:00.000+02:00,-22.422657,-29.411293,0
2022-06-17T10:14:00.000+02:00,-22.423012,-29.405966,0
2022-06-17T10:15:00.000+02:00,-22.4152,-29.410227,0
2022-06-17T10:16:00.000+02:00,-22.453196,-29.427273,0
2022-06-17T10:17:00.000+02:00,-22.456038,-29.442543,0
2022-06-17T10:18:00.000+02:00,-22.453552,-29.441477,0
2022-06-17T10:19:00.000+02:00,-22.456392,-29.480541,0
2022-06-17T10:20:00.000+02:00,-22.497585,-29.522444,0
2022-06-17T10:21:00.000+02:00,-22.509659,-29.56044,0
2022-06-17T10:22:00.000+02:00,-22.507528,-29.55476,0
2022-06-17T10:23:00.000+02:00,-22.51392,-29.570383,0
2022-06-17T10:24:00.000+02:00,-22.524574,-29.580683,0
2022-06-17T10:25:00.000+02:00,-22.51534,-29.566479,0
2022-06-17T10:26:00.000+02:00,-22.494745,-29.54943,0
2022-06-17T10:27:00.000+02:00,-22.496164,-29.538778,0
2022-06-17T10:28:00.000+02:00,-22.505398,-29.537714,0
2022-06-17T10:29:00.000+02:00,-22.487288,-29.533806,0
2022-06-17T10:30:00.000+02:00,-22.479118,-29.523865,0
2022-06-17T10:31:00.000+02:00,-22.478764,-29.517471,0
2022-06-17T10:32:00.000+02:00,-22.487997,-29.522444,0
2022-06-17T10:33:00.000+02:00,-22.477345,-29.5299,0
2022-06-17T10:34:00.000+02:00,-22.480185,-29.548012,0
2022-06-17T10:35:00.000+02:00,-22.49297,-29.548367,0
2022-06-17T10:36:00.000+02:00,-22.506819,-29.54943,0
2022-06-17T10:37:00.000+02:00,-22.495098,-29.540554,0
2022-06-17T10:38:00.000+02:00,-22.49368,-29.534517,0
2022-06-17T10:39:00.000+02:00,-22.472017,-29.52706,0
2022-06-17T10:40:00.000+02:00,-22.500425,-29.556889,0
2022-06-17T10:41:00.000+02:00,-22.489063,-29.546236,0
2022-06-17T10:42:00.000+02:00,-22.500427,-29.533096,0
2022-06-17T10:43:00.000+02:00,-22.485157,-29.533808,0
