_c0,signal_std_final,signal_rad_final,pluie
2022-06-17T14:52:00.000+02:00,-22.723793,-29.386435,0
2022-06-17T14:53:00.000+02:00,-22.740839,-29.391407,0
2022-06-17T14:54:00.000+02:00,-22.749004,-29.407387,0
2022-06-17T14:55:00.000+02:00,-22.74794,-29.419106,0
2022-06-17T14:56:00.000+02:00,-22.753977,-29.434021,0
2022-06-17T14:57:00.000+02:00,-22.76321,-29.443607,0
2022-06-17T14:58:00.000+02:00,-22.751492,-29.43615,0
2022-06-17T14:59:00.000+02:00,-22.753267,-29.444674,0
2022-06-17T15:00:00.000+02:00,-22.76179,-29.458523,0
2022-06-17T15:01:00.000+02:00,-22.773153,-29.469532,0
2022-06-17T15:02:00.000+02:00,-22.765696,-29.469532,0
2022-06-17T15:03:00.000+02:00,-22.759304,-29.47166,0
2022-06-17T15:04:00.000+02:00,-22.756107,-29.47983,0
2022-06-17T15:05:00.000+02:00,-22.752201,-29.4777,0
2022-06-17T15:06:00.000+02:00,-22.75824,-29.482315,1
2022-06-17T15:07:00.000+02:00,-22.753622,-29.48267,1
2022-06-17T15:08:00.000+02:00,-22.753267,-29.4777,1
2022-06-17T15:09:00.000+02:00,-22.716335,-29.48693,1
2022-06-17T15:10:00.000+02:00,-22.742615,-29.447514,1
2022-06-17T15:11:00.000+02:00,-22.747585,-29.459942,1
2022-06-17T15:12:00.000+02:00,-22.76321,-29.4152,1
2022-06-17T15:13:00.000+02:00,-22.757883,-29.406677,1
2022-06-17T15:14:00.000+02:00,-22.703196,-29.441833,1
2022-06-17T15:15:00.000+02:00,-22.741194,-29.39922,1
2022-06-17T15:16:00.000+02:00,-22.76321,-29.393536,1
2022-06-17T15:17:00.000+02:00,-22.752201,-29.39922,1
2022-06-17T15:18:00.000+02:00,-22.707813,-29.447868,0
2022-06-17T15:19:00.000+02:00,-22.680824,-29.46598,0
2022-06-17T15:20:00.000+02:00,-22.68544,-29.483736,0
