_c0,signal_std_final,signal_rad_final,pluie
2022-06-17T20:52:00.000+02:00,-23.351635,-30.173721,0
2022-06-17T20:53:00.000+02:00,-23.348793,-30.155254,1
2022-06-17T20:54:00.000+02:00,-23.342045,-30.162003,1
2022-06-17T20:55:00.000+02:00,-23.33956,-30.158451,1
2022-06-17T20:56:00.000+02:00,-23.37081,-30.098438,1
2022-06-17T20:57:00.000+02:00,-23.410229,-30.00895,1
2022-06-17T20:58:00.000+02:00,-23.350924,-30.066833,1
2022-06-17T20:59:00.000+02:00,-23.407387,-29.958523,1
2022-06-17T21:00:00.000+02:00,-23.541264,-29.699291,1
2022-06-17T21:01:00.000+02:00,-23.476633,-29.816122,1
2022-06-17T21:02:00.000+02:00,-23.421236,-30.052982,1
2022-06-17T21:03:00.000+02:00,-23.316122,-30.159517,1
2022-06-17T21:04:00.000+02:00,-23.313992,-30.162357,1
2022-06-17T21:05:00.000+02:00,-23.303337,-30.17017,1
2022-06-17T21:06:00.000+02:00,-23.316832,-30.160582,1
2022-06-17T21:07:00.000+02:00,-23.311504,-30.163424,1
2022-06-17T21:08:00.000+02:00,-23.304758,-30.157032,1
2022-06-17T21:09:00.000+02:00,-23.323223,-30.128267,1
2022-06-17T21:10:00.000+02:00,-23.376492,-30.050497,1
2022-06-17T21:11:00.000+02:00,-23.499004,-29.772087,1
2022-06-17T21:12:00.000+02:00,-23.49581,-29.79659,1
2022-06-17T21:13:00.000+02:00,-23.460653,-29.85554,1
2022-06-17T21:14:00.000+02:00,-23.440767,-29.953907,1
2022-06-17T21:15:00.000+02:00,-23.442188,-29.993324,1
2022-06-17T21:16:00.000+02:00,-23.428694,-30.04659,1
2022-06-17T21:17:00.000+02:00,-23.397444,-30.035938,1
2022-06-17T21:18:00.000+02:00,-23.374361,-30.13892,1
2022-06-17T21:19:00.000+02:00,-23.331038,-30.13892,1
2022-06-17T21:20:00.000+02:00,-23.383595,-30.124006,1
2022-06-17T21:21:00.000+02:00,-23.420881,-30.05973,1
2022-06-17T21:22:00.000+02:00,-23.45071,-30.005398,1
2022-06-17T21:23:00.000+02:00,-23.389631,-30.062216,1
2022-06-17T21:24:00.000+02:00,-23.346306,-30.126846,1
2022-06-17T21:25:00.000+02:00,-23.358381,-30.132174,1
2022-06-17T21:26:00.000+02:00,-23.366194,-30.124716,0
2022-06-17T21:27:00.000+02:00,-23.360512,-30.136791,0
2022-06-17T21:28:00.000+02:00,-23.3598,-30.13395,0
2022-06-17T21:29:00.000+02:00,-23.380753,-30.128977,0
2022-06-17T21:30:00.000+02:00,-23.350924,-30.128267,0
2022-06-17T21:31:00.000+02:00,-23.365128,-30.136435,0
2022-06-17T21:32:00.000+02:00,-23.349503,-30.14105,0
2022-06-17T21:33:00.000+02:00,-23.361221,-30.137856,0
2022-06-17T21:34:00.000+02:00,-23.32784,-30.142471,0
2022-06-17T21:35:00.000+02:00,-23.34666,-30.130753,0
2022-06-17T21:36:00.000+02:00,-23.353409,-30.132883,0
2022-06-17T21:37:00.000+02:00,-23.3424,-30.1375,0
2022-06-17T21:38:00.000+02:00,-23.335653,-30.148865,0
2022-06-17T21:39:00.000+02:00,-23.347372,-30.149574,0
2022-06-17T21:40:00.000+02:00,-23.333878,-30.14993,0
2022-06-17T21:41:00.000+02:00,-23.328196,-30.152416,0
2022-06-17T21:42:00.000+02:00,-23.348438,-30.164133,0
2022-06-17T21:43:00.000+02:00,-23.35554,-30.126492,0
2022-06-17T21:44:00.000+02:00,-23.395668,-30.141762,0
2022-06-17T21:45:00.000+02:00,-23.370455,-30.136791,0
2022-06-17T21:46:00.000+02:00,-23.393892,-30.110867,0
2022-06-17T21:47:00.000+02:00,-23.344532,-30.116549,0
2022-06-17T21:48:00.000+02:00,-23.345951,-30.114773,0
2022-06-17T21:49:00.000+02:00,-23.320028,-30.1201,0
2022-06-17T21:50:00.000+02:00,-23.331392,-30.121164,0
2022-06-17T21:51:00.000+02:00,-23.332813,-30.128622,0
2022-06-17T21:52:00.000+02:00,-23.329971,-30.131819,0
2022-06-17T21:53:00.000+02:00,-23.303337,-30.135014,0
2022-06-17T21:54:00.000+02:00,-23.328196,-30.146378,0
2022-06-17T21:55:00.000+02:00,-23.319674,-30.156675,0
2022-06-17T21:56:00.000+02:00,-23.318253,-30.1549,0
2022-06-17T21:57:00.000+02:00,-23.302628,-30.161648,0
2022-06-17T21:58:00.000+02:00,-23.313637,-30.16733,0
2022-06-17T21:59:00.000+02:00,-23.303694,-30.168396,0
2022-06-17T22:00:00.000+02:00,-23.307955,-30.169106,0
2022-06-17T22:01:00.000+02:00,-23.320028,-30.168394,0
2022-06-17T22:02:00.000+02:00,-23.317543,-30.172657,0
2022-06-17T22:03:00.000+02:00,-23.328196,-30.17088,0
2022-06-17T22:04:00.000+02:00,-23.324291,-30.16875,0
2022-06-17T22:05:00.000+02:00,-23.32429,-30.171236,0
2022-06-17T22:06:00.000+02:00,-23.334232,-30.169815,0
2022-06-17T22:07:00.000+02:00,-23.344887,-30.16733,0
2022-06-17T22:08:00.000+02:00,-23.355185,-30.15632,0
2022-06-17T22:09:00.000+02:00,-23.351633,-30.15135,0
2022-06-17T22:10:00.000+02:00,-23.361576,-30.14993,0
2022-06-17T22:11:00.000+02:00,-23.367615,-30.143183,0
2022-06-17T22:12:00.000+02:00,-23.377556,-30.145668,0
2022-06-17T22:13:00.000+02:00,-23.381819,-30.15419,0
2022-06-17T22:14:00.000+02:00,-23.389986,-30.152771,0
2022-06-17T22:15:00.000+02:00,-23.386435,-30.14993,0
2022-06-17T22:16:00.000+02:00,-23.412003,-30.14922,0
2022-06-17T22:17:00.000+02:00,-23.412003,-30.132528,0
2022-06-17T22:18:00.000+02:00,-23.458523,-30.098082,0
2022-06-17T22:19:00.000+02:00,-23.482315,-30.08885,0
2022-06-17T22:20:00.000+02:00,-23.430824,-30.135014,0
2022-06-17T22:21:00.000+02:00,-23.427628,-30.148508,0
2022-06-17T22:22:00.000+02:00,-23.424433,-30.148153,0
2022-06-17T22:23:00.000+02:00,-23.418041,-30.144604,0
2022-06-17T22:24:00.000+02:00,-23.428694,-30.146732,0
2022-06-17T22:25:00.000+02:00,-23.431889,-30.13395,0
2022-06-17T22:26:00.000+02:00,-23.424076,-30.134659,0
2022-06-17T22:27:00.000+02:00,-23.424076,-30.139986,0
2022-06-17T22:28:00.000+02:00,-23.421946,-30.138565,0
2022-06-17T22:29:00.000+02:00,-23.426563,-30.141052,0
2022-06-17T22:30:00.000+02:00,-23.427982,-30.13821,0
2022-06-17T22:31:00.000+02:00,-23.425497,-30.147444,0
2022-06-17T22:32:00.000+02:00,-23.419815,-30.144247,0
2022-06-17T22:33:00.000+02:00,-23.410938,-30.146732,0
2022-06-17T22:34:00.000+02:00,-23.40632,-30.142117,0
2022-06-17T22:35:00.000+02:00,-23.424788,-30.146023,0
2022-06-17T22:36:00.000+02:00,-23.403126,-30.15135,0
2022-06-17T22:37:00.000+02:00,-23.402771,-30.15135,0
2022-06-17T22:38:00.000+02:00,-23.412714,-30.155256,0
2022-06-17T22:39:00.000+02:00,-23.397089,-30.157032,0
2022-06-17T22:40:00.000+02:00,-23.400284,-30.149574,0
2022-06-17T22:41:00.000+02:00,-23.39851,-30.151705,0
2022-06-17T22:42:00.000+02:00,-23.395668,-30.149574,0
2022-06-17T22:43:00.000+02:00,-23.415909,-30.151705,0
2022-06-17T22:44:00.000+02:00,-23.397089,-30.145668,0
2022-06-17T22:45:00.000+02:00,-23.393892,-30.144604,0
2022-06-17T22:46:00.000+02:00,-23.394604,-30.141407,0
2022-06-17T22:47:00.000+02:00,-23.405611,-30.141052,0
2022-06-17T22:48:00.000+02:00,-23.391407,-30.144958,0
2022-06-17T22:49:00.000+02:00,-23.40135,-30.13821,0
2022-06-17T22:50:00.000+02:00,-23.39993,-30.139275,0
2022-06-17T22:51:00.000+02:00,-23.391407,-30.142471,0
2022-06-17T22:52:00.000+02:00,-23.395668,-30.143892,0
2022-06-17T22:53:00.000+02:00,-23.390696,-30.143538,0
2022-06-17T22:54:00.000+02:00,-23.392117,-30.136435,0
2022-06-17T22:55:00.000+02:00,-23.382528,-30.1375,0
2022-06-17T22:56:00.000+02:00,-23.390696,-30.139986,0
2022-06-17T22:57:00.000+02:00,-23.40206,-30.142471,0
