_c0,signal_std_final,signal_rad_final,pluie
2022-06-19T08:52:00.000+02:00,-22.842756,-29.86193,0
2022-06-19T08:53:00.000+02:00,-22.839205,-29.861221,0
2022-06-19T08:54:00.000+02:00,-22.834944,-29.856606,0
2022-06-19T08:55:00.000+02:00,-22.8424,-29.8527,0
2022-06-19T08:56:00.000+02:00,-22.844887,-29.85199,0
2022-06-19T08:57:00.000+02:00,-22.844177,-29.853409,0
2022-06-19T08:58:00.000+02:00,-22.853764,-29.877201,0
2022-06-19T08:59:00.000+02:00,-22.861221,-29.866194,0
2022-06-19T09:00:00.000+02:00,-22.853054,-29.871521,0
2022-06-19T09:01:00.000+02:00,-22.861221,-29.88679,0
2022-06-19T09:02:00.000+02:00,-22.853764,-29.885014,0
2022-06-19T09:03:00.000+02:00,-22.85554,-29.879333,0
2022-06-19T09:04:00.000+02:00,-22.85554,-29.888565,0
2022-06-19T09:05:00.000+02:00,-22.851633,-29.881462,0
2022-06-19T09:06:00.000+02:00,-22.86726,-29.88608,0
2022-06-19T09:07:00.000+02:00,-22.86797,-29.888565,0
2022-06-19T09:08:00.000+02:00,-22.864063,-29.895668,0
2022-06-19T09:09:00.000+02:00,-22.863708,-29.892117,0
2022-06-19T09:10:00.000+02:00,-22.858381,-29.89318,0
2022-06-19T09:11:00.000+02:00,-22.868324,-29.897799,0
2022-06-19T09:12:00.000+02:00,-22.862997,-29.896732,0
2022-06-19T09:13:00.000+02:00,-22.859802,-29.896732,0
2022-06-19T09:14:00.000+02:00,-22.861576,-29.894958,0
2022-06-19T09:15:00.000+02:00,-22.881107,-29.899574,0
2022-06-19T09:16:00.000+02:00,-22.850212,-29.89993,0
2022-06-19T09:17:00.000+02:00,-22.858381,-29.903835,0
2022-06-19T09:18:00.000+02:00,-22.850924,-29.893536,0
2022-06-19T09:19:00.000+02:00,-22.837784,-29.88537,0
2022-06-19T09:20:00.000+02:00,-22.829262,-29.894602,0
2022-06-19T09:21:00.000+02:00,-22.859802,-29.897444,0
2022-06-19T09:22:00.000+02:00,-22.865837,-29.894958,0
2022-06-19T09:23:00.000+02:00,-22.854118,-29.893892,0
2022-06-19T09:24:00.000+02:00,-22.841335,-29.897087,0
2022-06-19T09:25:00.000+02:00,-22.862642,-29.900993,0
2022-06-19T09:26:00.000+02:00,-22.847727,-29.892826,0
2022-06-19T09:27:00.000+02:00,-22.871521,-29.906322,0
2022-06-19T09:28:00.000+02:00,-22.852345,-29.924076,0
2022-06-19T09:29:00.000+02:00,-22.815056,-29.868324,0
2022-06-19T09:30:00.000+02:00,-22.714205,-29.783096,0
2022-06-19T09:31:00.000+02:00,-22.66946,-29.741194,0
2022-06-19T09:32:00.000+02:00,-22.625782,-29.709944,0
2022-06-19T09:33:00.000+02:00,-22.646023,-29.726278,0
2022-06-19T09:34:00.000+02:00,-22.621521,-29.719532,0
2022-06-19T09:35:00.000+02:00,-22.616194,-29.720951,0
2022-06-19T09:36:00.000+02:00,-22.641762,-29.735512,0
2022-06-19T09:37:00.000+02:00,-22.657032,-29.756107,0
2022-06-19T09:38:00.000+02:00,-22.65419,-29.76179,0
2022-06-19T09:39:00.000+02:00,-22.659163,-29.766407,0
2022-06-19T09:40:00.000+02:00,-22.71669,-29.831747,0
2022-06-19T09:41:00.000+02:00,-22.82571,-29.957458,0
2022-06-19T09:42:00.000+02:00,-22.868324,-30.027416,0
2022-06-19T09:43:00.000+02:00,-22.810795,-29.938637,0
2022-06-19T09:44:00.000+02:00,-22.856606,-29.978054,0
2022-06-19T09:45:00.000+02:00,-22.828196,-29.93473,0
2022-06-19T09:46:00.000+02:00,-22.83885,-29.943253,0
2022-06-19T09:47:00.000+02:00,-22.829262,-29.937572,0
2022-06-19T09:48:00.000+02:00,-22.83885,-29.963139,0
2022-06-19T09:49:00.000+02:00,-22.93615,-29.996876,0
2022-06-19T09:50:00.000+02:00,-22.876137,-29.965626,0
2022-06-19T09:51:00.000+02:00,-22.88324,-29.951065,0
2022-06-19T09:52:00.000+02:00,-22.839205,-29.920525,0
2022-06-19T09:53:00.000+02:00,-22.811861,-29.867258,0
2022-06-19T09:54:00.000+02:00,-22.73267,-29.81044,0
2022-06-19T09:55:00.000+02:00,-22.722372,-29.797657,0
2022-06-19T09:56:00.000+02:00,-22.711365,-29.776348,0
2022-06-19T09:57:00.000+02:00,-22.687216,-29.715271,0
2022-06-19T09:58:00.000+02:00,-22.642826,-29.66875,0
2022-06-19T09:59:00.000+02:00,-22.692188,-29.692543,0
