_c0,signal_std_final,signal_rad_final,pluie
2022-06-20T20:52:00.000+02:00,-22.5576,-28.784872,0
2022-06-20T20:53:00.000+02:00,-22.553694,-28.783451,0
2022-06-20T20:54:00.000+02:00,-22.545527,-28.783451,0
2022-06-20T20:55:00.000+02:00,-22.541975,-28.787003,0
2022-06-20T20:56:00.000+02:00,-22.535227,-28.786293,0
2022-06-20T20:57:00.000+02:00,-22.53949,-28.784163,0
2022-06-20T20:58:00.000+02:00,-22.535938,-28.786293,0
2022-06-20T20:59:00.000+02:00,-22.521023,-28.784163,0
2022-06-20T21:00:00.000+02:00,-22.518538,-28.781675,0
2022-06-20T21:01:00.000+02:00,-22.515697,-28.781675,0
2022-06-20T21:02:00.000+02:00,-22.51179,-28.780966,0
2022-06-20T21:03:00.000+02:00,-22.514631,-28.78949,0
2022-06-20T21:04:00.000+02:00,-22.516762,-28.786293,0
2022-06-20T21:05:00.000+02:00,-22.522089,-28.78416,0
2022-06-20T21:06:00.000+02:00,-22.511435,-28.782742,0
2022-06-20T21:07:00.000+02:00,-22.522799,-28.783096,0
2022-06-20T21:08:00.000+02:00,-22.516052,-28.785938,0
2022-06-20T21:09:00.000+02:00,-22.51108,-28.798367,0
2022-06-20T21:10:00.000+02:00,-22.516407,-28.802628,0
2022-06-20T21:11:00.000+02:00,-22.51321,-28.804403,0
2022-06-20T21:12:00.000+02:00,-22.521023,-28.804049,0
2022-06-20T21:13:00.000+02:00,-22.523865,-28.804758,0
2022-06-20T21:14:00.000+02:00,-22.525993,-28.801208,0
2022-06-20T21:15:00.000+02:00,-22.535227,-28.80547,0
2022-06-20T21:16:00.000+02:00,-22.533806,-28.801208,0
2022-06-20T21:17:00.000+02:00,-22.526705,-28.799906,0
2022-06-20T21:18:00.000+02:00,-22.542803,-28.800852,0
2022-06-20T21:19:00.000+02:00,-22.54375,-28.800852,0
2022-06-20T21:20:00.000+02:00,-22.548012,-28.8018,0
2022-06-20T21:21:00.000+02:00,-22.549788,-28.799788,0
2022-06-20T21:22:00.000+02:00,-22.556889,-28.798367,0
2022-06-20T21:23:00.000+02:00,-22.557243,-28.802982,0
2022-06-20T21:24:00.000+02:00,-22.559849,-28.799906,0
2022-06-20T21:25:00.000+02:00,-22.564583,-28.798012,0
2022-06-20T21:26:00.000+02:00,-22.564346,-28.79943,0
2022-06-20T21:27:00.000+02:00,-22.563637,-28.797302,0
2022-06-20T21:28:00.000+02:00,-22.571095,-28.802982,0
2022-06-20T21:29:00.000+02:00,-22.572159,-28.793041,0
2022-06-20T21:30:00.000+02:00,-22.564583,-28.797064,0
2022-06-20T21:31:00.000+02:00,-22.576895,-28.79659,0
2022-06-20T21:32:00.000+02:00,-22.560795,-28.802273,0
2022-06-20T21:33:00.000+02:00,-22.572159,-28.796236,0
2022-06-20T21:34:00.000+02:00,-22.567543,-28.79446,0
2022-06-20T21:35:00.000+02:00,-22.57074,-28.791973,0
2022-06-20T21:36:00.000+02:00,-22.572159,-28.79375,0
2022-06-20T21:37:00.000+02:00,-22.58068,-28.7902,0
2022-06-20T21:38:00.000+02:00,-22.57074,-28.800142,0
2022-06-20T21:39:00.000+02:00,-22.57003,-28.799433,0
2022-06-20T21:40:00.000+02:00,-22.561861,-28.802982,0
2022-06-20T21:41:00.000+02:00,-22.55547,-28.804049,0
2022-06-20T21:42:00.000+02:00,-22.54659,-28.801918,0
2022-06-20T21:43:00.000+02:00,-22.552273,-28.802273,0
2022-06-20T21:44:00.000+02:00,-22.553339,-28.800854,0
2022-06-20T21:45:00.000+02:00,-22.539133,-28.800854,0
2022-06-20T21:46:00.000+02:00,-22.535938,-28.802273,0
