_c0,signal_std_final,signal_rad_final,pluie
2022-06-21T14:52:00.000+02:00,-23.554403,-28.360867,1
2022-06-21T14:53:00.000+02:00,-23.615482,-28.347017,1
2022-06-21T14:54:00.000+02:00,-23.56411,-28.37803,1
2022-06-21T14:55:00.000+02:00,-23.683666,-28.266052,1
2022-06-21T14:56:00.000+02:00,-24.134659,-27.853409,1
2022-06-21T14:57:00.000+02:00,-24.240128,-27.749716,1
2022-06-21T14:58:00.000+02:00,-23.805588,-28.150284,1
2022-06-21T14:59:00.000+02:00,-23.672539,-28.304167,1
2022-06-21T15:00:00.000+02:00,-23.510723,-28.521732,1
2022-06-21T15:01:00.000+02:00,-23.421118,-28.650759,1
2022-06-21T15:02:00.000+02:00,-23.307243,-28.751846,1
2022-06-21T15:03:00.000+02:00,-23.34382,-28.776705,1
2022-06-21T15:04:00.000+02:00,-23.364418,-28.78949,1
2022-06-21T15:05:00.000+02:00,-23.32642,-28.88821,1
2022-06-21T15:06:00.000+02:00,-23.187216,-29.092754,1
2022-06-21T15:07:00.000+02:00,-23.17088,-29.177982,1
2022-06-21T15:08:00.000+02:00,-23.16946,-29.1549,1
2022-06-21T15:09:00.000+02:00,-23.194319,-29.172302,1
2022-06-21T15:10:00.000+02:00,-23.177273,-29.170527,1
2022-06-21T15:11:00.000+02:00,-23.21243,-29.162357,1
2022-06-21T15:12:00.000+02:00,-23.187572,-29.166975,1
2022-06-21T15:13:00.000+02:00,-23.191122,-29.159163,1
2022-06-21T15:14:00.000+02:00,-23.200947,-29.141287,1
2022-06-21T15:15:00.000+02:00,-23.276705,-29.053694,1
2022-06-21T15:16:00.000+02:00,-23.301563,-29.039488,1
2022-06-21T15:17:00.000+02:00,-23.364773,-28.925852,1
2022-06-21T15:18:00.000+02:00,-23.391052,-28.897442,1
2022-06-21T15:19:00.000+02:00,-23.370098,-28.834232,1
2022-06-21T15:20:00.000+02:00,-23.435085,-28.822514,1
2022-06-21T15:21:00.000+02:00,-23.37365,-28.865837,1
2022-06-21T15:22:00.000+02:00,-23.370455,-28.88821,1
2022-06-21T15:23:00.000+02:00,-23.313637,-28.976633,1
2022-06-21T15:24:00.000+02:00,-23.30831,-28.989418,1
2022-06-21T15:25:00.000+02:00,-23.315767,-28.971663,1
2022-06-21T15:26:00.000+02:00,-23.2799,-29.007885,1
2022-06-21T15:27:00.000+02:00,-23.267471,-29.049076,1
2022-06-21T15:28:00.000+02:00,-23.23054,-29.109802,1
2022-06-21T15:29:00.000+02:00,-23.21598,-29.15348,1
2022-06-21T15:30:00.000+02:00,-23.177628,-29.190413,1
2022-06-21T15:31:00.000+02:00,-23.193607,-29.188637,1
2022-06-21T15:32:00.000+02:00,-23.182955,-29.212784,1
2022-06-21T15:33:00.000+02:00,-23.16733,-29.23693,1
2022-06-21T15:34:00.000+02:00,-23.179049,-29.249716,1
2022-06-21T15:35:00.000+02:00,-23.1652,-29.26179,1
2022-06-21T15:36:00.000+02:00,-23.16733,-29.269957,1
2022-06-21T15:37:00.000+02:00,-23.17017,-29.273153,1
2022-06-21T15:38:00.000+02:00,-23.162712,-29.282032,1
2022-06-21T15:39:00.000+02:00,-23.166975,-29.280256,0
2022-06-21T15:40:00.000+02:00,-23.127913,-29.268892,0
2022-06-21T15:41:00.000+02:00,-23.158451,-29.260368,0
2022-06-21T15:42:00.000+02:00,-23.146378,-29.26108,0
2022-06-21T15:43:00.000+02:00,-23.139631,-29.282032,0
2022-06-21T15:44:00.000+02:00,-23.139986,-29.302982,0
2022-06-21T15:45:00.000+02:00,-23.1375,-29.30547,0
2022-06-21T15:46:00.000+02:00,-23.130398,-29.306889,0
2022-06-21T15:47:00.000+02:00,-23.154545,-29.309376,0
2022-06-21T15:48:00.000+02:00,-23.153126,-29.310795,0
2022-06-21T15:49:00.000+02:00,-23.131819,-29.31257,0
2022-06-21T15:50:00.000+02:00,-23.162357,-29.317543,0
2022-06-21T15:51:00.000+02:00,-23.147799,-29.316833,0
2022-06-21T15:52:00.000+02:00,-23.170881,-29.318607,0
2022-06-21T15:53:00.000+02:00,-23.160583,-29.315767,0
2022-06-21T15:54:00.000+02:00,-23.153126,-29.30973,0
2022-06-21T15:55:00.000+02:00,-23.175852,-29.307955,0
2022-06-21T15:56:00.000+02:00,-23.176918,-29.30476,0
2022-06-21T15:57:00.000+02:00,-23.169106,-29.312927,0
2022-06-21T15:58:00.000+02:00,-23.158808,-29.32429,0
2022-06-21T15:59:00.000+02:00,-23.158096,-29.320028,0
2022-06-21T16:00:00.000+02:00,-23.164845,-29.32784,1
2022-06-21T16:01:00.000+02:00,-23.16875,-29.316122,1
2022-06-21T16:02:00.000+02:00,-23.18473,-29.316122,1
2022-06-21T16:03:00.000+02:00,-23.203552,-29.297302,1
2022-06-21T16:04:00.000+02:00,-23.204617,-29.288069,1
2022-06-21T16:05:00.000+02:00,-23.207813,-29.283451,1
2022-06-21T16:06:00.000+02:00,-23.239063,-29.253267,1
