_c0,signal_std_final,signal_rad_final,pluie
2022-06-21T20:52:00.000+02:00,-23.0701465,-28.318904,1
2022-06-21T20:53:00.000+02:00,-23.319792,-28.162122,1
2022-06-21T20:54:00.000+02:00,-23.1795215,-28.22906,1
2022-06-21T20:55:00.000+02:00,-23.182363,-28.2249765,1
2022-06-21T20:56:00.000+02:00,-23.182363,-28.2249765,1
2022-06-21T20:57:00.000+02:00,-23.182363,-28.2249765,1
2022-06-21T20:58:00.000+02:00,-23.182363,-28.2249765,1
2022-06-21T20:59:00.000+02:00,-23.449527,-28.149811,1
2022-06-21T21:00:00.000+02:00,-23.406084,-28.172598,1
2022-06-21T21:01:00.000+02:00,-23.316063,-28.2437975,1
2022-06-21T21:02:00.000+02:00,-23.250366999999997,-28.2551615,1
2022-06-21T21:03:00.000+02:00,-23.229770000000002,-28.297953,1
2022-06-21T21:04:00.000+02:00,-23.1883995,-28.344828,1
2022-06-21T21:05:00.000+02:00,-23.093584,-28.438223,1
2022-06-21T21:06:00.000+02:00,-22.991843,-28.512974,1
2022-06-21T21:07:00.000+02:00,-22.9724905,-28.5127965,1
2022-06-21T21:08:00.000+02:00,-22.958463000000002,-28.521497,1
2022-06-21T21:09:00.000+02:00,-23.084944,-27.678339,1
2022-06-21T21:10:00.000+02:00,-22.936152,-27.980896,1
2022-06-21T21:11:00.000+02:00,-22.944674,-27.953907,1
2022-06-21T21:12:00.000+02:00,-22.896378,-28.026705,1
2022-06-21T21:13:00.000+02:00,-22.915554,-28.02777,1
2022-06-21T21:14:00.000+02:00,-22.900284,-28.037003,1
2022-06-21T21:15:00.000+02:00,-22.845242,-28.124716,1
2022-06-21T21:16:00.000+02:00,-22.815056,-28.19929,1
2022-06-21T21:17:00.000+02:00,-22.734446,-28.26392,1
2022-06-21T21:18:00.000+02:00,-22.758595,-28.282742,1
2022-06-21T21:19:00.000+02:00,-22.724148,-28.298367,1
2022-06-21T21:20:00.000+02:00,-22.741903,-28.323225,1
2022-06-21T21:21:00.000+02:00,-22.707813,-28.341335,1
2022-06-21T21:22:00.000+02:00,-22.737288,-28.312216,1
2022-06-21T21:23:00.000+02:00,-22.650284,-28.425142,1
2022-06-21T21:24:00.000+02:00,-22.619034,-28.595951,1
2022-06-21T21:25:00.000+02:00,-22.660229,-28.598082,0
2022-06-21T21:26:00.000+02:00,-22.697159,-28.597727,0
2022-06-21T21:27:00.000+02:00,-22.675142,-28.597017,0
2022-06-21T21:28:00.000+02:00,-22.68047,-28.593111,0
2022-06-21T21:29:00.000+02:00,-22.695383,-28.592756,0
2022-06-21T21:30:00.000+02:00,-22.685795,-28.58743,0
2022-06-21T21:31:00.000+02:00,-22.679049,-28.588493,0
2022-06-21T21:32:00.000+02:00,-22.704262,-28.578552,0
2022-06-21T21:33:00.000+02:00,-22.70568,-28.579617,0
2022-06-21T21:34:00.000+02:00,-22.761435,-28.521378,0
2022-06-21T21:35:00.000+02:00,-22.71669,-28.553337,0
2022-06-21T21:36:00.000+02:00,-22.716335,-28.582102,0
2022-06-21T21:37:00.000+02:00,-22.712074,-28.584944,0
2022-06-21T21:38:00.000+02:00,-22.71456,-28.587784,0
2022-06-21T21:39:00.000+02:00,-22.707102,-28.579971,0
2022-06-21T21:40:00.000+02:00,-22.681889,-28.57642,0
2022-06-21T21:41:00.000+02:00,-22.681534,-28.58672,0
2022-06-21T21:42:00.000+02:00,-22.698225,-28.586008,0
