_c0,signal_std_final,signal_rad_final,pluie
2022-06-22T08:52:00.000+02:00,-22.583523,-28.833878,0
2022-06-22T08:53:00.000+02:00,-22.555824,-28.839916,0
2022-06-22T08:54:00.000+02:00,-22.577486,-28.847372,0
2022-06-22T08:55:00.000+02:00,-22.578196,-28.852345,0
2022-06-22T08:56:00.000+02:00,-22.57287,-28.860512,0
2022-06-22T08:57:00.000+02:00,-22.566477,-28.858736,0
2022-06-22T08:58:00.000+02:00,-22.566122,-28.85696,0
2022-06-22T08:59:00.000+02:00,-22.571804,-28.869743,0
2022-06-22T09:00:00.000+02:00,-22.576775,-28.87294,0
2022-06-22T09:01:00.000+02:00,-22.578196,-28.885014,0
2022-06-22T09:02:00.000+02:00,-22.571804,-28.895668,0
2022-06-22T09:03:00.000+02:00,-22.569674,-28.900639,0
2022-06-22T09:04:00.000+02:00,-22.582457,-28.90348,0
2022-06-22T09:05:00.000+02:00,-22.576775,-28.913424,0
2022-06-22T09:06:00.000+02:00,-22.584589,-28.919815,0
2022-06-22T09:07:00.000+02:00,-22.585653,-28.925142,0
2022-06-22T09:08:00.000+02:00,-22.583523,-28.929049,0
2022-06-22T09:09:00.000+02:00,-22.598083,-28.93473,0
2022-06-22T09:10:00.000+02:00,-22.59169,-28.943253,0
2022-06-22T09:11:00.000+02:00,-22.59169,-28.941477,0
2022-06-22T09:12:00.000+02:00,-22.584944,-28.942188,0
2022-06-22T09:13:00.000+02:00,-22.5924,-28.95142,0
2022-06-22T09:14:00.000+02:00,-22.609802,-28.960299,0
2022-06-22T09:15:00.000+02:00,-22.60412,-28.972372,0
2022-06-22T09:16:00.000+02:00,-22.607315,-28.974148,0
2022-06-22T09:17:00.000+02:00,-22.597372,-28.979475,0
2022-06-22T09:18:00.000+02:00,-22.603054,-28.987642,0
2022-06-22T09:19:00.000+02:00,-22.6027,-29.000427,0
2022-06-22T09:20:00.000+02:00,-22.621166,-29.004688,0
2022-06-22T09:21:00.000+02:00,-22.61726,-29.014986,0
2022-06-22T09:22:00.000+02:00,-22.613352,-29.026705,0
2022-06-22T09:23:00.000+02:00,-22.619743,-29.037003,0
2022-06-22T09:24:00.000+02:00,-22.620455,-29.039133,0
2022-06-22T09:25:00.000+02:00,-22.631462,-29.044815,0
2022-06-22T09:26:00.000+02:00,-22.625427,-29.045881,0
2022-06-22T09:27:00.000+02:00,-22.641762,-29.045525,0
2022-06-22T09:28:00.000+02:00,-22.620455,-29.048721,0
2022-06-22T09:29:00.000+02:00,-22.619743,-29.049786,0
2022-06-22T09:30:00.000+02:00,-22.620455,-29.05618,0
2022-06-22T09:31:00.000+02:00,-22.624006,-29.057598,0
2022-06-22T09:32:00.000+02:00,-22.62507,-29.068253,0
2022-06-22T09:33:00.000+02:00,-22.624716,-29.072514,0
2022-06-22T09:34:00.000+02:00,-22.627201,-29.07642,0
2022-06-22T09:35:00.000+02:00,-22.619389,-29.083168,0
2022-06-22T09:36:00.000+02:00,-22.613707,-29.082457,0
2022-06-22T09:37:00.000+02:00,-22.613708,-29.085653,0
2022-06-22T09:38:00.000+02:00,-22.616549,-29.09098,0
2022-06-22T09:39:00.000+02:00,-22.612288,-29.09382,0
2022-06-22T09:40:00.000+02:00,-22.608025,-29.095596,0
2022-06-22T09:41:00.000+02:00,-22.611576,-29.08956,0
2022-06-22T09:42:00.000+02:00,-22.60909,-29.103764,0
2022-06-22T09:43:00.000+02:00,-22.617258,-29.12507,0
2022-06-22T09:44:00.000+02:00,-22.618324,-29.127558,0
2022-06-22T09:45:00.000+02:00,-22.624006,-29.13679,0
2022-06-22T09:46:00.000+02:00,-22.612642,-29.135725,0
2022-06-22T09:47:00.000+02:00,-22.607315,-29.136791,0
2022-06-22T09:48:00.000+02:00,-22.611221,-29.139986,0
2022-06-22T09:49:00.000+02:00,-22.600212,-29.132883,0
2022-06-22T09:50:00.000+02:00,-22.60483,-29.132883,0
2022-06-22T09:51:00.000+02:00,-22.601633,-29.137856,0
2022-06-22T09:52:00.000+02:00,-22.598438,-29.139275,0
2022-06-22T09:53:00.000+02:00,-22.599148,-29.145668,0
2022-06-22T09:54:00.000+02:00,-22.595242,-29.146023,0
2022-06-22T09:55:00.000+02:00,-22.59382,-29.146732,0
2022-06-22T09:56:00.000+02:00,-22.58672,-29.145668,0
2022-06-22T09:57:00.000+02:00,-22.572159,-29.14993,0
2022-06-22T09:58:00.000+02:00,-22.593822,-29.145313,0
2022-06-22T09:59:00.000+02:00,-22.57571,-29.134659,0
2022-06-22T10:00:00.000+02:00,-22.574646,-29.131819,0
2022-06-22T10:01:00.000+02:00,-22.57145,-29.128267,0
2022-06-22T10:02:00.000+02:00,-22.5473,-29.127913,0
2022-06-22T10:03:00.000+02:00,-22.562927,-29.131817,0
2022-06-22T10:04:00.000+02:00,-22.560085,-29.143892,0
2022-06-22T10:05:00.000+02:00,-22.565056,-29.149574,0
2022-06-22T10:06:00.000+02:00,-22.567188,-29.150284,0
2022-06-22T10:07:00.000+02:00,-22.568962,-29.16449,0
2022-06-22T10:08:00.000+02:00,-22.572514,-29.162712,0
2022-06-22T10:09:00.000+02:00,-22.562572,-29.162712,0
2022-06-22T10:10:00.000+02:00,-22.566479,-29.165909,0
2022-06-22T10:11:00.000+02:00,-22.578552,-29.164845,0
2022-06-22T10:12:00.000+02:00,-22.560085,-29.163424,0
2022-06-22T10:13:00.000+02:00,-22.563282,-29.162712,0
