_c0,signal_std_final,signal_rad_final,pluie
2022-05-20T02:52:00.000+02:00,-22.253267,-28.586008,0
2022-05-20T02:53:00.000+02:00,-22.235867,-28.580326,0
2022-05-20T02:54:00.000+02:00,-22.234446,-28.588493,0
2022-05-20T02:55:00.000+02:00,-22.248295,-28.592045,0
2022-05-20T02:56:00.000+02:00,-22.246876,-28.593466,0
2022-05-20T02:57:00.000+02:00,-22.239063,-28.597372,0
2022-05-20T02:58:00.000+02:00,-22.253622,-28.599148,0
2022-05-20T02:59:00.000+02:00,-22.257174,-28.600212,0
2022-05-20T03:00:00.000+02:00,-22.2625,-28.593111,0
2022-05-20T03:01:00.000+02:00,-22.259659,-28.59098,0
2022-05-20T03:02:00.000+02:00,-22.26321,-28.588139,0
2022-05-20T03:03:00.000+02:00,-22.256462,-28.583523,0
2022-05-20T03:04:00.000+02:00,-22.272799,-28.58601,0
2022-05-20T03:05:00.000+02:00,-22.280966,-28.589205,0
2022-05-20T03:06:00.000+02:00,-22.27706,-28.59169,0
2022-05-20T03:07:00.000+02:00,-22.302982,-28.593466,0
2022-05-20T03:08:00.000+02:00,-22.29375,-28.597372,0
2022-05-20T03:09:00.000+02:00,-22.288424,-28.582458,0
2022-05-20T03:10:00.000+02:00,-22.29304,-28.58956,0
2022-05-20T03:11:00.000+02:00,-22.29517,-28.57429,1
2022-05-20T03:12:00.000+02:00,-22.310085,-28.577486,1
2022-05-20T03:13:00.000+02:00,-22.312927,-28.598083,1
2022-05-20T03:14:00.000+02:00,-22.336365,-28.550854,1
2022-05-20T03:15:00.000+02:00,-22.342756,-28.548367,1
2022-05-20T03:16:00.000+02:00,-22.328196,-28.561861,1
2022-05-20T03:17:00.000+02:00,-22.271732,-28.601278,1
2022-05-20T03:18:00.000+02:00,-22.258595,-28.62223,1
2022-05-20T03:19:00.000+02:00,-22.300142,-28.621164,1
2022-05-20T03:20:00.000+02:00,-22.329617,-28.597017,1
2022-05-20T03:21:00.000+02:00,-22.371521,-28.566122,1
2022-05-20T03:22:00.000+02:00,-22.459232,-28.38608,1
2022-05-20T03:23:00.000+02:00,-22.463493,-28.335299,1
2022-05-20T03:24:00.000+02:00,-22.438637,-28.400995,1
2022-05-20T03:25:00.000+02:00,-22.386435,-28.513922,1
2022-05-20T03:26:00.000+02:00,-22.35199,-28.522799,1
2022-05-20T03:27:00.000+02:00,-22.348793,-28.499004,1
2022-05-20T03:28:00.000+02:00,-22.38324,-28.51392,1
2022-05-20T03:29:00.000+02:00,-22.306889,-28.59098,1
2022-05-20T03:30:00.000+02:00,-22.295881,-28.65135,1
2022-05-20T03:31:00.000+02:00,-22.298721,-28.670881,0
2022-05-20T03:32:00.000+02:00,-22.277416,-28.663424,0
2022-05-20T03:33:00.000+02:00,-22.29162,-28.673012,0
2022-05-20T03:34:00.000+02:00,-22.296946,-28.663424,0
2022-05-20T03:35:00.000+02:00,-22.27848,-28.673012,0
2022-05-20T03:36:00.000+02:00,-22.287712,-28.669815,0
2022-05-20T03:37:00.000+02:00,-22.284517,-28.6652,0
2022-05-20T03:38:00.000+02:00,-22.282742,-28.664488,0
2022-05-20T03:39:00.000+02:00,-22.29375,-28.67088,0
2022-05-20T03:40:00.000+02:00,-22.279545,-28.688282,0
2022-05-20T03:41:00.000+02:00,-22.29233,-28.682243,0
2022-05-20T03:42:00.000+02:00,-22.26321,-28.68757,0
2022-05-20T03:43:00.000+02:00,-22.300142,-28.691833,0
2022-05-20T03:44:00.000+02:00,-22.276705,-28.697868,0
2022-05-20T03:45:00.000+02:00,-22.290554,-28.698935,0
2022-05-20T03:46:00.000+02:00,-22.289845,-28.704617,0
2022-05-20T03:47:00.000+02:00,-22.288424,-28.707813,0
2022-05-20T03:48:00.000+02:00,-22.304049,-28.694319,0
2022-05-20T03:49:00.000+02:00,-22.288424,-28.697868,0
2022-05-20T03:50:00.000+02:00,-22.289845,-28.706747,0
2022-05-20T03:51:00.000+02:00,-22.269247,-28.70213,0
2022-05-20T03:52:00.000+02:00,-22.312927,-28.707813,0
2022-05-20T03:53:00.000+02:00,-22.286293,-28.71669,0
2022-05-20T03:54:00.000+02:00,-22.293396,-28.713493,0
2022-05-20T03:55:00.000+02:00,-22.267471,-28.711365,0
2022-05-20T03:56:00.000+02:00,-22.283096,-28.710299,0
2022-05-20T03:57:00.000+02:00,-22.27422,-28.715271,0
2022-05-20T03:58:00.000+02:00,-22.301918,-28.714916,0
2022-05-20T03:59:00.000+02:00,-22.28416,-28.71456,0
2022-05-20T04:00:00.000+02:00,-22.283806,-28.71598,0
2022-05-20T04:01:00.000+02:00,-22.287003,-28.723083,0
2022-05-20T04:02:00.000+02:00,-22.28132,-28.723793,0
2022-05-20T04:03:00.000+02:00,-22.296947,-28.725212,0
2022-05-20T04:04:00.000+02:00,-22.294106,-28.718466,0
2022-05-20T04:05:00.000+02:00,-22.301208,-28.724503,0
2022-05-20T04:06:00.000+02:00,-22.282387,-28.728054,0
2022-05-20T04:07:00.000+02:00,-22.285938,-28.722372,0
2022-05-20T04:08:00.000+02:00,-22.268892,-28.725212,0
2022-05-20T04:09:00.000+02:00,-22.26392,-28.72699,0
2022-05-20T04:10:00.000+02:00,-22.272799,-28.73054,0
2022-05-20T04:11:00.000+02:00,-22.269602,-28.724503,0
2022-05-20T04:12:00.000+02:00,-22.272799,-28.736221,0
2022-05-20T04:13:00.000+02:00,-22.267826,-28.741903,0
2022-05-20T04:14:00.000+02:00,-22.260725,-28.782032,0
2022-05-20T04:15:00.000+02:00,-22.269247,-28.737642,0
2022-05-20T04:16:00.000+02:00,-22.255398,-28.730894,0
2022-05-20T04:17:00.000+02:00,-22.268538,-28.734802,0
2022-05-20T04:18:00.000+02:00,-22.250782,-28.728764,0
2022-05-20T04:19:00.000+02:00,-22.241192,-28.73125,0
2022-05-20T04:20:00.000+02:00,-22.244743,-28.742613,0
2022-05-20T04:21:00.000+02:00,-22.227345,-28.73409,0
2022-05-20T04:22:00.000+02:00,-22.239773,-28.744745,0
2022-05-20T04:23:00.000+02:00,-22.236933,-28.746876,0
2022-05-20T04:24:00.000+02:00,-22.239063,-28.746164,0
2022-05-20T04:25:00.000+02:00,-22.242258,-28.741549,0
2022-05-20T04:26:00.000+02:00,-22.241549,-28.745455,0
2022-05-20T04:27:00.000+02:00,-22.23125,-28.74368,0
2022-05-20T04:28:00.000+02:00,-22.238708,-28.744034,0
2022-05-20T04:29:00.000+02:00,-22.248295,-28.751137,0
2022-05-20T04:30:00.000+02:00,-22.229118,-28.74368,0
2022-05-20T04:31:00.000+02:00,-22.224148,-28.755043,0
2022-05-20T04:32:00.000+02:00,-22.218111,-28.755753,0
2022-05-20T04:33:00.000+02:00,-22.218466,-28.759659,0
2022-05-20T04:34:00.000+02:00,-22.21882,-28.764986,0
2022-05-20T04:35:00.000+02:00,-22.195383,-28.767471,0
