_c0,signal_std_final,signal_rad_final,pluie
2022-06-22T20:52:00.000+02:00,-22.407387,-29.443607,0
2022-06-22T20:53:00.000+02:00,-22.404902,-29.44787,0
2022-06-22T20:54:00.000+02:00,-22.396023,-29.444674,0
2022-06-22T20:55:00.000+02:00,-22.398865,-29.444319,0
2022-06-22T20:56:00.000+02:00,-22.394602,-29.447159,0
2022-06-22T20:57:00.000+02:00,-22.387146,-29.447159,0
2022-06-22T20:58:00.000+02:00,-22.390696,-29.447514,0
2022-06-22T20:59:00.000+02:00,-22.374716,-29.446804,0
2022-06-22T21:00:00.000+02:00,-22.380753,-29.44787,0
2022-06-22T21:01:00.000+02:00,-22.374006,-29.444319,0
2022-06-22T21:02:00.000+02:00,-22.371876,-29.443253,0
2022-06-22T21:03:00.000+02:00,-22.37081,-29.447159,0
2022-06-22T21:04:00.000+02:00,-22.369389,-29.438282,0
2022-06-22T21:05:00.000+02:00,-22.366194,-29.438992,0
2022-06-22T21:06:00.000+02:00,-22.355896,-29.436861,0
2022-06-22T21:07:00.000+02:00,-22.359093,-29.436861,0
2022-06-22T21:08:00.000+02:00,-22.364418,-29.434021,0
2022-06-22T21:09:00.000+02:00,-22.35696,-29.430824,0
2022-06-22T21:10:00.000+02:00,-22.361221,-29.432598,0
2022-06-22T21:11:00.000+02:00,-22.365837,-29.428694,0
2022-06-22T21:12:00.000+02:00,-22.36797,-29.428694,0
2022-06-22T21:13:00.000+02:00,-22.369389,-29.433664,0
2022-06-22T21:14:00.000+02:00,-22.38821,-29.425497,0
2022-06-22T21:15:00.000+02:00,-22.381819,-29.425497,0
2022-06-22T21:16:00.000+02:00,-22.38608,-29.426563,0
2022-06-22T21:17:00.000+02:00,-22.39034,-29.429758,0
2022-06-22T21:18:00.000+02:00,-22.391407,-29.427982,0
2022-06-22T21:19:00.000+02:00,-22.401705,-29.423367,0
2022-06-22T21:20:00.000+02:00,-22.409515,-29.42443,0
2022-06-22T21:21:00.000+02:00,-22.40632,-29.424788,0
2022-06-22T21:22:00.000+02:00,-22.411648,-29.421946,0
2022-06-22T21:23:00.000+02:00,-22.410938,-29.425497,0
2022-06-22T21:24:00.000+02:00,-22.417685,-29.424433,0
2022-06-22T21:25:00.000+02:00,-22.425852,-29.426563,0
2022-06-22T21:26:00.000+02:00,-22.423012,-29.417685,0
2022-06-22T21:27:00.000+02:00,-22.430115,-29.419815,0
2022-06-22T21:28:00.000+02:00,-22.43047,-29.41733,0
2022-06-22T21:29:00.000+02:00,-22.429403,-29.421947,0
2022-06-22T21:30:00.000+02:00,-22.438992,-29.418396,0
2022-06-22T21:31:00.000+02:00,-22.434376,-29.41662,0
2022-06-22T21:32:00.000+02:00,-22.429403,-29.413778,0
2022-06-22T21:33:00.000+02:00,-22.429049,-29.41449,0
2022-06-22T21:34:00.000+02:00,-22.423012,-29.410583,0
2022-06-22T21:35:00.000+02:00,-22.426563,-29.410227,0
2022-06-22T21:36:00.000+02:00,-22.430824,-29.409163,0
2022-06-22T21:37:00.000+02:00,-22.419106,-29.412357,0
2022-06-22T21:38:00.000+02:00,-22.423012,-29.412003,0
2022-06-22T21:39:00.000+02:00,-22.4223,-29.416264,0
2022-06-22T21:40:00.000+02:00,-22.41875,-29.40632,0
2022-06-22T21:41:00.000+02:00,-22.412712,-29.407387,0
2022-06-22T21:42:00.000+02:00,-22.415909,-29.40419,0
2022-06-22T21:43:00.000+02:00,-22.410227,-29.407742,0
2022-06-22T21:44:00.000+02:00,-22.402771,-29.407032,0
2022-06-22T21:45:00.000+02:00,-22.39318,-29.401705,0
2022-06-22T21:46:00.000+02:00,-22.38608,-29.380753,0
2022-06-22T21:47:00.000+02:00,-22.396023,-29.405966,0
2022-06-22T21:48:00.000+02:00,-22.380398,-29.403835,0
2022-06-22T21:49:00.000+02:00,-22.382883,-29.405256,0
2022-06-22T21:50:00.000+02:00,-22.382883,-29.399574,0
2022-06-22T21:51:00.000+02:00,-22.382528,-29.401705,0
2022-06-22T21:52:00.000+02:00,-22.37223,-29.400284,0
2022-06-22T21:53:00.000+02:00,-22.378622,-29.403126,0
2022-06-22T21:54:00.000+02:00,-22.37791,-29.39922,0
2022-06-22T21:55:00.000+02:00,-22.376137,-29.397799,0
2022-06-22T21:56:00.000+02:00,-22.382883,-29.402414,0
2022-06-22T21:57:00.000+02:00,-22.380753,-29.400995,0
2022-06-22T21:58:00.000+02:00,-22.374006,-29.398865,0
2022-06-22T21:59:00.000+02:00,-22.381107,-29.398863,0
2022-06-22T22:00:00.000+02:00,-22.384659,-29.393538,0
2022-06-22T22:01:00.000+02:00,-22.385014,-29.394602,0
2022-06-22T22:02:00.000+02:00,-22.389275,-29.393538,0
2022-06-22T22:03:00.000+02:00,-22.398865,-29.396023,0
2022-06-22T22:04:00.000+02:00,-22.393536,-29.396023,0
2022-06-22T22:05:00.000+02:00,-22.39922,-29.394958,0
2022-06-22T22:06:00.000+02:00,-22.402414,-29.391407,0
2022-06-22T22:07:00.000+02:00,-22.40419,-29.400639,0
2022-06-22T22:08:00.000+02:00,-22.41875,-29.397442,0
2022-06-22T22:09:00.000+02:00,-22.41946,-29.389986,0
2022-06-22T22:10:00.000+02:00,-22.426563,-29.39318,0
2022-06-22T22:11:00.000+02:00,-22.427628,-29.393538,0
2022-06-22T22:12:00.000+02:00,-22.43615,-29.389631,0
2022-06-22T22:13:00.000+02:00,-22.444319,-29.38821,0
2022-06-22T22:14:00.000+02:00,-22.458878,-29.392117,0
2022-06-22T22:15:00.000+02:00,-22.46669,-29.38608,0
2022-06-22T22:16:00.000+02:00,-22.472727,-29.392117,0
2022-06-22T22:17:00.000+02:00,-22.48125,-29.38821,0
2022-06-22T22:18:00.000+02:00,-22.490837,-29.388565,0
2022-06-22T22:19:00.000+02:00,-22.494034,-29.390697,0
2022-06-22T22:20:00.000+02:00,-22.49794,-29.385368,0
2022-06-22T22:21:00.000+02:00,-22.494389,-29.38679,0
2022-06-22T22:22:00.000+02:00,-22.507885,-29.393892,0
2022-06-22T22:23:00.000+02:00,-22.507174,-29.389277,0
2022-06-22T22:24:00.000+02:00,-22.503977,-29.391762,0
2022-06-22T22:25:00.000+02:00,-22.508595,-29.390696,0
2022-06-22T22:26:00.000+02:00,-22.506462,-29.394602,0
2022-06-22T22:27:00.000+02:00,-22.509659,-29.38892,0
2022-06-22T22:28:00.000+02:00,-22.505753,-29.391407,0
2022-06-22T22:29:00.000+02:00,-22.506107,-29.395668,0
2022-06-22T22:30:00.000+02:00,-22.50007,-29.383595,0
2022-06-22T22:31:00.000+02:00,-22.496521,-29.395313,0
2022-06-22T22:32:00.000+02:00,-22.503977,-29.397087,0
2022-06-22T22:33:00.000+02:00,-22.503977,-29.398153,0
2022-06-22T22:34:00.000+02:00,-22.507885,-29.398508,0
2022-06-22T22:35:00.000+02:00,-22.493324,-29.396023,0
2022-06-22T22:36:00.000+02:00,-22.49297,-29.395313,0
2022-06-22T22:37:00.000+02:00,-22.480185,-29.376846,0
2022-06-22T22:38:00.000+02:00,-22.485867,-29.366549,0
2022-06-22T22:39:00.000+02:00,-22.490482,-29.392117,0
2022-06-22T22:40:00.000+02:00,-22.483736,-29.389986,0
2022-06-22T22:41:00.000+02:00,-22.484802,-29.386435,0
2022-06-22T22:42:00.000+02:00,-22.484802,-29.38608,0
2022-06-22T22:43:00.000+02:00,-22.485157,-29.382174,0
2022-06-22T22:44:00.000+02:00,-22.479475,-29.384304,0
2022-06-22T22:45:00.000+02:00,-22.483025,-29.383238,0
2022-06-22T22:46:00.000+02:00,-22.477345,-29.380043,0
2022-06-22T22:47:00.000+02:00,-22.482315,-29.376846,0
2022-06-22T22:48:00.000+02:00,-22.474148,-29.37365,0
2022-06-22T22:49:00.000+02:00,-22.473082,-29.382528,0
2022-06-22T22:50:00.000+02:00,-22.473793,-29.381462,0
2022-06-22T22:51:00.000+02:00,-22.473438,-29.381107,0
2022-06-22T22:52:00.000+02:00,-22.48054,-29.380043,0
2022-06-22T22:53:00.000+02:00,-22.47166,-29.378977,0
2022-06-22T22:54:00.000+02:00,-22.477345,-29.374716,0
2022-06-22T22:55:00.000+02:00,-22.482315,-29.379688,0
