_c0,signal_std_final,signal_rad_final,pluie
2022-06-23T08:52:00.000+02:00,-22.370455,-29.42976,0
2022-06-23T08:53:00.000+02:00,-22.365482,-29.423367,0
2022-06-23T08:54:00.000+02:00,-22.372585,-29.421236,0
2022-06-23T08:55:00.000+02:00,-22.364063,-29.422657,0
2022-06-23T08:56:00.000+02:00,-22.365482,-29.426563,0
2022-06-23T08:57:00.000+02:00,-22.368324,-29.421946,0
2022-06-23T08:58:00.000+02:00,-22.362642,-29.421236,0
2022-06-23T08:59:00.000+02:00,-22.370098,-29.322868,0
2022-06-23T09:00:00.000+02:00,-22.365482,-29.225569,0
2022-06-23T09:01:00.000+02:00,-22.360512,-29.225212,0
2022-06-23T09:02:00.000+02:00,-22.363708,-29.229118,0
2022-06-23T09:03:00.000+02:00,-22.360867,-29.232315,0
2022-06-23T09:04:00.000+02:00,-22.364773,-29.230185,0
2022-06-23T09:05:00.000+02:00,-22.361576,-29.2277,0
2022-06-23T09:06:00.000+02:00,-22.364773,-29.227345,0
2022-06-23T09:07:00.000+02:00,-22.361221,-29.236576,0
2022-06-23T09:08:00.000+02:00,-22.367615,-29.234446,0
2022-06-23T09:09:00.000+02:00,-22.366194,-29.236221,0
2022-06-23T09:10:00.000+02:00,-22.366549,-29.240482,0
2022-06-23T09:11:00.000+02:00,-22.37294,-29.240482,0
2022-06-23T09:12:00.000+02:00,-22.366194,-29.240837,0
2022-06-23T09:13:00.000+02:00,-22.371521,-29.239773,0
2022-06-23T09:14:00.000+02:00,-22.37081,-29.239063,0
2022-06-23T09:15:00.000+02:00,-22.372585,-29.241903,0
2022-06-23T09:16:00.000+02:00,-22.37081,-29.239063,0
2022-06-23T09:17:00.000+02:00,-22.373295,-29.241194,0
2022-06-23T09:18:00.000+02:00,-22.38679,-29.246876,0
2022-06-23T09:19:00.000+02:00,-22.378622,-29.246876,0
2022-06-23T09:20:00.000+02:00,-22.391407,-29.258595,0
2022-06-23T09:21:00.000+02:00,-22.395313,-29.264275,0
2022-06-23T09:22:00.000+02:00,-22.40419,-29.272799,0
2022-06-23T09:23:00.000+02:00,-22.410938,-29.282032,0
2022-06-23T09:24:00.000+02:00,-22.411293,-29.452486,0
2022-06-23T09:25:00.000+02:00,-22.41804,-29.493324,0
2022-06-23T09:26:00.000+02:00,-22.427273,-29.49581,0
2022-06-23T09:27:00.000+02:00,-22.429403,-29.494034,0
2022-06-23T09:28:00.000+02:00,-22.441833,-29.51179,0
2022-06-23T09:29:00.000+02:00,-22.442188,-29.51818,0
2022-06-23T09:30:00.000+02:00,-22.436861,-29.510014,0
2022-06-23T09:31:00.000+02:00,-22.43118,-29.516407,0
2022-06-23T09:32:00.000+02:00,-22.441122,-29.521732,0
2022-06-23T09:33:00.000+02:00,-22.447868,-29.523863,0
2022-06-23T09:34:00.000+02:00,-22.453197,-29.538424,0
2022-06-23T09:35:00.000+02:00,-22.452484,-29.542685,0
2022-06-23T09:36:00.000+02:00,-22.455326,-29.54446,0
2022-06-23T09:37:00.000+02:00,-22.457102,-29.546946,0
2022-06-23T09:38:00.000+02:00,-22.460299,-29.549788,0
2022-06-23T09:39:00.000+02:00,-22.472727,-29.563282,0
2022-06-23T09:40:00.000+02:00,-22.48196,-29.572514,0
2022-06-23T09:41:00.000+02:00,-22.49865,-29.487642,0
2022-06-23T09:42:00.000+02:00,-22.501846,-29.423721,0
2022-06-23T09:43:00.000+02:00,-22.524574,-29.424076,0
2022-06-23T09:44:00.000+02:00,-22.536293,-29.459944,0
2022-06-23T09:45:00.000+02:00,-22.554403,-29.671947,0
2022-06-23T09:46:00.000+02:00,-22.576775,-29.683664,0
2022-06-23T09:47:00.000+02:00,-22.59382,-29.71669,0
2022-06-23T09:48:00.000+02:00,-22.6027,-29.726988,0
2022-06-23T09:49:00.000+02:00,-22.621876,-29.737997,0
2022-06-23T09:50:00.000+02:00,-22.61868,-29.744389,0
2022-06-23T09:51:00.000+02:00,-22.643892,-29.772799,0
2022-06-23T09:52:00.000+02:00,-22.672657,-29.814346,0
2022-06-23T09:53:00.000+02:00,-22.699646,-29.83956,0
2022-06-23T09:54:00.000+02:00,-22.682955,-29.824646,0
2022-06-23T09:55:00.000+02:00,-22.680115,-29.821804,0
2022-06-23T09:56:00.000+02:00,-22.681889,-29.816477,0
2022-06-23T09:57:00.000+02:00,-22.696804,-29.841335,0
2022-06-23T09:58:00.000+02:00,-22.723438,-29.867258,0
2022-06-23T09:59:00.000+02:00,-22.728409,-29.870455,0
2022-06-23T10:00:00.000+02:00,-22.726633,-29.88324,0
2022-06-23T10:01:00.000+02:00,-22.751137,-29.900639,0
2022-06-23T10:02:00.000+02:00,-22.751492,-29.896378,0
2022-06-23T10:03:00.000+02:00,-22.760368,-29.908806,0
2022-06-23T10:04:00.000+02:00,-22.759659,-29.916264,0
2022-06-23T10:05:00.000+02:00,-22.758595,-29.927628,0
2022-06-23T10:06:00.000+02:00,-22.769247,-29.936506,0
2022-06-23T10:07:00.000+02:00,-22.777771,-29.937925,0
2022-06-23T10:08:00.000+02:00,-22.757528,-29.919815,0
2022-06-23T10:09:00.000+02:00,-22.73054,-29.862286,0
2022-06-23T10:10:00.000+02:00,-22.730896,-29.843111,0
2022-06-23T10:11:00.000+02:00,-22.730185,-29.8424,0
2022-06-23T10:12:00.000+02:00,-22.734802,-29.85696,0
2022-06-23T10:13:00.000+02:00,-22.760368,-29.896378,0
2022-06-23T10:14:00.000+02:00,-22.754333,-29.895668,0
2022-06-23T10:15:00.000+02:00,-22.725924,-29.83743,0
2022-06-23T10:16:00.000+02:00,-22.703907,-29.817898,0
2022-06-23T10:17:00.000+02:00,-22.696095,-29.797655,0
2022-06-23T10:18:00.000+02:00,-22.686152,-29.779902,0
2022-06-23T10:19:00.000+02:00,-22.658096,-29.764275,0
2022-06-23T10:20:00.000+02:00,-22.642826,-29.749716,0
2022-06-23T10:21:00.000+02:00,-22.627201,-29.733025,0
2022-06-23T10:22:00.000+02:00,-22.631819,-29.729475,0
2022-06-23T10:23:00.000+02:00,-22.633595,-29.728054,0
2022-06-23T10:24:00.000+02:00,-22.639631,-29.760368,0
2022-06-23T10:25:00.000+02:00,-22.669106,-29.773153,0
2022-06-23T10:26:00.000+02:00,-22.648508,-29.770313,0
2022-06-23T10:27:00.000+02:00,-22.672302,-29.800142,0
2022-06-23T10:28:00.000+02:00,-22.664845,-29.789845,0
2022-06-23T10:29:00.000+02:00,-22.6652,-29.785938,0
2022-06-23T10:30:00.000+02:00,-22.643892,-29.760723,0
2022-06-23T10:31:00.000+02:00,-22.637146,-29.76179,0
2022-06-23T10:32:00.000+02:00,-22.657387,-29.792685,0
2022-06-23T10:33:00.000+02:00,-22.66875,-29.798367,0
2022-06-23T10:34:00.000+02:00,-22.663778,-29.788067,0
2022-06-23T10:35:00.000+02:00,-22.670525,-29.806889,0
2022-06-23T10:36:00.000+02:00,-22.688282,-29.82358,0
2022-06-23T10:37:00.000+02:00,-22.702486,-29.839205,0
2022-06-23T10:38:00.000+02:00,-22.71243,-29.851278,0
2022-06-23T10:39:00.000+02:00,-22.71172,-29.825,0
2022-06-23T10:40:00.000+02:00,-22.726633,-29.701775,0
2022-06-23T10:41:00.000+02:00,-22.732315,-29.662712,0
2022-06-23T10:42:00.000+02:00,-22.728409,-29.671236,0
2022-06-23T10:43:00.000+02:00,-22.734802,-29.684021,0
2022-06-23T10:44:00.000+02:00,-22.746166,-29.684376,0
2022-06-23T10:45:00.000+02:00,-22.722727,-29.662357,0
2022-06-23T10:46:00.000+02:00,-22.707458,-29.641052,0
2022-06-23T10:47:00.000+02:00,-22.683664,-29.610867,0
2022-06-23T10:48:00.000+02:00,-22.680113,-29.614418,0
2022-06-23T10:49:00.000+02:00,-22.688282,-29.626137,0
2022-06-23T10:50:00.000+02:00,-22.7,-29.646378,0
2022-06-23T10:51:00.000+02:00,-22.723082,-29.665909,0
2022-06-23T10:52:00.000+02:00,-22.725924,-29.659163,0
2022-06-23T10:53:00.000+02:00,-22.725924,-29.66946,0
2022-06-23T10:54:00.000+02:00,-22.739773,-29.68615,0
2022-06-23T10:55:00.000+02:00,-22.750427,-29.70213,0
2022-06-23T10:56:00.000+02:00,-22.740128,-29.706038,0
2022-06-23T10:57:00.000+02:00,-22.746164,-29.70071,0
2022-06-23T10:58:00.000+02:00,-22.7348,-29.66875,0
2022-06-23T10:59:00.000+02:00,-22.716335,-29.64318,0
2022-06-23T11:00:00.000+02:00,-22.701065,-29.627913,0
2022-06-23T11:01:00.000+02:00,-22.70071,-29.626846,0
2022-06-23T11:02:00.000+02:00,-22.68473,-29.626492,0
2022-06-23T11:03:00.000+02:00,-22.691477,-29.642471,0
2022-06-23T11:04:00.000+02:00,-22.686861,-29.647444,0
2022-06-23T11:05:00.000+02:00,-22.68118,-29.614773,0
2022-06-23T11:06:00.000+02:00,-22.664133,-29.587784,0
2022-06-23T11:07:00.000+02:00,-22.642826,-29.55831,0
2022-06-23T11:08:00.000+02:00,-22.649574,-29.575356,0
2022-06-23T11:09:00.000+02:00,-22.67017,-29.628267,0
2022-06-23T11:10:00.000+02:00,-22.685795,-29.641052,0
2022-06-23T11:11:00.000+02:00,-22.664845,-29.590626,0
2022-06-23T11:12:00.000+02:00,-22.642117,-29.562927,0
2022-06-23T11:13:00.000+02:00,-22.636435,-29.532387,0
2022-06-23T11:14:00.000+02:00,-22.615837,-29.548012,0
2022-06-23T11:15:00.000+02:00,-22.612997,-29.5402,0
2022-06-23T11:16:00.000+02:00,-22.624004,-29.516407,0
2022-06-23T11:17:00.000+02:00,-22.58743,-29.496876,0
2022-06-23T11:18:00.000+02:00,-22.59027,-29.486933,0
2022-06-23T11:19:00.000+02:00,-22.582813,-29.480894,0
2022-06-23T11:20:00.000+02:00,-22.590271,-29.475212,0
2022-06-23T11:21:00.000+02:00,-22.582457,-29.468466,0
2022-06-23T11:22:00.000+02:00,-22.57358,-29.474503,0
2022-06-23T11:23:00.000+02:00,-22.574646,-29.473438,0
2022-06-23T11:24:00.000+02:00,-22.564701,-29.474148,0
2022-06-23T11:25:00.000+02:00,-22.57855,-29.469887,0
2022-06-23T11:26:00.000+02:00,-22.564346,-29.474857,0
2022-06-23T11:27:00.000+02:00,-22.574646,-29.4674,0
2022-06-23T11:28:00.000+02:00,-22.578552,-29.471663,0
2022-06-23T11:29:00.000+02:00,-22.571095,-29.479475,0
2022-06-23T11:30:00.000+02:00,-22.578907,-29.483025,0
2022-06-23T11:31:00.000+02:00,-22.577486,-29.476633,0
2022-06-23T11:32:00.000+02:00,-22.561506,-29.473793,0
2022-06-23T11:33:00.000+02:00,-22.586008,-29.517117,0
2022-06-23T11:34:00.000+02:00,-22.596306,-29.536293,0
2022-06-23T11:35:00.000+02:00,-22.60199,-29.56044,0
2022-06-23T11:36:00.000+02:00,-22.627913,-29.584944,0
2022-06-23T11:37:00.000+02:00,-22.65277,-29.604475,0
2022-06-23T11:38:00.000+02:00,-22.658096,-29.630753,0
2022-06-23T11:39:00.000+02:00,-22.676208,-29.639275,0
2022-06-23T11:40:00.000+02:00,-22.69929,-29.653835,0
2022-06-23T11:41:00.000+02:00,-22.709589,-29.677273,0
2022-06-23T11:42:00.000+02:00,-22.724857,-29.69858,0
2022-06-23T11:43:00.000+02:00,-22.706036,-29.704971,0
2022-06-23T11:44:00.000+02:00,-22.759304,-29.712074,0
2022-06-23T11:45:00.000+02:00,-22.734446,-29.720951,0
2022-06-23T11:46:00.000+02:00,-22.747585,-29.717756,0
2022-06-23T11:47:00.000+02:00,-22.753267,-29.721663,0
2022-06-23T11:48:00.000+02:00,-22.784517,-29.718466,0
2022-06-23T11:49:00.000+02:00,-22.737642,-29.714914,0
2022-06-23T11:50:00.000+02:00,-22.75007,-29.725212,0
2022-06-23T11:51:00.000+02:00,-22.768892,-29.719887,0
2022-06-23T11:52:00.000+02:00,-22.769602,-29.724148,0
2022-06-23T11:53:00.000+02:00,-22.778126,-29.73125,0
2022-06-23T11:54:00.000+02:00,-22.772442,-29.726278,0
2022-06-23T11:55:00.000+02:00,-22.785229,-29.726278,0
2022-06-23T11:56:00.000+02:00,-22.780256,-29.721306,0
2022-06-23T11:57:00.000+02:00,-22.776705,-29.724148,0
2022-06-23T11:58:00.000+02:00,-22.793396,-29.734802,0
2022-06-23T11:59:00.000+02:00,-22.801918,-29.739773,0
2022-06-23T12:00:00.000+02:00,-22.817898,-29.748652,0
2022-06-23T12:01:00.000+02:00,-22.823935,-29.739063,0
2022-06-23T12:02:00.000+02:00,-22.82571,-29.739773,0
2022-06-23T12:03:00.000+02:00,-22.80973,-29.705683,0
2022-06-23T12:04:00.000+02:00,-22.792685,-29.68047,0
2022-06-23T12:05:00.000+02:00,-22.737288,-29.637146,0
2022-06-23T12:06:00.000+02:00,-22.712074,-29.616194,0
2022-06-23T12:07:00.000+02:00,-22.729118,-29.597017,0
2022-06-23T12:08:00.000+02:00,-22.709587,-29.594887,0
2022-06-23T12:09:00.000+02:00,-22.739773,-29.591572,0
2022-06-23T12:10:00.000+02:00,-22.6102745,-29.602936,0
2022-06-23T12:11:00.000+02:00,-22.6102745,-29.602936,0
2022-06-23T12:12:00.000+02:00,-22.6102745,-29.602936,0
2022-06-23T12:13:00.000+02:00,-22.6102745,-29.602936,0
2022-06-23T12:14:00.000+02:00,-22.800854,-29.628979,0
2022-06-23T12:15:00.000+02:00,-22.788069,-29.638565,0
2022-06-23T12:16:00.000+02:00,-22.759659,-29.625782,0
2022-06-23T12:17:00.000+02:00,-22.743324,-29.597372,0
2022-06-23T12:18:00.000+02:00,-22.71882,-29.584587,0
2022-06-23T12:19:00.000+02:00,-22.683666,-29.567898,0
2022-06-23T12:20:00.000+02:00,-22.689346,-29.549076,0
2022-06-23T12:21:00.000+02:00,-22.657742,-29.537003,0
2022-06-23T12:22:00.000+02:00,-22.652771,-29.526705,0
2022-06-23T12:23:00.000+02:00,-22.63395,-29.51108,0
2022-06-23T12:24:00.000+02:00,-22.641052,-29.507174,0
2022-06-23T12:25:00.000+02:00,-22.630043,-29.457811,1
2022-06-23T12:26:00.000+02:00,-22.60909,-29.376846,1
2022-06-23T12:27:00.000+02:00,-22.608381,-29.521023,1
2022-06-23T12:28:00.000+02:00,-22.604118,-29.679758,0
2022-06-23T12:29:00.000+02:00,-22.604475,-29.6826,0
2022-06-23T12:30:00.000+02:00,-22.57713,-29.67159,0
2022-06-23T12:31:00.000+02:00,-22.590626,-29.672302,0
