_c0,signal_std_final,signal_rad_final,pluie
2022-06-25T02:52:00.000+02:00,-22.322514,-28.889986,0
2022-06-25T02:53:00.000+02:00,-22.31115,-28.903835,0
2022-06-25T02:54:00.000+02:00,-22.298012,-28.9152,0
2022-06-25T02:55:00.000+02:00,-22.31044,-28.908096,0
2022-06-25T02:56:00.000+02:00,-22.318253,-28.907387,0
2022-06-25T02:57:00.000+02:00,-22.305115,-28.908808,0
2022-06-25T02:58:00.000+02:00,-22.304758,-28.896378,0
2022-06-25T02:59:00.000+02:00,-22.300142,-28.91804,0
2022-06-25T03:00:00.000+02:00,-22.294815,-28.92088,0
2022-06-25T03:01:00.000+02:00,-22.316477,-28.906675,0
2022-06-25T03:02:00.000+02:00,-22.285583,-28.92017,0
2022-06-25T03:03:00.000+02:00,-22.297657,-28.921236,0
2022-06-25T03:04:00.000+02:00,-22.309021,-28.91449,0
2022-06-25T03:05:00.000+02:00,-22.284517,-28.913069,0
2022-06-25T03:06:00.000+02:00,-22.289845,-28.920881,1
2022-06-25T03:07:00.000+02:00,-22.316833,-28.926207,1
2022-06-25T03:08:00.000+02:00,-22.292685,-28.932245,1
2022-06-25T03:09:00.000+02:00,-22.345242,-28.902414,1
2022-06-25T03:10:00.000+02:00,-22.361221,-28.829262,1
2022-06-25T03:11:00.000+02:00,-22.437927,-28.72699,1
2022-06-25T03:12:00.000+02:00,-22.557243,-28.6201,1
2022-06-25T03:13:00.000+02:00,-22.583168,-28.582458,1
2022-06-25T03:14:00.000+02:00,-22.51321,-28.600214,1
2022-06-25T03:15:00.000+02:00,-22.488354,-28.644247,1
2022-06-25T03:16:00.000+02:00,-22.45568,-28.64922,1
2022-06-25T03:17:00.000+02:00,-22.408806,-28.66733,1
2022-06-25T03:18:00.000+02:00,-22.489418,-28.57074,1
2022-06-25T03:19:00.000+02:00,-22.63537,-28.41804,1
2022-06-25T03:20:00.000+02:00,-22.566477,-28.502201,1
2022-06-25T03:21:00.000+02:00,-22.518892,-28.596308,1
2022-06-25T03:22:00.000+02:00,-22.481606,-28.655966,1
2022-06-25T03:23:00.000+02:00,-22.500782,-28.635014,1
2022-06-25T03:24:00.000+02:00,-22.55902,-28.58885,1
2022-06-25T03:25:00.000+02:00,-22.624006,-28.515696,1
2022-06-25T03:26:00.000+02:00,-22.74865,-28.400993,1
2022-06-25T03:27:00.000+02:00,-22.862286,-28.26179,1
2022-06-25T03:28:00.000+02:00,-22.896378,-28.197515,1
2022-06-25T03:29:00.000+02:00,-22.956392,-28.067898,1
2022-06-25T03:30:00.000+02:00,-23.043396,-27.95213,1
2022-06-25T03:31:00.000+02:00,-23.262856,-27.780966,1
2022-06-25T03:32:00.000+02:00,-23.415554,-27.649574,1
2022-06-25T03:33:00.000+02:00,-23.314701,-27.722017,1
2022-06-25T03:34:00.000+02:00,-23.145668,-27.841335,1
2022-06-25T03:35:00.000+02:00,-22.99368,-27.975569,1
2022-06-25T03:36:00.000+02:00,-22.881819,-28.112997,1
2022-06-25T03:37:00.000+02:00,-22.772799,-28.211008,1
2022-06-25T03:38:00.000+02:00,-22.55973,-28.390696,1
2022-06-25T03:39:00.000+02:00,-22.415909,-28.635368,1
2022-06-25T03:40:00.000+02:00,-22.389275,-28.737642,1
2022-06-25T03:41:00.000+02:00,-22.36868,-28.753977,1
2022-06-25T03:42:00.000+02:00,-22.376846,-28.782387,1
2022-06-25T03:43:00.000+02:00,-22.37081,-28.777771,1
2022-06-25T03:44:00.000+02:00,-22.362288,-28.794106,0
2022-06-25T03:45:00.000+02:00,-22.32784,-28.833878,0
2022-06-25T03:46:00.000+02:00,-22.30973,-28.854475,0
2022-06-25T03:47:00.000+02:00,-22.328907,-28.83956,1
2022-06-25T03:48:00.000+02:00,-22.365837,-28.791618,1
2022-06-25T03:49:00.000+02:00,-22.371876,-28.773153,1
2022-06-25T03:50:00.000+02:00,-22.367613,-28.756464,1
2022-06-25T03:51:00.000+02:00,-22.369389,-28.747585,1
2022-06-25T03:52:00.000+02:00,-22.437216,-28.67159,1
2022-06-25T03:53:00.000+02:00,-22.52493,-28.54943,1
2022-06-25T03:54:00.000+02:00,-22.83743,-28.166975,1
2022-06-25T03:55:00.000+02:00,-22.885014,-28.094177,1
2022-06-25T03:56:00.000+02:00,-23.05973,-27.9152,1
2022-06-25T03:57:00.000+02:00,-23.304403,-27.706038,1
2022-06-25T03:58:00.000+02:00,-23.45071,-27.60767,1
2022-06-25T03:59:00.000+02:00,-23.444674,-27.600569,1
2022-06-25T04:00:00.000+02:00,-23.494034,-27.560085,1
2022-06-25T04:01:00.000+02:00,-23.206747,-27.844532,1
2022-06-25T04:02:00.000+02:00,-22.98338,-28.126846,1
