_c0,signal_std_final,signal_rad_final,pluie
2022-06-25T08:52:00.000+02:00,-22.355896,-29.237642,0
2022-06-25T08:53:00.000+02:00,-22.369034,-29.238354,0
2022-06-25T08:54:00.000+02:00,-22.365839,-29.236221,0
2022-06-25T08:55:00.000+02:00,-22.368324,-29.238708,0
2022-06-25T08:56:00.000+02:00,-22.374361,-29.23267,0
2022-06-25T08:57:00.000+02:00,-22.37365,-29.232315,0
2022-06-25T08:58:00.000+02:00,-22.378977,-29.235512,0
2022-06-25T08:59:00.000+02:00,-22.378265,-29.244745,0
2022-06-25T09:00:00.000+02:00,-22.389986,-29.24794,0
2022-06-25T09:01:00.000+02:00,-22.38608,-29.243324,0
2022-06-25T09:02:00.000+02:00,-22.384304,-29.255753,0
2022-06-25T09:03:00.000+02:00,-22.394602,-29.256819,0
2022-06-25T09:04:00.000+02:00,-22.389277,-29.254333,0
2022-06-25T09:05:00.000+02:00,-22.40206,-29.24723,0
2022-06-25T09:06:00.000+02:00,-22.389277,-29.262856,0
2022-06-25T09:07:00.000+02:00,-22.390696,-29.271378,0
2022-06-25T09:08:00.000+02:00,-22.395313,-29.262499,0
2022-06-25T09:09:00.000+02:00,-22.402414,-29.256819,0
2022-06-25T09:10:00.000+02:00,-22.400284,-29.258595,0
2022-06-25T09:11:00.000+02:00,-22.415554,-29.256462,0
2022-06-25T09:12:00.000+02:00,-22.413424,-29.246521,0
2022-06-25T09:13:00.000+02:00,-22.406675,-29.244389,0
2022-06-25T09:14:00.000+02:00,-22.407032,-29.256819,0
2022-06-25T09:15:00.000+02:00,-22.41946,-29.255398,0
2022-06-25T09:16:00.000+02:00,-22.409517,-29.26534,0
2022-06-25T09:17:00.000+02:00,-22.407032,-29.272087,0
2022-06-25T09:18:00.000+02:00,-22.415909,-29.269247,0
2022-06-25T09:19:00.000+02:00,-22.425852,-29.256107,0
2022-06-25T09:20:00.000+02:00,-22.43118,-29.247585,0
2022-06-25T09:21:00.000+02:00,-22.436506,-29.248295,0
2022-06-25T09:22:00.000+02:00,-22.434021,-29.249716,0
2022-06-25T09:23:00.000+02:00,-22.43615,-29.253979,0
2022-06-25T09:24:00.000+02:00,-22.430824,-29.254688,0
2022-06-25T09:25:00.000+02:00,-22.426918,-29.258595,0
2022-06-25T09:26:00.000+02:00,-22.430824,-29.260014,0
2022-06-25T09:27:00.000+02:00,-22.43473,-29.271378,0
2022-06-25T09:28:00.000+02:00,-22.421946,-29.280256,0
2022-06-25T09:29:00.000+02:00,-22.41875,-29.279902,0
2022-06-25T09:30:00.000+02:00,-22.430113,-29.275639,0
2022-06-25T09:31:00.000+02:00,-22.44041,-29.279545,0
2022-06-25T09:32:00.000+02:00,-22.44574,-29.274218,0
2022-06-25T09:33:00.000+02:00,-22.449644,-29.272444,0
