_c0,signal_std_final,signal_rad_final,pluie
2022-06-26T08:52:00.000+02:00,-22.496876,-29.459234,0
2022-06-26T08:53:00.000+02:00,-22.50895,-29.446095,0
2022-06-26T08:54:00.000+02:00,-22.514986,-29.427628,0
2022-06-26T08:55:00.000+02:00,-22.507174,-29.430824,0
2022-06-26T08:56:00.000+02:00,-22.487642,-29.429049,0
2022-06-26T08:57:00.000+02:00,-22.475924,-29.430824,0
2022-06-26T08:58:00.000+02:00,-22.464205,-29.43118,0
2022-06-26T08:59:00.000+02:00,-22.457458,-29.429403,0
2022-06-26T09:00:00.000+02:00,-22.46172,-29.434021,0
2022-06-26T09:01:00.000+02:00,-22.469887,-29.441832,0
2022-06-26T09:02:00.000+02:00,-22.470951,-29.44645,0
2022-06-26T09:03:00.000+02:00,-22.481606,-29.443962,0
2022-06-26T09:04:00.000+02:00,-22.480185,-29.443253,0
2022-06-26T09:05:00.000+02:00,-22.47983,-29.443253,0
2022-06-26T09:06:00.000+02:00,-22.472727,-29.44645,0
2022-06-26T09:07:00.000+02:00,-22.488708,-29.442898,0
2022-06-26T09:08:00.000+02:00,-22.4777,-29.442898,0
2022-06-26T09:09:00.000+02:00,-22.4674,-29.440413,0
2022-06-26T09:10:00.000+02:00,-22.481606,-29.436861,1
2022-06-26T09:11:00.000+02:00,-22.46456,-29.426918,1
2022-06-26T09:12:00.000+02:00,-22.473438,-29.400639,1
2022-06-26T09:13:00.000+02:00,-22.479118,-29.407032,1
2022-06-26T09:14:00.000+02:00,-22.508595,-29.32074,1
2022-06-26T09:15:00.000+02:00,-22.570383,-29.23125,1
2022-06-26T09:16:00.000+02:00,-22.658451,-29.085653,1
2022-06-26T09:17:00.000+02:00,-22.595242,-29.128622,1
2022-06-26T09:18:00.000+02:00,-22.714916,-28.963139,1
2022-06-26T09:19:00.000+02:00,-23.112642,-28.380043,1
2022-06-26T09:20:00.000+02:00,-23.12081,-28.332458,1
2022-06-26T09:21:00.000+02:00,-22.982315,-28.545525,1
2022-06-26T09:22:00.000+02:00,-22.934376,-28.677982,1
2022-06-26T09:23:00.000+02:00,-23.044815,-28.445383,1
2022-06-26T09:24:00.000+02:00,-22.930824,-28.40916,1
2022-06-26T09:25:00.000+02:00,-22.909872,-28.437927,1
2022-06-26T09:26:00.000+02:00,-22.975212,-28.338139,1
2022-06-26T09:27:00.000+02:00,-22.931889,-28.456392,1
2022-06-26T09:28:00.000+02:00,-22.875427,-28.437572,1
2022-06-26T09:29:00.000+02:00,-22.920525,-28.371164,1
2022-06-26T09:30:00.000+02:00,-22.965626,-28.376846,1
2022-06-26T09:31:00.000+02:00,-22.876137,-28.50824,1
2022-06-26T09:32:00.000+02:00,-23.01179,-28.39993,1
2022-06-26T09:33:00.000+02:00,-22.958168,-28.472727,1
2022-06-26T09:34:00.000+02:00,-22.82571,-28.610867,1
2022-06-26T09:35:00.000+02:00,-22.908096,-28.540554,1
2022-06-26T09:36:00.000+02:00,-22.788069,-28.579971,1
2022-06-26T09:37:00.000+02:00,-22.793396,-28.585299,1
2022-06-26T09:38:00.000+02:00,-23.035938,-28.277414,1
2022-06-26T09:39:00.000+02:00,-23.094532,-28.097729,1
2022-06-26T09:40:00.000+02:00,-23.18757,-28.039133,1
2022-06-26T09:41:00.000+02:00,-23.166618,-28.047302,1
2022-06-26T09:42:00.000+02:00,-22.99652,-28.259304,1
2022-06-26T09:43:00.000+02:00,-22.847372,-28.489773,1
2022-06-26T09:44:00.000+02:00,-22.63608,-28.6652,1
2022-06-26T09:45:00.000+02:00,-22.628977,-28.806534,1
2022-06-26T09:46:00.000+02:00,-22.539845,-28.881107,1
2022-06-26T09:47:00.000+02:00,-22.5576,-28.896378,1
2022-06-26T09:48:00.000+02:00,-22.577486,-28.913424,1
2022-06-26T09:49:00.000+02:00,-22.520668,-28.929758,1
2022-06-26T09:50:00.000+02:00,-22.477345,-28.881464,1
2022-06-26T09:51:00.000+02:00,-22.642826,-28.798721,1
2022-06-26T09:52:00.000+02:00,-22.687216,-28.718466,1
2022-06-26T09:53:00.000+02:00,-22.676563,-28.673367,1
2022-06-26T09:54:00.000+02:00,-22.629333,-28.71172,1
2022-06-26T09:55:00.000+02:00,-22.605185,-28.772799,1
2022-06-26T09:56:00.000+02:00,-22.528126,-28.832458,1
2022-06-26T09:57:00.000+02:00,-22.548367,-28.915909,1
2022-06-26T09:58:00.000+02:00,-22.551918,-28.943962,1
2022-06-26T09:59:00.000+02:00,-22.545881,-28.957102,1
2022-06-26T10:00:00.000+02:00,-22.49581,-29.017117,1
2022-06-26T10:01:00.000+02:00,-22.513565,-29.04517,1
2022-06-26T10:02:00.000+02:00,-22.501846,-29.07429,1
2022-06-26T10:03:00.000+02:00,-22.516407,-29.105541,1
2022-06-26T10:04:00.000+02:00,-22.507174,-29.100569,1
2022-06-26T10:05:00.000+02:00,-22.49723,-29.091335,1
2022-06-26T10:06:00.000+02:00,-22.498295,-29.05547,1
2022-06-26T10:07:00.000+02:00,-22.490128,-29.038424,1
2022-06-26T10:08:00.000+02:00,-22.490839,-29.057598,1
2022-06-26T10:09:00.000+02:00,-22.483381,-29.137146,1
2022-06-26T10:10:00.000+02:00,-22.477345,-29.169815,1
2022-06-26T10:11:00.000+02:00,-22.476278,-29.201065,0
2022-06-26T10:12:00.000+02:00,-22.495455,-29.209587,0
2022-06-26T10:13:00.000+02:00,-22.500427,-29.19574,0
2022-06-26T10:14:00.000+02:00,-22.487288,-29.20142,0
2022-06-26T10:15:00.000+02:00,-22.487288,-29.199644,0
2022-06-26T10:16:00.000+02:00,-22.499716,-29.19858,0
2022-06-26T10:17:00.000+02:00,-22.525639,-29.191477,0
2022-06-26T10:18:00.000+02:00,-22.518538,-29.210299,0
2022-06-26T10:19:00.000+02:00,-22.518183,-29.236576,0
2022-06-26T10:20:00.000+02:00,-22.529902,-29.209232,0
2022-06-26T10:21:00.000+02:00,-22.548012,-29.224148,0
2022-06-26T10:22:00.000+02:00,-22.553694,-29.247585,0
2022-06-26T10:23:00.000+02:00,-22.567188,-29.246521,0
2022-06-26T10:24:00.000+02:00,-22.554758,-29.263565,0
2022-06-26T10:25:00.000+02:00,-22.548367,-29.286648,0
2022-06-26T10:26:00.000+02:00,-22.551208,-29.285227,0
2022-06-26T10:27:00.000+02:00,-22.548367,-29.268183,0
2022-06-26T10:28:00.000+02:00,-22.538424,-29.18331,0
2022-06-26T10:29:00.000+02:00,-22.555824,-29.148508,0
2022-06-26T10:30:00.000+02:00,-22.550852,-29.158451,0
2022-06-26T10:31:00.000+02:00,-22.563637,-29.17443,0
2022-06-26T10:32:00.000+02:00,-22.557245,-29.18473,0
2022-06-26T10:33:00.000+02:00,-22.571095,-29.197868,0
2022-06-26T10:34:00.000+02:00,-22.572159,-29.19929,0
2022-06-26T10:35:00.000+02:00,-22.562216,-29.215626,0
2022-06-26T10:36:00.000+02:00,-22.583523,-29.224503,0
2022-06-26T10:37:00.000+02:00,-22.581038,-29.225212,0
2022-06-26T10:38:00.000+02:00,-22.560085,-29.223438,0
2022-06-26T10:39:00.000+02:00,-22.58068,-29.231606,0
