_c0,signal_std_final,signal_rad_final,pluie
2022-06-26T14:52:00.000+02:00,-22.568964,-29.670881,0
2022-06-26T14:53:00.000+02:00,-22.57429,-29.66804,0
2022-06-26T14:54:00.000+02:00,-22.57358,-29.666618,0
2022-06-26T14:55:00.000+02:00,-22.583523,-29.671236,0
2022-06-26T14:56:00.000+02:00,-22.570383,-29.661648,0
2022-06-26T14:57:00.000+02:00,-22.578907,-29.664845,0
2022-06-26T14:58:00.000+02:00,-22.57571,-29.658808,0
2022-06-26T14:59:00.000+02:00,-22.575,-29.661293,0
2022-06-26T15:00:00.000+02:00,-22.564701,-29.660227,0
2022-06-26T15:01:00.000+02:00,-22.569319,-29.65277,0
2022-06-26T15:02:00.000+02:00,-22.564701,-29.64993,0
2022-06-26T15:03:00.000+02:00,-22.57074,-29.646023,0
2022-06-26T15:04:00.000+02:00,-22.564346,-29.639275,0
2022-06-26T15:05:00.000+02:00,-22.561506,-29.636435,0
2022-06-26T15:06:00.000+02:00,-22.563637,-29.628267,0
2022-06-26T15:07:00.000+02:00,-22.566477,-29.628622,0
2022-06-26T15:08:00.000+02:00,-22.575,-29.615128,0
2022-06-26T15:09:00.000+02:00,-22.570385,-29.611576,0
2022-06-26T15:10:00.000+02:00,-22.569674,-29.630043,0
2022-06-26T15:11:00.000+02:00,-22.566832,-29.639986,0
2022-06-26T15:12:00.000+02:00,-22.559376,-29.643892,0
2022-06-26T15:13:00.000+02:00,-22.557243,-29.645313,0
2022-06-26T15:14:00.000+02:00,-22.553694,-29.650639,0
2022-06-26T15:15:00.000+02:00,-22.561506,-29.645313,0
2022-06-26T15:16:00.000+02:00,-22.553694,-29.64318,0
2022-06-26T15:17:00.000+02:00,-22.564701,-29.641762,0
2022-06-26T15:18:00.000+02:00,-22.565056,-29.641407,0
2022-06-26T15:19:00.000+02:00,-22.55618,-29.623295,0
2022-06-26T15:20:00.000+02:00,-22.566122,-29.597017,0
2022-06-26T15:21:00.000+02:00,-22.564701,-29.567188,0
2022-06-26T15:22:00.000+02:00,-22.565767,-29.556889,0
2022-06-26T15:23:00.000+02:00,-22.547302,-29.561504,0
2022-06-26T15:24:00.000+02:00,-22.52919,-29.569319,0
2022-06-26T15:25:00.000+02:00,-22.545881,-29.537003,0
2022-06-26T15:26:00.000+02:00,-22.54375,-29.518892,0
2022-06-26T15:27:00.000+02:00,-22.518892,-29.534872,0
2022-06-26T15:28:00.000+02:00,-22.510725,-29.536648,0
2022-06-26T15:29:00.000+02:00,-22.499716,-29.533451,0
2022-06-26T15:30:00.000+02:00,-22.506819,-29.514631,0
2022-06-26T15:31:00.000+02:00,-22.519958,-29.491194,0
2022-06-26T15:32:00.000+02:00,-22.505753,-29.492615,0
2022-06-26T15:33:00.000+02:00,-22.496166,-29.497585,0
2022-06-26T15:34:00.000+02:00,-22.489418,-29.506462,0
2022-06-26T15:35:00.000+02:00,-22.48054,-29.517826,0
2022-06-26T15:36:00.000+02:00,-22.476278,-29.509659,0
2022-06-26T15:37:00.000+02:00,-22.472727,-29.517471,0
2022-06-26T15:38:00.000+02:00,-22.488352,-29.525284,0
2022-06-26T15:39:00.000+02:00,-22.488708,-29.525284,0
2022-06-26T15:40:00.000+02:00,-22.521378,-29.527414,0
2022-06-26T15:41:00.000+02:00,-22.47983,-29.518892,0
2022-06-26T15:42:00.000+02:00,-22.502556,-29.53132,0
2022-06-26T15:43:00.000+02:00,-22.499716,-29.52919,0
2022-06-26T15:44:00.000+02:00,-22.496164,-29.535227,0
2022-06-26T15:45:00.000+02:00,-22.500425,-29.5576,0
2022-06-26T15:46:00.000+02:00,-22.49581,-29.573225,0
2022-06-26T15:47:00.000+02:00,-22.49581,-29.580326,0
2022-06-26T15:48:00.000+02:00,-22.470242,-29.588493,0
2022-06-26T15:49:00.000+02:00,-22.502201,-29.590626,0
2022-06-26T15:50:00.000+02:00,-22.505398,-29.57784,0
2022-06-26T15:51:00.000+02:00,-22.5125,-29.582813,0
2022-06-26T15:52:00.000+02:00,-22.51818,-29.572159,0
2022-06-26T15:53:00.000+02:00,-22.50007,-29.592756,0
2022-06-26T15:54:00.000+02:00,-22.51179,-29.600212,0
2022-06-26T15:55:00.000+02:00,-22.494745,-29.608736,0
2022-06-26T15:56:00.000+02:00,-22.51534,-29.60909,0
2022-06-26T15:57:00.000+02:00,-22.510368,-29.617258,0
2022-06-26T15:58:00.000+02:00,-22.520668,-29.61797,0
2022-06-26T15:59:00.000+02:00,-22.52422,-29.616903,0
2022-06-26T16:00:00.000+02:00,-22.540909,-29.618324,0
2022-06-26T16:01:00.000+02:00,-22.517826,-29.612288,0
2022-06-26T16:02:00.000+02:00,-22.51108,-29.613708,0
2022-06-26T16:03:00.000+02:00,-22.519602,-29.609802,0
2022-06-26T16:04:00.000+02:00,-22.52777,-29.608025,0
2022-06-26T16:05:00.000+02:00,-22.530611,-29.61193,0
2022-06-26T16:06:00.000+02:00,-22.529545,-29.60696,0
2022-06-26T16:07:00.000+02:00,-22.533806,-29.603764,0
2022-06-26T16:08:00.000+02:00,-22.5299,-29.605185,0
2022-06-26T16:09:00.000+02:00,-22.523508,-29.606606,0
2022-06-26T16:10:00.000+02:00,-22.509659,-29.60696,0
2022-06-26T16:11:00.000+02:00,-22.513565,-29.609446,0
2022-06-26T16:12:00.000+02:00,-22.514275,-29.6027,0
2022-06-26T16:13:00.000+02:00,-22.510368,-29.604118,0
2022-06-26T16:14:00.000+02:00,-22.504688,-29.601278,0
2022-06-26T16:15:00.000+02:00,-22.509304,-29.599503,0
2022-06-26T16:16:00.000+02:00,-22.504688,-29.597372,0
2022-06-26T16:17:00.000+02:00,-22.504688,-29.599503,0
2022-06-26T16:18:00.000+02:00,-22.502558,-29.595242,0
2022-06-26T16:19:00.000+02:00,-22.503267,-29.600569,0
2022-06-26T16:20:00.000+02:00,-22.501137,-29.588139,0
2022-06-26T16:21:00.000+02:00,-22.506107,-29.585653,0
2022-06-26T16:22:00.000+02:00,-22.495455,-29.588493,0
2022-06-26T16:23:00.000+02:00,-22.49865,-29.596663,0
2022-06-26T16:24:00.000+02:00,-22.496876,-29.59169,0
2022-06-26T16:25:00.000+02:00,-22.498295,-29.595242,0
2022-06-26T16:26:00.000+02:00,-22.493324,-29.5924,0
2022-06-26T16:27:00.000+02:00,-22.521732,-29.580328,0
2022-06-26T16:28:00.000+02:00,-22.533451,-29.57429,0
2022-06-26T16:29:00.000+02:00,-22.52848,-29.574646,0
2022-06-26T16:30:00.000+02:00,-22.522799,-29.58068,0
2022-06-26T16:31:00.000+02:00,-22.517471,-29.572868,0
2022-06-26T16:32:00.000+02:00,-22.525993,-29.570383,0
2022-06-26T16:33:00.000+02:00,-22.520668,-29.572868,0
2022-06-26T16:34:00.000+02:00,-22.515697,-29.584232,0
2022-06-26T16:35:00.000+02:00,-22.517826,-29.592045,0
2022-06-26T16:36:00.000+02:00,-22.516052,-29.594887,0
2022-06-26T16:37:00.000+02:00,-22.51108,-29.589914,0
2022-06-26T16:38:00.000+02:00,-22.510014,-29.587074,0
2022-06-26T16:39:00.000+02:00,-22.51179,-29.589914,0
2022-06-26T16:40:00.000+02:00,-22.513922,-29.58885,0
2022-06-26T16:41:00.000+02:00,-22.506107,-29.584232,0
2022-06-26T16:42:00.000+02:00,-22.513565,-29.581038,0
2022-06-26T16:43:00.000+02:00,-22.523508,-29.574646,0
2022-06-26T16:44:00.000+02:00,-22.509659,-29.582813,0
2022-06-26T16:45:00.000+02:00,-22.519247,-29.583878,0
2022-06-26T16:46:00.000+02:00,-22.512146,-29.581747,0
2022-06-26T16:47:00.000+02:00,-22.506107,-29.576065,0
2022-06-26T16:48:00.000+02:00,-22.505753,-29.578196,0
2022-06-26T16:49:00.000+02:00,-22.509304,-29.577486,0
2022-06-26T16:50:00.000+02:00,-22.512856,-29.580326,0
2022-06-26T16:51:00.000+02:00,-22.51108,-29.577486,0
2022-06-26T16:52:00.000+02:00,-22.502556,-29.57571,0
2022-06-26T16:53:00.000+02:00,-22.5125,-29.575356,0
