_c0,signal_std_final,signal_rad_final,pluie
2022-06-29T02:52:00.000+02:00,-22.335653,-29.325356,0
2022-06-29T02:53:00.000+02:00,-22.3701,-29.339914,0
2022-06-29T02:54:00.000+02:00,-22.318253,-29.349857,0
2022-06-29T02:55:00.000+02:00,-22.366549,-29.347017,0
2022-06-29T02:56:00.000+02:00,-22.344177,-29.348082,0
2022-06-29T02:57:00.000+02:00,-22.38324,-29.316833,0
2022-06-29T02:58:00.000+02:00,-22.366903,-29.342402,0
2022-06-29T02:59:00.000+02:00,-22.346663,-29.359446,0
2022-06-29T03:00:00.000+02:00,-22.35696,-29.352345,0
2022-06-29T03:01:00.000+02:00,-22.37081,-29.343466,0
2022-06-29T03:02:00.000+02:00,-22.366194,-29.321095,0
2022-06-29T03:03:00.000+02:00,-22.326777,-29.332104,0
2022-06-29T03:04:00.000+02:00,-22.347372,-29.319674,0
2022-06-29T03:05:00.000+02:00,-22.341335,-29.298367,0
2022-06-29T03:06:00.000+02:00,-22.371521,-29.298367,0
2022-06-29T03:07:00.000+02:00,-22.336363,-29.308664,0
2022-06-29T03:08:00.000+02:00,-22.38608,-29.294106,0
2022-06-29T03:09:00.000+02:00,-22.358381,-29.295525,0
2022-06-29T03:10:00.000+02:00,-22.381462,-29.265697,0
2022-06-29T03:11:00.000+02:00,-22.387146,-29.25895,0
2022-06-29T03:12:00.000+02:00,-22.429403,-29.24581,0
2022-06-29T03:13:00.000+02:00,-22.416264,-29.228054,0
2022-06-29T03:14:00.000+02:00,-22.374716,-29.271378,0
2022-06-29T03:15:00.000+02:00,-22.378977,-29.277414,0
2022-06-29T03:16:00.000+02:00,-22.394247,-29.301918,0
2022-06-29T03:17:00.000+02:00,-22.360157,-29.320028,0
2022-06-29T03:18:00.000+02:00,-22.334944,-29.321095,0
2022-06-29T03:19:00.000+02:00,-22.349148,-29.300142,0
2022-06-29T03:20:00.000+02:00,-22.388565,-29.300854,0
2022-06-29T03:21:00.000+02:00,-22.40206,-29.29446,0
2022-06-29T03:22:00.000+02:00,-22.362997,-29.296947,0
2022-06-29T03:23:00.000+02:00,-22.360512,-29.307598,0
2022-06-29T03:24:00.000+02:00,-22.349857,-29.319319,0
2022-06-29T03:25:00.000+02:00,-22.405256,-29.329617,0
2022-06-29T03:26:00.000+02:00,-22.343111,-29.316122,0
2022-06-29T03:27:00.000+02:00,-22.378267,-29.304403,0
2022-06-29T03:28:00.000+02:00,-22.374716,-29.303337,0
2022-06-29T03:29:00.000+02:00,-22.360867,-29.294106,0
2022-06-29T03:30:00.000+02:00,-22.37081,-29.317898,0
2022-06-29T03:31:00.000+02:00,-22.376846,-29.333523,0
2022-06-29T03:32:00.000+02:00,-22.340271,-29.345951,0
2022-06-29T03:33:00.000+02:00,-22.39318,-29.332813,0
2022-06-29T03:34:00.000+02:00,-22.327486,-29.331038,0
2022-06-29T03:35:00.000+02:00,-22.345242,-29.331392,0
2022-06-29T03:36:00.000+02:00,-22.372585,-29.309376,0
2022-06-29T03:37:00.000+02:00,-22.367615,-29.315056,0
2022-06-29T03:38:00.000+02:00,-22.394247,-29.295525,0
2022-06-29T03:39:00.000+02:00,-22.392117,-29.275639,0
2022-06-29T03:40:00.000+02:00,-22.403835,-29.254688,0
2022-06-29T03:41:00.000+02:00,-22.413778,-29.229118,1
2022-06-29T03:42:00.000+02:00,-22.41804,-29.228764,1
2022-06-29T03:43:00.000+02:00,-22.413424,-29.234802,1
2022-06-29T03:44:00.000+02:00,-22.409163,-29.23125,1
2022-06-29T03:45:00.000+02:00,-22.453196,-29.217045,1
2022-06-29T03:46:00.000+02:00,-22.396732,-29.246876,1
2022-06-29T03:47:00.000+02:00,-22.423367,-29.229118,1
2022-06-29T03:48:00.000+02:00,-22.395313,-29.239063,1
2022-06-29T03:49:00.000+02:00,-22.419815,-29.23054,1
2022-06-29T03:50:00.000+02:00,-22.461365,-29.212074,1
2022-06-29T03:51:00.000+02:00,-22.431534,-29.209232,1
2022-06-29T03:52:00.000+02:00,-22.424076,-29.245455,1
2022-06-29T03:53:00.000+02:00,-22.44574,-29.250782,1
2022-06-29T03:54:00.000+02:00,-22.460299,-29.21385,1
2022-06-29T03:55:00.000+02:00,-22.485512,-29.207102,1
2022-06-29T03:56:00.000+02:00,-22.414488,-29.226988,1
2022-06-29T03:57:00.000+02:00,-22.385368,-29.27919,1
2022-06-29T03:58:00.000+02:00,-22.421236,-29.272087,0
2022-06-29T03:59:00.000+02:00,-22.384304,-29.299076,0
2022-06-29T04:00:00.000+02:00,-22.35696,-29.304403,0
2022-06-29T04:01:00.000+02:00,-22.361221,-29.299076,0
2022-06-29T04:02:00.000+02:00,-22.293394,-29.289133,0
2022-06-29T04:03:00.000+02:00,-22.403835,-29.281677,0
2022-06-29T04:04:00.000+02:00,-22.366903,-29.316122,0
2022-06-29T04:05:00.000+02:00,-22.375425,-29.299076,0
2022-06-29T04:06:00.000+02:00,-22.384304,-29.294815,0
2022-06-29T04:07:00.000+02:00,-22.361221,-29.285938,0
2022-06-29T04:08:00.000+02:00,-22.331747,-29.278835,1
