_c0,signal_std_final,signal_rad_final,pluie
2022-06-30T08:52:00.000+02:00,-22.441477,-28.492258,0
2022-06-30T08:53:00.000+02:00,-22.450356,-28.491194,0
2022-06-30T08:54:00.000+02:00,-22.453552,-28.492258,0
2022-06-30T08:55:00.000+02:00,-22.454617,-28.495455,0
2022-06-30T08:56:00.000+02:00,-22.448935,-28.498295,0
2022-06-30T08:57:00.000+02:00,-22.456392,-28.501846,0
2022-06-30T08:58:00.000+02:00,-22.45142,-28.501492,0
2022-06-30T08:59:00.000+02:00,-22.456392,-28.503267,0
2022-06-30T09:00:00.000+02:00,-22.453196,-28.504333,0
2022-06-30T09:01:00.000+02:00,-22.44645,-28.507172,0
2022-06-30T09:02:00.000+02:00,-22.452131,-28.505398,0
2022-06-30T09:03:00.000+02:00,-22.45071,-28.507883,0
2022-06-30T09:04:00.000+02:00,-22.457813,-28.510368,0
2022-06-30T09:05:00.000+02:00,-22.457458,-28.514631,0
2022-06-30T09:06:00.000+02:00,-22.458523,-28.516762,0
2022-06-30T09:07:00.000+02:00,-22.453907,-28.511435,0
2022-06-30T09:08:00.000+02:00,-22.444674,-28.520313,0
2022-06-30T09:09:00.000+02:00,-22.451777,-28.52351,0
2022-06-30T09:10:00.000+02:00,-22.454971,-28.519604,0
2022-06-30T09:11:00.000+02:00,-22.453552,-28.529545,0
2022-06-30T09:12:00.000+02:00,-22.458523,-28.534163,0
2022-06-30T09:13:00.000+02:00,-22.458523,-28.54304,0
2022-06-30T09:14:00.000+02:00,-22.454262,-28.544815,0
2022-06-30T09:15:00.000+02:00,-22.458168,-28.54233,0
2022-06-30T09:16:00.000+02:00,-22.461365,-28.550497,0
2022-06-30T09:17:00.000+02:00,-22.44645,-28.540554,0
2022-06-30T09:18:00.000+02:00,-22.453907,-28.544106,0
2022-06-30T09:19:00.000+02:00,-22.456747,-28.548012,0
2022-06-30T09:20:00.000+02:00,-22.461008,-28.556889,0
2022-06-30T09:21:00.000+02:00,-22.455326,-28.563282,0
2022-06-30T09:22:00.000+02:00,-22.461365,-28.56257,0
2022-06-30T09:23:00.000+02:00,-22.459232,-28.55902,0
2022-06-30T09:24:00.000+02:00,-22.455326,-28.55973,0
2022-06-30T09:25:00.000+02:00,-22.463493,-28.55973,0
2022-06-30T09:26:00.000+02:00,-22.460299,-28.565413,0
2022-06-30T09:27:00.000+02:00,-22.46172,-28.559021,0
2022-06-30T09:28:00.000+02:00,-22.454971,-28.564701,0
2022-06-30T09:29:00.000+02:00,-22.461363,-28.574646,0
2022-06-30T09:30:00.000+02:00,-22.459587,-28.579262,0
2022-06-30T09:31:00.000+02:00,-22.471306,-28.579971,0
2022-06-30T09:32:00.000+02:00,-22.474148,-28.586365,0
2022-06-30T09:33:00.000+02:00,-22.468111,-28.593466,0
2022-06-30T09:34:00.000+02:00,-22.46456,-28.592045,0
2022-06-30T09:35:00.000+02:00,-22.458878,-28.590271,0
2022-06-30T09:36:00.000+02:00,-22.465626,-28.589916,0
2022-06-30T09:37:00.000+02:00,-22.464914,-28.596308,0
2022-06-30T09:38:00.000+02:00,-22.454971,-28.599148,0
2022-06-30T09:39:00.000+02:00,-22.46669,-28.607315,0
2022-06-30T09:40:00.000+02:00,-22.472017,-28.62081,0
2022-06-30T09:41:00.000+02:00,-22.474857,-28.62507,0
2022-06-30T09:42:00.000+02:00,-22.464205,-28.627201,0
2022-06-30T09:43:00.000+02:00,-22.467045,-28.62791,0
2022-06-30T09:44:00.000+02:00,-22.46385,-28.635368,0
2022-06-30T09:45:00.000+02:00,-22.467754,-28.6375,0
2022-06-30T09:46:00.000+02:00,-22.475569,-28.644958,0
2022-06-30T09:47:00.000+02:00,-22.485157,-28.654545,0
2022-06-30T09:48:00.000+02:00,-22.480185,-28.65632,0
2022-06-30T09:49:00.000+02:00,-22.47983,-28.65632,0
2022-06-30T09:50:00.000+02:00,-22.48125,-28.658808,0
2022-06-30T09:51:00.000+02:00,-22.48125,-28.658451,0
2022-06-30T09:52:00.000+02:00,-22.47983,-28.65632,0
2022-06-30T09:53:00.000+02:00,-22.48054,-28.659517,0
2022-06-30T09:54:00.000+02:00,-22.48196,-28.669815,0
2022-06-30T09:55:00.000+02:00,-22.478409,-28.675497,0
2022-06-30T09:56:00.000+02:00,-22.481606,-28.6826,0
2022-06-30T09:57:00.000+02:00,-22.48693,-28.691477,0
2022-06-30T09:58:00.000+02:00,-22.486221,-28.697514,0
2022-06-30T09:59:00.000+02:00,-22.495455,-28.697514,0
2022-06-30T10:00:00.000+02:00,-22.488352,-28.697868,0
2022-06-30T10:01:00.000+02:00,-22.48125,-28.693253,0
2022-06-30T10:02:00.000+02:00,-22.48054,-28.691122,0
2022-06-30T10:03:00.000+02:00,-22.473083,-28.698935,0
2022-06-30T10:04:00.000+02:00,-22.471663,-28.707813,0
2022-06-30T10:05:00.000+02:00,-22.483027,-28.707813,0
2022-06-30T10:06:00.000+02:00,-22.479473,-28.709587,0
