_c0,signal_std_final,signal_rad_final,pluie
2022-06-30T20:52:00.000+02:00,-22.425852,-29.501137,0
2022-06-30T20:53:00.000+02:00,-22.391407,-29.499361,0
2022-06-30T20:54:00.000+02:00,-22.40206,-29.504332,0
2022-06-30T20:55:00.000+02:00,-22.41662,-29.49368,0
2022-06-30T20:56:00.000+02:00,-22.408806,-29.511435,0
2022-06-30T20:57:00.000+02:00,-22.412003,-29.509659,0
2022-06-30T20:58:00.000+02:00,-22.362642,-29.51179,0
2022-06-30T20:59:00.000+02:00,-22.410227,-29.503977,0
2022-06-30T21:00:00.000+02:00,-22.364063,-29.524574,0
2022-06-30T21:01:00.000+02:00,-22.372585,-29.517117,0
2022-06-30T21:02:00.000+02:00,-22.364063,-29.52635,0
2022-06-30T21:03:00.000+02:00,-22.378622,-29.523865,0
2022-06-30T21:04:00.000+02:00,-22.365482,-29.522799,0
2022-06-30T21:05:00.000+02:00,-22.360512,-29.516407,0
2022-06-30T21:06:00.000+02:00,-22.3527,-29.52706,0
2022-06-30T21:07:00.000+02:00,-22.348793,-29.523153,0
2022-06-30T21:08:00.000+02:00,-22.368324,-29.521378,0
2022-06-30T21:09:00.000+02:00,-22.365128,-29.52422,0
2022-06-30T21:10:00.000+02:00,-22.335299,-29.51392,0
2022-06-30T21:11:00.000+02:00,-22.362288,-29.525993,0
2022-06-30T21:12:00.000+02:00,-22.364063,-29.511435,0
2022-06-30T21:13:00.000+02:00,-22.3598,-29.519604,0
2022-06-30T21:14:00.000+02:00,-22.36868,-29.516407,0
2022-06-30T21:15:00.000+02:00,-22.37081,-29.521378,0
2022-06-30T21:16:00.000+02:00,-22.363352,-29.51321,0
2022-06-30T21:17:00.000+02:00,-22.384659,-29.518183,0
2022-06-30T21:18:00.000+02:00,-22.403835,-29.51392,0
2022-06-30T21:19:00.000+02:00,-22.408806,-29.519958,0
2022-06-30T21:20:00.000+02:00,-22.394958,-29.513565,0
2022-06-30T21:21:00.000+02:00,-22.40135,-29.513565,0
2022-06-30T21:22:00.000+02:00,-22.408451,-29.519958,0
2022-06-30T21:23:00.000+02:00,-22.400284,-29.506107,0
2022-06-30T21:24:00.000+02:00,-22.389275,-29.512146,0
2022-06-30T21:25:00.000+02:00,-22.43047,-29.510725,0
2022-06-30T21:26:00.000+02:00,-22.394247,-29.510368,0
2022-06-30T21:27:00.000+02:00,-22.407387,-29.508595,0
2022-06-30T21:28:00.000+02:00,-22.428694,-29.509659,0
2022-06-30T21:29:00.000+02:00,-22.422657,-29.507174,0
2022-06-30T21:30:00.000+02:00,-22.432955,-29.51321,0
2022-06-30T21:31:00.000+02:00,-22.430113,-29.504688,0
2022-06-30T21:32:00.000+02:00,-22.414845,-29.507174,0
2022-06-30T21:33:00.000+02:00,-22.425497,-29.508238,0
2022-06-30T21:34:00.000+02:00,-22.419106,-29.501137,0
