_c0,signal_std_final,signal_rad_final,pluie
2022-07-01T08:52:00.000+02:00,-22.738707,-29.301563,0
2022-07-01T08:53:00.000+02:00,-22.73267,-29.300142,0
2022-07-01T08:54:00.000+02:00,-22.726278,-29.304049,0
2022-07-01T08:55:00.000+02:00,-22.738352,-29.30831,0
2022-07-01T08:56:00.000+02:00,-22.720951,-29.311504,0
2022-07-01T08:57:00.000+02:00,-22.737288,-29.316833,0
2022-07-01T08:58:00.000+02:00,-22.736576,-29.316833,0
2022-07-01T08:59:00.000+02:00,-22.739418,-29.320028,0
2022-07-01T09:00:00.000+02:00,-22.723438,-29.330326,0
2022-07-01T09:01:00.000+02:00,-22.723793,-29.333168,0
2022-07-01T09:02:00.000+02:00,-22.709944,-29.315767,0
2022-07-01T09:03:00.000+02:00,-22.717045,-29.320028,0
2022-07-01T09:04:00.000+02:00,-22.706747,-29.331747,0
2022-07-01T09:05:00.000+02:00,-22.714205,-29.324291,0
2022-07-01T09:06:00.000+02:00,-22.687925,-29.30618,0
2022-07-01T09:07:00.000+02:00,-22.70355,-29.323225,0
2022-07-01T09:08:00.000+02:00,-22.703907,-29.33672,0
2022-07-01T09:09:00.000+02:00,-22.741194,-29.336363,0
2022-07-01T09:10:00.000+02:00,-22.701065,-29.3076,0
2022-07-01T09:11:00.000+02:00,-22.750782,-29.282387,0
2022-07-01T09:12:00.000+02:00,-22.689701,-29.29659,0
2022-07-01T09:13:00.000+02:00,-22.701065,-29.305113,0
2022-07-01T09:14:00.000+02:00,-22.72983,-29.291618,0
2022-07-01T09:15:00.000+02:00,-22.70071,-29.282032,0
2022-07-01T09:16:00.000+02:00,-22.705326,-29.275639,0
2022-07-01T09:17:00.000+02:00,-22.74439,-29.248295,0
2022-07-01T09:18:00.000+02:00,-22.794815,-29.210299,0
2022-07-01T09:19:00.000+02:00,-22.718111,-29.176563,0
2022-07-01T09:20:00.000+02:00,-22.707813,-29.182955,0
2022-07-01T09:21:00.000+02:00,-22.730185,-29.169106,0
2022-07-01T09:22:00.000+02:00,-22.751492,-29.170881,0
2022-07-01T09:23:00.000+02:00,-22.688992,-29.200356,0
2022-07-01T09:24:00.000+02:00,-22.641407,-29.219887,0
2022-07-01T09:25:00.000+02:00,-22.643538,-29.254333,0
2022-07-01T09:26:00.000+02:00,-22.664133,-29.296236,0
2022-07-01T09:27:00.000+02:00,-22.617258,-29.29943,0
2022-07-01T09:28:00.000+02:00,-22.595596,-29.307955,0
2022-07-01T09:29:00.000+02:00,-22.655254,-29.315413,0
2022-07-01T09:30:00.000+02:00,-22.630753,-29.347372,0
2022-07-01T09:31:00.000+02:00,-22.658808,-29.343466,0
2022-07-01T09:32:00.000+02:00,-22.660938,-29.350569,0
2022-07-01T09:33:00.000+02:00,-22.655968,-29.374718,0
2022-07-01T09:34:00.000+02:00,-22.650639,-29.366192,0
2022-07-01T09:35:00.000+02:00,-22.657032,-29.378977,0
2022-07-01T09:36:00.000+02:00,-22.663069,-29.38395,0
2022-07-01T09:37:00.000+02:00,-22.66946,-29.393892,0
2022-07-01T09:38:00.000+02:00,-22.670527,-29.395668,0
2022-07-01T09:39:00.000+02:00,-22.670525,-29.401705,0
2022-07-01T09:40:00.000+02:00,-22.687216,-29.413069,0
2022-07-01T09:41:00.000+02:00,-22.685795,-29.41946,0
2022-07-01T09:42:00.000+02:00,-22.68544,-29.42159,0
2022-07-01T09:43:00.000+02:00,-22.694674,-29.436861,0
2022-07-01T09:44:00.000+02:00,-22.70071,-29.443607,0
2022-07-01T09:45:00.000+02:00,-22.679758,-29.450356,0
2022-07-01T09:46:00.000+02:00,-22.706747,-29.458878,0
2022-07-01T09:47:00.000+02:00,-22.698223,-29.463848,0
2022-07-01T09:48:00.000+02:00,-22.699644,-29.470951,0
2022-07-01T09:49:00.000+02:00,-22.709944,-29.483736,0
2022-07-01T09:50:00.000+02:00,-22.730896,-29.500427,0
2022-07-01T09:51:00.000+02:00,-22.725212,-29.5125,0
2022-07-01T09:52:00.000+02:00,-22.728764,-29.504333,0
2022-07-01T09:53:00.000+02:00,-22.734802,-29.498295,0
2022-07-01T09:54:00.000+02:00,-22.733025,-29.494034,0
2022-07-01T09:55:00.000+02:00,-22.730896,-29.481606,0
2022-07-01T09:56:00.000+02:00,-22.741903,-29.4674,0
2022-07-01T09:57:00.000+02:00,-22.722727,-29.46243,0
2022-07-01T09:58:00.000+02:00,-22.710299,-29.475569,0
2022-07-01T09:59:00.000+02:00,-22.695383,-29.46243,0
2022-07-01T10:00:00.000+02:00,-22.692188,-29.464205,0
2022-07-01T10:01:00.000+02:00,-22.686506,-29.465626,0
2022-07-01T10:02:00.000+02:00,-22.713139,-29.471306,0
2022-07-01T10:03:00.000+02:00,-22.687216,-29.472372,0
2022-07-01T10:04:00.000+02:00,-22.680824,-29.47699,0
2022-07-01T10:05:00.000+02:00,-22.64993,-29.461008,0
2022-07-01T10:06:00.000+02:00,-22.682955,-29.452131,0
2022-07-01T10:07:00.000+02:00,-22.698225,-29.452486,0
2022-07-01T10:08:00.000+02:00,-22.663069,-29.444319,0
2022-07-01T10:09:00.000+02:00,-22.693964,-29.434376,0
