_c0,signal_std_final,signal_rad_final,pluie
2022-07-02T14:52:00.000+02:00,-22.780966,-29.978764,0
2022-07-02T14:53:00.000+02:00,-22.790909,-29.973083,0
2022-07-02T14:54:00.000+02:00,-22.780966,-29.963493,0
2022-07-02T14:55:00.000+02:00,-22.780256,-29.970951,0
2022-07-02T14:56:00.000+02:00,-22.787003,-29.972017,0
2022-07-02T14:57:00.000+02:00,-22.801563,-29.975212,0
2022-07-02T14:58:00.000+02:00,-22.78949,-29.972372,0
2022-07-02T14:59:00.000+02:00,-22.773863,-29.96669,0
2022-07-02T15:00:00.000+02:00,-22.783096,-29.96669,0
2022-07-02T15:01:00.000+02:00,-22.779545,-29.96456,0
2022-07-02T15:02:00.000+02:00,-22.801208,-29.954971,0
2022-07-02T15:03:00.000+02:00,-22.80831,-29.970596,0
2022-07-02T15:04:00.000+02:00,-22.789845,-29.97983,0
2022-07-02T15:05:00.000+02:00,-22.803694,-29.973438,0
2022-07-02T15:06:00.000+02:00,-22.816122,-29.956392,0
2022-07-02T15:07:00.000+02:00,-22.79517,-29.968111,0
2022-07-02T15:08:00.000+02:00,-22.799788,-29.96385,0
2022-07-02T15:09:00.000+02:00,-22.783451,-29.954971,0
2022-07-02T15:10:00.000+02:00,-22.78132,-29.959587,0
2022-07-02T15:11:00.000+02:00,-22.816477,-29.945385,0
2022-07-02T15:12:00.000+02:00,-22.811506,-29.931534,0
2022-07-02T15:13:00.000+02:00,-22.787357,-29.943964,0
2022-07-02T15:14:00.000+02:00,-22.80831,-29.949646,0
2022-07-02T15:15:00.000+02:00,-22.80831,-29.947514,0
2022-07-02T15:16:00.000+02:00,-22.79375,-29.970596,0
2022-07-02T15:17:00.000+02:00,-22.798721,-29.98054,0
2022-07-02T15:18:00.000+02:00,-22.797657,-29.975212,0
2022-07-02T15:19:00.000+02:00,-22.80831,-29.980896,0
2022-07-02T15:20:00.000+02:00,-22.792685,-29.974857,0
2022-07-02T15:21:00.000+02:00,-22.805115,-29.973793,0
2022-07-02T15:22:00.000+02:00,-22.79943,-29.970596,0
2022-07-02T15:23:00.000+02:00,-22.79588,-29.966335,0
2022-07-02T15:24:00.000+02:00,-22.768183,-29.963139,0
2022-07-02T15:25:00.000+02:00,-22.799076,-29.940056,0
2022-07-02T15:26:00.000+02:00,-22.800497,-29.914845,0
2022-07-02T15:27:00.000+02:00,-22.785582,-29.923721,0
2022-07-02T15:28:00.000+02:00,-22.796236,-29.922302,0
2022-07-02T15:29:00.000+02:00,-22.762856,-29.931534,0
2022-07-02T15:30:00.000+02:00,-22.80547,-29.928694,0
2022-07-02T15:31:00.000+02:00,-22.77706,-29.918394,0
2022-07-02T15:32:00.000+02:00,-22.769247,-29.91946,0
2022-07-02T15:33:00.000+02:00,-22.774574,-29.912357,0
2022-07-02T15:34:00.000+02:00,-22.764631,-29.926563,0
2022-07-02T15:35:00.000+02:00,-22.799433,-29.928694,0
2022-07-02T15:36:00.000+02:00,-22.767471,-29.912357,0
2022-07-02T15:37:00.000+02:00,-22.76392,-29.897087,0
2022-07-02T15:38:00.000+02:00,-22.753977,-29.893892,0
2022-07-02T15:39:00.000+02:00,-22.770313,-29.892826,0
2022-07-02T15:40:00.000+02:00,-22.789133,-29.865128,0
2022-07-02T15:41:00.000+02:00,-22.753977,-29.881107,0
2022-07-02T15:42:00.000+02:00,-22.755398,-29.897799,0
2022-07-02T15:43:00.000+02:00,-22.74794,-29.897444,0
2022-07-02T15:44:00.000+02:00,-22.726278,-29.9049,0
2022-07-02T15:45:00.000+02:00,-22.74794,-29.889275,0
2022-07-02T15:46:00.000+02:00,-22.739773,-29.889986,0
2022-07-02T15:47:00.000+02:00,-22.744743,-29.905254,0
2022-07-02T15:48:00.000+02:00,-22.741194,-29.887856,0
2022-07-02T15:49:00.000+02:00,-22.76392,-29.906677,0
2022-07-02T15:50:00.000+02:00,-22.74368,-29.911648,0
2022-07-02T15:51:00.000+02:00,-22.746876,-29.914488,0
2022-07-02T15:52:00.000+02:00,-22.786648,-29.908806,0
2022-07-02T15:53:00.000+02:00,-22.753267,-29.909517,0
2022-07-02T15:54:00.000+02:00,-22.756819,-29.92443,0
2022-07-02T15:55:00.000+02:00,-22.739773,-29.920525,0
2022-07-02T15:56:00.000+02:00,-22.761791,-29.916264,0
2022-07-02T15:57:00.000+02:00,-22.751492,-29.921946,0
2022-07-02T15:58:00.000+02:00,-22.750427,-29.914845,0
2022-07-02T15:59:00.000+02:00,-22.737288,-29.917328,0
2022-07-02T16:00:00.000+02:00,-22.733027,-29.915909,0
2022-07-02T16:01:00.000+02:00,-22.738354,-29.912003,0
2022-07-02T16:02:00.000+02:00,-22.727345,-29.910227,0
2022-07-02T16:03:00.000+02:00,-22.737642,-29.901705,0
2022-07-02T16:04:00.000+02:00,-22.735512,-29.90348,0
2022-07-02T16:05:00.000+02:00,-22.746521,-29.893892,0
2022-07-02T16:06:00.000+02:00,-22.744389,-29.898865,0
2022-07-02T16:07:00.000+02:00,-22.735512,-29.894958,0
2022-07-02T16:08:00.000+02:00,-22.748652,-29.896732,0
2022-07-02T16:09:00.000+02:00,-22.73196,-29.900993,0
2022-07-02T16:10:00.000+02:00,-22.730896,-29.89993,0
2022-07-02T16:11:00.000+02:00,-22.720242,-29.900639,0
2022-07-02T16:12:00.000+02:00,-22.740128,-29.900639,0
2022-07-02T16:13:00.000+02:00,-22.707458,-29.90135,0
2022-07-02T16:14:00.000+02:00,-22.740128,-29.907032,0
2022-07-02T16:15:00.000+02:00,-22.719887,-29.90206,0
2022-07-02T16:16:00.000+02:00,-22.7277,-29.900639,0
2022-07-02T16:17:00.000+02:00,-22.715271,-29.89922,0
2022-07-02T16:18:00.000+02:00,-22.73125,-29.902414,0
2022-07-02T16:19:00.000+02:00,-22.7277,-29.908451,0
2022-07-02T16:20:00.000+02:00,-22.724857,-29.908096,0
2022-07-02T16:21:00.000+02:00,-22.718466,-29.902414,0
2022-07-02T16:22:00.000+02:00,-22.740837,-29.904545,0
2022-07-02T16:23:00.000+02:00,-22.723083,-29.898153,0
2022-07-02T16:24:00.000+02:00,-22.74368,-29.90419,0
2022-07-02T16:25:00.000+02:00,-22.730541,-29.900284,0
2022-07-02T16:26:00.000+02:00,-22.726278,-29.894247,0
2022-07-02T16:27:00.000+02:00,-22.728054,-29.896023,0
2022-07-02T16:28:00.000+02:00,-22.694674,-29.877913,0
2022-07-02T16:29:00.000+02:00,-22.684021,-29.858381,0
2022-07-02T16:30:00.000+02:00,-22.69645,-29.858736,0
2022-07-02T16:31:00.000+02:00,-22.701065,-29.858734,0
2022-07-02T16:32:00.000+02:00,-22.660583,-29.846663,0
2022-07-02T16:33:00.000+02:00,-22.679049,-29.846663,0
2022-07-02T16:34:00.000+02:00,-22.694319,-29.844887,0
2022-07-02T16:35:00.000+02:00,-22.70142,-29.85909,0
2022-07-02T16:36:00.000+02:00,-22.720951,-29.858381,0
2022-07-02T16:37:00.000+02:00,-22.706392,-29.878977,0
2022-07-02T16:38:00.000+02:00,-22.727345,-29.880753,0
2022-07-02T16:39:00.000+02:00,-22.723438,-29.87081,0
2022-07-02T16:40:00.000+02:00,-22.714205,-29.869743,0
2022-07-02T16:41:00.000+02:00,-22.701065,-29.870455,0
2022-07-02T16:42:00.000+02:00,-22.708878,-29.87081,0
2022-07-02T16:43:00.000+02:00,-22.702131,-29.863352,0
2022-07-02T16:44:00.000+02:00,-22.704971,-29.85483,0
2022-07-02T16:45:00.000+02:00,-22.723082,-29.879333,0
2022-07-02T16:46:00.000+02:00,-22.720242,-29.88324,0
2022-07-02T16:47:00.000+02:00,-22.730185,-29.88608,0
2022-07-02T16:48:00.000+02:00,-22.719177,-29.880398,0
2022-07-02T16:49:00.000+02:00,-22.714205,-29.880753,0
2022-07-02T16:50:00.000+02:00,-22.725924,-29.885723,0
2022-07-02T16:51:00.000+02:00,-22.724503,-29.8875,0
2022-07-02T16:52:00.000+02:00,-22.729118,-29.8875,0
2022-07-02T16:53:00.000+02:00,-22.71172,-29.880043,0
2022-07-02T16:54:00.000+02:00,-22.7,-29.876846,0
2022-07-02T16:55:00.000+02:00,-22.697159,-29.865839,0
2022-07-02T16:56:00.000+02:00,-22.696095,-29.867258,0
2022-07-02T16:57:00.000+02:00,-22.704262,-29.865839,0
2022-07-02T16:58:00.000+02:00,-22.698935,-29.864418,0
2022-07-02T16:59:00.000+02:00,-22.685795,-29.861221,0
2022-07-02T17:00:00.000+02:00,-22.6826,-29.847017,0
2022-07-02T17:01:00.000+02:00,-22.692188,-29.85483,0
2022-07-02T17:02:00.000+02:00,-22.686152,-29.851278,0
2022-07-02T17:03:00.000+02:00,-22.680113,-29.849857,0
2022-07-02T17:04:00.000+02:00,-22.675852,-29.845242,0
2022-07-02T17:05:00.000+02:00,-22.678337,-29.841335,0
2022-07-02T17:06:00.000+02:00,-22.67159,-29.839914,0
2022-07-02T17:07:00.000+02:00,-22.678694,-29.83672,0
2022-07-02T17:08:00.000+02:00,-22.673367,-29.833523,0
2022-07-02T17:09:00.000+02:00,-22.659872,-29.833523,0
2022-07-02T17:10:00.000+02:00,-22.67088,-29.832102,0
2022-07-02T17:11:00.000+02:00,-22.660938,-29.834232,0
2022-07-02T17:12:00.000+02:00,-22.68118,-29.824646,0
