_c0,signal_std_final,signal_rad_final,pluie
2022-07-04T14:52:00.000+02:00,-22.546947,-29.724503,0
2022-07-04T14:53:00.000+02:00,-22.496166,-29.722017,0
2022-07-04T14:54:00.000+02:00,-22.517117,-29.727345,0
2022-07-04T14:55:00.000+02:00,-22.519958,-29.725214,0
2022-07-04T14:56:00.000+02:00,-22.520668,-29.71243,1
2022-07-04T14:57:00.000+02:00,-22.519247,-29.6826,1
2022-07-04T14:58:00.000+02:00,-22.535227,-29.672657,1
2022-07-04T14:59:00.000+02:00,-22.536293,-29.678694,1
2022-07-04T15:00:00.000+02:00,-22.53132,-29.658096,1
2022-07-04T15:01:00.000+02:00,-22.55547,-29.627913,1
2022-07-04T15:02:00.000+02:00,-22.53132,-29.620455,1
2022-07-04T15:03:00.000+02:00,-22.561152,-29.613708,1
2022-07-04T15:04:00.000+02:00,-22.561152,-29.598438,1
2022-07-04T15:05:00.000+02:00,-22.593466,-29.541264,1
2022-07-04T15:06:00.000+02:00,-22.586365,-29.537714,1
2022-07-04T15:07:00.000+02:00,-22.573225,-29.538069,1
2022-07-04T15:08:00.000+02:00,-22.57784,-29.538778,1
2022-07-04T15:09:00.000+02:00,-22.577486,-29.555115,1
2022-07-04T15:10:00.000+02:00,-22.534872,-29.592756,1
2022-07-04T15:11:00.000+02:00,-22.524574,-29.617613,1
2022-07-04T15:12:00.000+02:00,-22.600924,-29.647089,1
2022-07-04T15:13:00.000+02:00,-22.538778,-29.666264,1
2022-07-04T15:14:00.000+02:00,-22.57429,-29.703196,1
2022-07-04T15:15:00.000+02:00,-22.532742,-29.703907,1
2022-07-04T15:16:00.000+02:00,-22.535938,-29.713493,1
2022-07-04T15:17:00.000+02:00,-22.546946,-29.71243,1
2022-07-04T15:18:00.000+02:00,-22.537003,-29.713493,1
2022-07-04T15:19:00.000+02:00,-22.522799,-29.715626,1
2022-07-04T15:20:00.000+02:00,-22.510368,-29.711008,1
2022-07-04T15:21:00.000+02:00,-22.527771,-29.719532,1
2022-07-04T15:22:00.000+02:00,-22.51179,-29.717402,1
2022-07-04T15:23:00.000+02:00,-22.50824,-29.713493,1
2022-07-04T15:24:00.000+02:00,-22.52848,-29.703907,1
2022-07-04T15:25:00.000+02:00,-22.526705,-29.69574,1
2022-07-04T15:26:00.000+02:00,-22.522444,-29.691833,1
2022-07-04T15:27:00.000+02:00,-22.468822,-29.655256,1
2022-07-04T15:28:00.000+02:00,-22.51534,-29.624716,1
2022-07-04T15:29:00.000+02:00,-22.598083,-29.556534,1
2022-07-04T15:30:00.000+02:00,-22.568253,-29.477345,1
2022-07-04T15:31:00.000+02:00,-22.614773,-29.382528,1
2022-07-04T15:32:00.000+02:00,-22.60199,-29.357315,1
2022-07-04T15:33:00.000+02:00,-22.603764,-29.360157,1
2022-07-04T15:34:00.000+02:00,-22.58814,-29.373652,1
2022-07-04T15:35:00.000+02:00,-22.552273,-29.411293,1
2022-07-04T15:36:00.000+02:00,-22.499361,-29.465626,1
2022-07-04T15:37:00.000+02:00,-22.50007,-29.485867,1
2022-07-04T15:38:00.000+02:00,-22.479118,-29.514631,1
2022-07-04T15:39:00.000+02:00,-22.490482,-29.54375,1
2022-07-04T15:40:00.000+02:00,-22.468466,-29.600924,1
2022-07-04T15:41:00.000+02:00,-22.469887,-29.593111,1
2022-07-04T15:42:00.000+02:00,-22.47699,-29.61193,1
2022-07-04T15:43:00.000+02:00,-22.448225,-29.62081,1
2022-07-04T15:44:00.000+02:00,-22.453907,-29.642471,1
2022-07-04T15:45:00.000+02:00,-22.459589,-29.64318,0
2022-07-04T15:46:00.000+02:00,-22.473082,-29.651705,0
2022-07-04T15:47:00.000+02:00,-22.463493,-29.652414,0
2022-07-04T15:48:00.000+02:00,-22.462074,-29.657032,0
2022-07-04T15:49:00.000+02:00,-22.459587,-29.647087,0
2022-07-04T15:50:00.000+02:00,-22.464205,-29.658096,0
2022-07-04T15:51:00.000+02:00,-22.458523,-29.652414,0
2022-07-04T15:52:00.000+02:00,-22.449646,-29.63892,0
2022-07-04T15:53:00.000+02:00,-22.462074,-29.636435,0
2022-07-04T15:54:00.000+02:00,-22.463139,-29.63395,0
2022-07-04T15:55:00.000+02:00,-22.467756,-29.632528,0
2022-07-04T15:56:00.000+02:00,-22.483381,-29.630043,0
2022-07-04T15:57:00.000+02:00,-22.469532,-29.645668,0
2022-07-04T15:58:00.000+02:00,-22.470242,-29.650284,0
2022-07-04T15:59:00.000+02:00,-22.47983,-29.646732,0
2022-07-04T16:00:00.000+02:00,-22.472372,-29.653835,1
2022-07-04T16:01:00.000+02:00,-22.489418,-29.635014,1
2022-07-04T16:02:00.000+02:00,-22.499361,-29.616903,1
2022-07-04T16:03:00.000+02:00,-22.49723,-29.603409,1
2022-07-04T16:04:00.000+02:00,-22.516407,-29.591335,1
2022-07-04T16:05:00.000+02:00,-22.499361,-29.608025,1
2022-07-04T16:06:00.000+02:00,-22.49794,-29.647087,1
2022-07-04T16:07:00.000+02:00,-22.504333,-29.674076,0
2022-07-04T16:08:00.000+02:00,-22.490839,-29.677982,0
2022-07-04T16:09:00.000+02:00,-22.480896,-29.687572,0
2022-07-04T16:10:00.000+02:00,-22.497585,-29.69041,0
2022-07-04T16:11:00.000+02:00,-22.48196,-29.677628,0
2022-07-04T16:12:00.000+02:00,-22.48693,-29.679758,0
2022-07-04T16:13:00.000+02:00,-22.492615,-29.68473,0
2022-07-04T16:14:00.000+02:00,-22.487288,-29.680824,0
2022-07-04T16:15:00.000+02:00,-22.479473,-29.675497,0
2022-07-04T16:16:00.000+02:00,-22.47983,-29.676563,0
2022-07-04T16:17:00.000+02:00,-22.478054,-29.67443,0
2022-07-04T16:18:00.000+02:00,-22.485512,-29.677273,0
2022-07-04T16:19:00.000+02:00,-22.485157,-29.672657,0
2022-07-04T16:20:00.000+02:00,-22.476988,-29.671947,0
2022-07-04T16:21:00.000+02:00,-22.480896,-29.668749,0
2022-07-04T16:22:00.000+02:00,-22.477345,-29.666618,0
2022-07-04T16:23:00.000+02:00,-22.48125,-29.667685,0
2022-07-04T16:24:00.000+02:00,-22.472372,-29.664133,0
2022-07-04T16:25:00.000+02:00,-22.478054,-29.6549,0
2022-07-04T16:26:00.000+02:00,-22.475212,-29.659517,0
2022-07-04T16:27:00.000+02:00,-22.474503,-29.664133,0
2022-07-04T16:28:00.000+02:00,-22.476278,-29.660227,0
2022-07-04T16:29:00.000+02:00,-22.4674,-29.661648,0
