_c0,signal_std_final,signal_rad_final,pluie
2022-07-05T02:52:00.000+02:00,-22.314701,-29.375425,0
2022-07-05T02:53:00.000+02:00,-22.326065,-29.367258,0
2022-07-05T02:54:00.000+02:00,-22.329617,-29.369389,0
2022-07-05T02:55:00.000+02:00,-22.326775,-29.376492,0
2022-07-05T02:56:00.000+02:00,-22.335299,-29.382174,0
2022-07-05T02:57:00.000+02:00,-22.317188,-29.388565,0
2022-07-05T02:58:00.000+02:00,-22.312927,-29.391762,0
2022-07-05T02:59:00.000+02:00,-22.317898,-29.383238,0
2022-07-05T03:00:00.000+02:00,-22.326065,-29.38608,0
2022-07-05T03:01:00.000+02:00,-22.333878,-29.39318,0
2022-07-05T03:02:00.000+02:00,-22.32571,-29.38892,0
2022-07-05T03:03:00.000+02:00,-22.334587,-29.393892,0
2022-07-05T03:04:00.000+02:00,-22.328196,-29.385014,0
2022-07-05T03:05:00.000+02:00,-22.334232,-29.3875,0
2022-07-05T03:06:00.000+02:00,-22.333168,-29.377558,0
2022-07-05T03:07:00.000+02:00,-22.354475,-29.371164,0
2022-07-05T03:08:00.000+02:00,-22.358027,-29.376492,0
2022-07-05T03:09:00.000+02:00,-22.350924,-29.376137,0
2022-07-05T03:10:00.000+02:00,-22.347017,-29.38324,0
2022-07-05T03:11:00.000+02:00,-22.344532,-29.37791,0
2022-07-05T03:12:00.000+02:00,-22.361221,-29.366903,0
2022-07-05T03:13:00.000+02:00,-22.355896,-29.35625,0
2022-07-05T03:14:00.000+02:00,-22.369034,-29.35909,0
2022-07-05T03:15:00.000+02:00,-22.356606,-29.367613,0
2022-07-05T03:16:00.000+02:00,-22.340626,-29.37223,0
2022-07-05T03:17:00.000+02:00,-22.348793,-29.393538,0
2022-07-05T03:18:00.000+02:00,-22.343466,-29.389986,0
2022-07-05T03:19:00.000+02:00,-22.338139,-29.395668,0
2022-07-05T03:20:00.000+02:00,-22.346663,-29.400284,0
2022-07-05T03:21:00.000+02:00,-22.357315,-29.40206,0
2022-07-05T03:22:00.000+02:00,-22.364063,-29.377913,0
2022-07-05T03:23:00.000+02:00,-22.332813,-29.380753,0
2022-07-05T03:24:00.000+02:00,-22.346306,-29.378622,0
2022-07-05T03:25:00.000+02:00,-22.345242,-29.383595,0
2022-07-05T03:26:00.000+02:00,-22.358736,-29.384659,0
2022-07-05T03:27:00.000+02:00,-22.36193,-29.38537,0
