_c0,signal_std_final,signal_rad_final,pluie
2022-07-07T02:52:00.000+02:00,-22.70142,-29.412712,1
2022-07-07T02:53:00.000+02:00,-22.711008,-29.382883,1
2022-07-07T02:54:00.000+02:00,-22.718466,-29.375782,1
2022-07-07T02:55:00.000+02:00,-22.749716,-29.382528,1
2022-07-07T02:56:00.000+02:00,-22.772799,-29.376846,1
2022-07-07T02:57:00.000+02:00,-22.775993,-29.330326,1
2022-07-07T02:58:00.000+02:00,-22.836363,-29.209232,1
2022-07-07T02:59:00.000+02:00,-22.93331,-29.08956,1
2022-07-07T03:00:00.000+02:00,-22.868324,-29.13963,1
2022-07-07T03:01:00.000+02:00,-22.834232,-29.25824,1
2022-07-07T03:02:00.000+02:00,-22.795881,-29.285227,1
2022-07-07T03:03:00.000+02:00,-22.795527,-29.268536,1
2022-07-07T03:04:00.000+02:00,-22.898153,-29.160582,1
2022-07-07T03:05:00.000+02:00,-22.847017,-29.182955,1
2022-07-07T03:06:00.000+02:00,-22.952131,-29.108381,1
2022-07-07T03:07:00.000+02:00,-22.980185,-29.016762,1
2022-07-07T03:08:00.000+02:00,-23.108736,-28.858736,1
2022-07-07T03:09:00.000+02:00,-23.201065,-28.697159,1
2022-07-07T03:10:00.000+02:00,-23.218466,-28.639986,1
2022-07-07T03:11:00.000+02:00,-23.127201,-28.782032,1
2022-07-07T03:12:00.000+02:00,-23.011078,-28.90206,1
2022-07-07T03:13:00.000+02:00,-22.908808,-29.12507,1
2022-07-07T03:14:00.000+02:00,-22.883595,-29.18544,1
2022-07-07T03:15:00.000+02:00,-22.857315,-29.18331,1
2022-07-07T03:16:00.000+02:00,-22.897799,-29.038069,1
2022-07-07T03:17:00.000+02:00,-22.880753,-29.003977,1
2022-07-07T03:18:00.000+02:00,-22.878267,-29.054758,1
2022-07-07T03:19:00.000+02:00,-22.910938,-29.026705,1
2022-07-07T03:20:00.000+02:00,-22.883238,-29.051207,1
2022-07-07T03:21:00.000+02:00,-22.887856,-29.030966,1
2022-07-07T03:22:00.000+02:00,-22.82145,-29.054403,1
2022-07-07T03:23:00.000+02:00,-22.85483,-29.065413,1
2022-07-07T03:24:00.000+02:00,-22.822514,-29.081038,1
2022-07-07T03:25:00.000+02:00,-22.828552,-29.099857,1
2022-07-07T03:26:00.000+02:00,-22.799786,-29.114063,1
2022-07-07T03:27:00.000+02:00,-22.797302,-29.133595,1
2022-07-07T03:28:00.000+02:00,-22.794815,-29.141762,1
2022-07-07T03:29:00.000+02:00,-22.82074,-29.114418,1
2022-07-07T03:30:00.000+02:00,-22.844175,-29.086008,1
2022-07-07T03:31:00.000+02:00,-22.905611,-29.016762,1
2022-07-07T03:32:00.000+02:00,-22.888922,-28.98409,1
2022-07-07T03:33:00.000+02:00,-22.938637,-28.908096,1
2022-07-07T03:34:00.000+02:00,-22.945738,-28.903126,1
2022-07-07T03:35:00.000+02:00,-22.928694,-28.917685,1
2022-07-07T03:36:00.000+02:00,-22.937927,-28.872585,1
2022-07-07T03:37:00.000+02:00,-22.973438,-28.83743,1
2022-07-07T03:38:00.000+02:00,-23.031675,-28.806534,1
2022-07-07T03:39:00.000+02:00,-22.984802,-28.819317,1
2022-07-07T03:40:00.000+02:00,-22.978409,-28.832813,1
2022-07-07T03:41:00.000+02:00,-23.045527,-28.855185,1
2022-07-07T03:42:00.000+02:00,-22.994743,-28.839205,1
2022-07-07T03:43:00.000+02:00,-23.141052,-28.745455,1
2022-07-07T03:44:00.000+02:00,-23.160583,-28.712784,1
2022-07-07T03:45:00.000+02:00,-23.16946,-28.673721,1
2022-07-07T03:46:00.000+02:00,-23.163424,-28.63395,1
2022-07-07T03:47:00.000+02:00,-23.187927,-28.604473,1
2022-07-07T03:48:00.000+02:00,-23.197868,-28.548012,1
2022-07-07T03:49:00.000+02:00,-23.23693,-28.521732,1
2022-07-07T03:50:00.000+02:00,-23.257528,-28.510014,1
2022-07-07T03:51:00.000+02:00,-23.323935,-28.490128,1
2022-07-07T03:52:00.000+02:00,-23.324644,-28.468466,1
2022-07-07T03:53:00.000+02:00,-23.378267,-28.457813,1
2022-07-07T03:54:00.000+02:00,-23.162712,-28.550142,1
2022-07-07T03:55:00.000+02:00,-23.174788,-28.610512,1
2022-07-07T03:56:00.000+02:00,-23.154545,-28.65206,1
2022-07-07T03:57:00.000+02:00,-23.119034,-28.702131,1
2022-07-07T03:58:00.000+02:00,-23.07429,-28.737642,1
2022-07-07T03:59:00.000+02:00,-23.04517,-28.812216,1
2022-07-07T04:00:00.000+02:00,-22.968111,-28.892117,1
2022-07-07T04:01:00.000+02:00,-22.912003,-28.946804,1
2022-07-07T04:02:00.000+02:00,-22.873295,-29.036293,1
2022-07-07T04:03:00.000+02:00,-22.87365,-29.063282,1
2022-07-07T04:04:00.000+02:00,-22.845596,-29.059376,1
2022-07-07T04:05:00.000+02:00,-22.855185,-29.097372,1
2022-07-07T04:06:00.000+02:00,-22.849857,-29.129688,1
2022-07-07T04:07:00.000+02:00,-22.811506,-29.12223,1
2022-07-07T04:08:00.000+02:00,-22.840626,-29.112288,1
2022-07-07T04:09:00.000+02:00,-22.88395,-29.115837,1
2022-07-07T04:10:00.000+02:00,-22.845951,-29.142826,1
2022-07-07T04:11:00.000+02:00,-22.883595,-29.130398,1
2022-07-07T04:12:00.000+02:00,-22.9049,-29.076775,1
2022-07-07T04:13:00.000+02:00,-22.865128,-29.05973,1
2022-07-07T04:14:00.000+02:00,-22.850924,-29.090271,1
2022-07-07T04:15:00.000+02:00,-22.839914,-29.094887,1
