_c0,signal_std_final,signal_rad_final,pluie
2022-07-07T20:52:00.000+02:00,-23.244034,-30.34382,0
2022-07-07T20:53:00.000+02:00,-23.236576,-30.344532,0
2022-07-07T20:54:00.000+02:00,-23.240128,-30.3424,0
2022-07-07T20:55:00.000+02:00,-23.228764,-30.345951,0
2022-07-07T20:56:00.000+02:00,-23.221306,-30.345242,0
2022-07-07T20:57:00.000+02:00,-23.218466,-30.343466,0
2022-07-07T20:58:00.000+02:00,-23.21385,-30.342045,0
2022-07-07T20:59:00.000+02:00,-23.212074,-30.34169,0
2022-07-07T21:00:00.000+02:00,-23.197159,-30.342402,0
2022-07-07T21:01:00.000+02:00,-23.19787,-30.342754,0
2022-07-07T21:02:00.000+02:00,-23.190767,-30.34098,0
2022-07-07T21:03:00.000+02:00,-23.18544,-30.33885,0
2022-07-07T21:04:00.000+02:00,-23.177628,-30.335299,0
2022-07-07T21:05:00.000+02:00,-23.173367,-30.339205,0
2022-07-07T21:06:00.000+02:00,-23.173012,-30.334942,0
2022-07-07T21:07:00.000+02:00,-23.169106,-30.336363,0
2022-07-07T21:08:00.000+02:00,-23.16804,-30.338139,0
2022-07-07T21:09:00.000+02:00,-23.16875,-30.336363,0
2022-07-07T21:10:00.000+02:00,-23.159517,-30.334587,0
2022-07-07T21:11:00.000+02:00,-23.166618,-30.331392,0
2022-07-07T21:12:00.000+02:00,-23.166618,-30.332458,0
2022-07-07T21:13:00.000+02:00,-23.17443,-30.336008,0
2022-07-07T21:14:00.000+02:00,-23.179403,-30.334232,0
2022-07-07T21:15:00.000+02:00,-23.178337,-30.337074,0
2022-07-07T21:16:00.000+02:00,-23.181889,-30.329262,0
2022-07-07T21:17:00.000+02:00,-23.193253,-30.331747,0
2022-07-07T21:18:00.000+02:00,-23.190767,-30.329617,0
2022-07-07T21:19:00.000+02:00,-23.200356,-30.331747,0
2022-07-07T21:20:00.000+02:00,-23.19929,-30.327131,0
2022-07-07T21:21:00.000+02:00,-23.2,-30.327486,0
2022-07-07T21:22:00.000+02:00,-23.208168,-30.327131,0
2022-07-07T21:23:00.000+02:00,-23.213139,-30.327131,0
2022-07-07T21:24:00.000+02:00,-23.220242,-30.32571,0
2022-07-07T21:25:00.000+02:00,-23.219532,-30.325356,0
2022-07-07T21:26:00.000+02:00,-23.230185,-30.32429,0
2022-07-07T21:27:00.000+02:00,-23.222372,-30.318964,0
2022-07-07T21:28:00.000+02:00,-23.22912,-30.320738,0
2022-07-07T21:29:00.000+02:00,-23.237288,-30.329971,0
2022-07-07T21:30:00.000+02:00,-23.233381,-30.32642,0
2022-07-07T21:31:00.000+02:00,-23.23054,-30.318607,0
2022-07-07T21:32:00.000+02:00,-23.23125,-30.322514,0
2022-07-07T21:33:00.000+02:00,-23.240128,-30.323225,0
2022-07-07T21:34:00.000+02:00,-23.236221,-30.324644,0
2022-07-07T21:35:00.000+02:00,-23.239063,-30.322514,0
2022-07-07T21:36:00.000+02:00,-23.239773,-30.325,0
2022-07-07T21:37:00.000+02:00,-23.244034,-30.325356,0
2022-07-07T21:38:00.000+02:00,-23.23054,-30.314701,0
2022-07-07T21:39:00.000+02:00,-23.23125,-30.32358,0
2022-07-07T21:40:00.000+02:00,-23.2277,-30.328907,0
2022-07-07T21:41:00.000+02:00,-23.224503,-30.324646,0
2022-07-07T21:42:00.000+02:00,-23.22166,-30.323225,0
2022-07-07T21:43:00.000+02:00,-23.218466,-30.322514,0
2022-07-07T21:44:00.000+02:00,-23.210299,-30.324644,0
2022-07-07T21:45:00.000+02:00,-23.2174,-30.320383,0
2022-07-07T21:46:00.000+02:00,-23.208878,-30.32145,0
2022-07-07T21:47:00.000+02:00,-23.192543,-30.318962,0
2022-07-07T21:48:00.000+02:00,-23.194319,-30.322514,0
2022-07-07T21:49:00.000+02:00,-23.190767,-30.320383,0
2022-07-07T21:50:00.000+02:00,-23.184021,-30.316122,0
2022-07-07T21:51:00.000+02:00,-23.18757,-30.318253,0
2022-07-07T21:52:00.000+02:00,-23.18118,-30.323225,0
2022-07-07T21:53:00.000+02:00,-23.192898,-30.318253,0
2022-07-07T21:54:00.000+02:00,-23.174433,-30.317543,0
2022-07-07T21:55:00.000+02:00,-23.18331,-30.315413,0
2022-07-07T21:56:00.000+02:00,-23.186861,-30.317898,0
2022-07-07T21:57:00.000+02:00,-23.180824,-30.315767,0
2022-07-07T21:58:00.000+02:00,-23.180824,-30.316833,0
2022-07-07T21:59:00.000+02:00,-23.1826,-30.313637,0
2022-07-07T22:00:00.000+02:00,-23.18331,-30.313992,0
2022-07-07T22:01:00.000+02:00,-23.192188,-30.315058,0
2022-07-07T22:02:00.000+02:00,-23.206747,-30.316479,0
2022-07-07T22:03:00.000+02:00,-23.21243,-30.314701,0
2022-07-07T22:04:00.000+02:00,-23.208168,-30.309376,0
2022-07-07T22:05:00.000+02:00,-23.222729,-30.311152,0
2022-07-07T22:06:00.000+02:00,-23.222017,-30.315767,0
2022-07-07T22:07:00.000+02:00,-23.2277,-30.315767,0
2022-07-07T22:08:00.000+02:00,-23.237642,-30.319674,0
2022-07-07T22:09:00.000+02:00,-23.237288,-30.320028,0
2022-07-07T22:10:00.000+02:00,-23.252558,-30.319674,0
2022-07-07T22:11:00.000+02:00,-23.251137,-30.317188,0
2022-07-07T22:12:00.000+02:00,-23.259659,-30.319319,0
2022-07-07T22:13:00.000+02:00,-23.269247,-30.319317,0
2022-07-07T22:14:00.000+02:00,-23.274574,-30.317188,0
2022-07-07T22:15:00.000+02:00,-22.877675,-29.965744,0
2022-07-07T22:16:00.000+02:00,-22.877675,-29.965744,0
2022-07-07T22:17:00.000+02:00,-23.284517,-30.312216,0
2022-07-07T22:18:00.000+02:00,-23.287714,-30.309376,0
2022-07-07T22:19:00.000+02:00,-23.298367,-30.307955,0
2022-07-07T22:20:00.000+02:00,-23.311861,-30.306889,0
2022-07-07T22:21:00.000+02:00,-23.318962,-30.308666,0
2022-07-07T22:22:00.000+02:00,-23.326065,-30.306889,0
2022-07-07T22:23:00.000+02:00,-23.33743,-30.30831,0
2022-07-07T22:24:00.000+02:00,-23.351988,-30.310795,0
2022-07-07T22:25:00.000+02:00,-22.916382,-29.9625475,0
2022-07-07T22:26:00.000+02:00,-22.916382,-29.9625475,0
2022-07-07T22:27:00.000+02:00,-23.338139,-30.31044,0
2022-07-07T22:28:00.000+02:00,-23.338848,-30.31115,0
2022-07-07T22:29:00.000+02:00,-23.331747,-30.307243,0
2022-07-07T22:30:00.000+02:00,-23.332102,-30.306889,0
2022-07-07T22:31:00.000+02:00,-23.333523,-30.30902,0
2022-07-07T22:32:00.000+02:00,-23.329262,-30.307482,0
