_c0,signal_std_final,signal_rad_final,pluie
2022-07-08T08:52:00.000+02:00,-22.892117,-29.948225,0
2022-07-08T08:53:00.000+02:00,-22.897444,-29.955326,0
2022-07-08T08:54:00.000+02:00,-22.882528,-29.936506,0
2022-07-08T08:55:00.000+02:00,-22.887146,-29.920525,0
2022-07-08T08:56:00.000+02:00,-22.8875,-29.91875,0
2022-07-08T08:57:00.000+02:00,-22.885725,-29.937927,0
2022-07-08T08:58:00.000+02:00,-22.870455,-29.956392,0
2022-07-08T08:59:00.000+02:00,-22.862997,-29.953196,0
2022-07-08T09:00:00.000+02:00,-22.893892,-29.94929,0
2022-07-08T09:01:00.000+02:00,-22.890696,-29.94929,0
2022-07-08T09:02:00.000+02:00,-22.877201,-29.956392,0
2022-07-08T09:03:00.000+02:00,-22.886435,-29.963493,0
2022-07-08T09:04:00.000+02:00,-22.87294,-29.98196,0
2022-07-08T09:05:00.000+02:00,-22.860512,-29.984446,0
2022-07-08T09:06:00.000+02:00,-22.885014,-29.974148,0
2022-07-08T09:07:00.000+02:00,-22.91804,-29.992258,0
2022-07-08T09:08:00.000+02:00,-22.924076,-30.002203,0
2022-07-08T09:09:00.000+02:00,-22.912003,-30.002201,0
2022-07-08T09:10:00.000+02:00,-22.907742,-30.005398,0
2022-07-08T09:11:00.000+02:00,-22.905611,-30.01321,0
2022-07-08T09:12:00.000+02:00,-22.940056,-30.016407,0
2022-07-08T09:13:00.000+02:00,-22.9152,-29.984446,0
2022-07-08T09:14:00.000+02:00,-22.972727,-29.972372,0
2022-07-08T09:15:00.000+02:00,-22.958168,-29.967045,0
2022-07-08T09:16:00.000+02:00,-22.910938,-29.929758,0
2022-07-08T09:17:00.000+02:00,-22.9152,-29.925852,0
2022-07-08T09:18:00.000+02:00,-22.977345,-29.927628,0
2022-07-08T09:19:00.000+02:00,-22.9326,-29.930824,1
2022-07-08T09:20:00.000+02:00,-22.977345,-29.911293,1
