_c0,signal_std_final,signal_rad_final,pluie
2022-07-08T14:52:00.000+02:00,-22.86868,-29.997585,0
2022-07-08T14:53:00.000+02:00,-22.823225,-30.00895,0
2022-07-08T14:54:00.000+02:00,-22.78949,-30.01108,0
2022-07-08T14:55:00.000+02:00,-22.859446,-30.006107,0
2022-07-08T14:56:00.000+02:00,-22.943964,-30.137146,0
2022-07-08T14:57:00.000+02:00,-22.932955,-30.115128,0
2022-07-08T14:58:00.000+02:00,-22.929403,-30.111576,0
2022-07-08T14:59:00.000+02:00,-22.945028,-30.100567,0
2022-07-08T15:00:00.000+02:00,-22.921236,-30.108736,0
2022-07-08T15:01:00.000+02:00,-22.942188,-30.106606,0
2022-07-08T15:02:00.000+02:00,-22.942188,-30.09169,0
2022-07-08T15:03:00.000+02:00,-22.965271,-30.104475,0
2022-07-08T15:04:00.000+02:00,-22.948223,-30.093466,0
2022-07-08T15:05:00.000+02:00,-22.935085,-30.100924,0
2022-07-08T15:06:00.000+02:00,-22.941833,-30.100212,0
2022-07-08T15:07:00.000+02:00,-22.935085,-30.098082,0
2022-07-08T15:08:00.000+02:00,-22.944674,-30.102345,0
2022-07-08T15:09:00.000+02:00,-22.93331,-30.095951,0
2022-07-08T15:10:00.000+02:00,-22.945028,-30.094887,0
2022-07-08T15:11:00.000+02:00,-22.943607,-30.092756,0
2022-07-08T15:12:00.000+02:00,-23.074646,-30.092045,0
2022-07-08T15:13:00.000+02:00,-22.982315,-30.080683,0
2022-07-08T15:14:00.000+02:00,-22.954617,-30.086363,0
2022-07-08T15:15:00.000+02:00,-22.955326,-30.085653,0
2022-07-08T15:16:00.000+02:00,-22.938282,-30.095596,0
2022-07-08T15:17:00.000+02:00,-22.941833,-30.08743,0
2022-07-08T15:18:00.000+02:00,-22.953907,-30.086008,0
2022-07-08T15:19:00.000+02:00,-22.937927,-30.094887,0
2022-07-08T15:20:00.000+02:00,-22.938637,-30.078196,0
2022-07-08T15:21:00.000+02:00,-22.956392,-30.066479,0
2022-07-08T15:22:00.000+02:00,-22.927982,-30.067188,0
2022-07-08T15:23:00.000+02:00,-22.920525,-30.078197,0
2022-07-08T15:24:00.000+02:00,-22.965626,-30.067898,0
2022-07-08T15:25:00.000+02:00,-22.94929,-30.053339,0
2022-07-08T15:26:00.000+02:00,-22.923012,-30.067898,0
2022-07-08T15:27:00.000+02:00,-22.921946,-30.07145,0
2022-07-08T15:28:00.000+02:00,-22.937216,-30.053694,0
2022-07-08T15:29:00.000+02:00,-22.937925,-30.06044,0
2022-07-08T15:30:00.000+02:00,-22.949644,-30.058666,0
2022-07-08T15:31:00.000+02:00,-22.943962,-30.061861,0
2022-07-08T15:32:00.000+02:00,-22.921947,-30.045881,0
2022-07-08T15:33:00.000+02:00,-22.951065,-30.04375,0
2022-07-08T15:34:00.000+02:00,-22.908451,-30.024574,0
2022-07-08T15:35:00.000+02:00,-22.960653,-30.020313,0
2022-07-08T15:36:00.000+02:00,-22.936861,-30.020313,0
2022-07-08T15:37:00.000+02:00,-22.906677,-30.010725,0
2022-07-08T15:38:00.000+02:00,-22.922657,-30.005753,0
2022-07-08T15:39:00.000+02:00,-22.926207,-30.004333,0
2022-07-08T15:40:00.000+02:00,-22.941122,-30.01534,0
2022-07-08T15:41:00.000+02:00,-22.90135,-30.013565,0
2022-07-08T15:42:00.000+02:00,-22.9049,-30.020668,0
2022-07-08T15:43:00.000+02:00,-22.92159,-30.021023,0
2022-07-08T15:44:00.000+02:00,-22.88892,-30.021378,0
