_c0,signal_std_final,signal_rad_final,pluie
2022-07-09T08:52:00.000+02:00,-22.798721,-29.883595,0
2022-07-09T08:53:00.000+02:00,-22.797657,-29.888565,0
2022-07-09T08:54:00.000+02:00,-22.801208,-29.893892,0
2022-07-09T08:55:00.000+02:00,-22.813282,-29.897442,0
2022-07-09T08:56:00.000+02:00,-22.805115,-29.909163,0
2022-07-09T08:57:00.000+02:00,-22.802628,-29.898865,0
2022-07-09T08:58:00.000+02:00,-22.805115,-29.901705,0
2022-07-09T08:59:00.000+02:00,-22.811506,-29.905611,0
2022-07-09T09:00:00.000+02:00,-22.803337,-29.914845,0
2022-07-09T09:01:00.000+02:00,-22.81044,-29.916264,0
2022-07-09T09:02:00.000+02:00,-22.805824,-29.916264,0
2022-07-09T09:03:00.000+02:00,-22.813637,-29.913069,0
2022-07-09T09:04:00.000+02:00,-22.821095,-29.906677,0
2022-07-09T09:05:00.000+02:00,-22.836365,-29.91733,0
2022-07-09T09:06:00.000+02:00,-22.823225,-29.915909,0
2022-07-09T09:07:00.000+02:00,-22.844532,-29.915554,0
2022-07-09T09:08:00.000+02:00,-22.840626,-29.911648,0
2022-07-09T09:09:00.000+02:00,-22.832458,-29.906677,0
2022-07-09T09:10:00.000+02:00,-22.82784,-29.896023,0
2022-07-09T09:11:00.000+02:00,-22.83672,-29.89034,0
2022-07-09T09:12:00.000+02:00,-22.85483,-29.90419,0
2022-07-09T09:13:00.000+02:00,-22.819674,-29.909163,0
2022-07-09T09:14:00.000+02:00,-22.836008,-29.913424,0
2022-07-09T09:15:00.000+02:00,-22.840271,-29.912357,0
2022-07-09T09:16:00.000+02:00,-22.842756,-29.900284,0
2022-07-09T09:17:00.000+02:00,-22.82571,-29.896732,0
2022-07-09T09:18:00.000+02:00,-22.842756,-29.894249,0
2022-07-09T09:19:00.000+02:00,-22.850924,-29.897089,0
2022-07-09T09:20:00.000+02:00,-22.85767,-29.896732,0
2022-07-09T09:21:00.000+02:00,-22.848082,-29.89034,0
2022-07-09T09:22:00.000+02:00,-22.84382,-29.893538,0
2022-07-09T09:23:00.000+02:00,-22.84169,-29.896023,0
2022-07-09T09:24:00.000+02:00,-22.85483,-29.90348,0
2022-07-09T09:25:00.000+02:00,-22.842402,-29.894247,0
2022-07-09T09:26:00.000+02:00,-22.85199,-29.900284,0
