_c0,signal_std_final,signal_rad_final,pluie
2022-07-11T20:52:00.000+02:00,-22.498295,-29.621164,0
2022-07-11T20:53:00.000+02:00,-22.495455,-29.626492,0
2022-07-11T20:54:00.000+02:00,-22.506819,-29.626846,0
2022-07-11T20:55:00.000+02:00,-22.472372,-29.62365,0
2022-07-11T20:56:00.000+02:00,-22.479475,-29.619389,0
2022-07-11T20:57:00.000+02:00,-22.470951,-29.620455,0
2022-07-11T20:58:00.000+02:00,-22.4674,-29.619034,0
2022-07-11T20:59:00.000+02:00,-22.477345,-29.617615,0
2022-07-11T21:00:00.000+02:00,-22.473438,-29.615837,0
2022-07-11T21:01:00.000+02:00,-22.46882,-29.62294,0
2022-07-11T21:02:00.000+02:00,-22.447868,-29.61797,0
2022-07-11T21:03:00.000+02:00,-22.45568,-29.614773,0
2022-07-11T21:04:00.000+02:00,-22.446804,-29.617258,0
2022-07-11T21:05:00.000+02:00,-22.454262,-29.615482,0
2022-07-11T21:06:00.000+02:00,-22.445385,-29.619034,0
2022-07-11T21:07:00.000+02:00,-22.439701,-29.623295,0
2022-07-11T21:08:00.000+02:00,-22.432955,-29.619034,0
2022-07-11T21:09:00.000+02:00,-22.437572,-29.619034,0
2022-07-11T21:10:00.000+02:00,-22.43757,-29.618324,0
2022-07-11T21:11:00.000+02:00,-22.425497,-29.629688,0
2022-07-11T21:12:00.000+02:00,-22.434849,-29.627556,0
2022-07-11T21:13:00.000+02:00,-22.43757,-29.627556,0
2022-07-11T21:14:00.000+02:00,-22.440056,-29.63395,0
2022-07-11T21:15:00.000+02:00,-22.441122,-29.627201,0
2022-07-11T21:16:00.000+02:00,-22.43047,-29.630753,0
2022-07-11T21:17:00.000+02:00,-22.440056,-29.628267,0
2022-07-11T21:18:00.000+02:00,-22.44858,-29.634659,0
2022-07-11T21:19:00.000+02:00,-22.454617,-29.634659,0
2022-07-11T21:20:00.000+02:00,-22.451775,-29.63324,0
2022-07-11T21:21:00.000+02:00,-22.473083,-29.628267,0
2022-07-11T21:22:00.000+02:00,-22.463493,-29.63324,0
2022-07-11T21:23:00.000+02:00,-22.467045,-29.631107,0
2022-07-11T21:24:00.000+02:00,-22.462784,-29.628977,0
2022-07-11T21:25:00.000+02:00,-22.478054,-29.626846,0
2022-07-11T21:26:00.000+02:00,-22.491549,-29.629333,0
2022-07-11T21:27:00.000+02:00,-22.48125,-29.62803,0
2022-07-11T21:28:00.000+02:00,-22.488708,-29.61868,0
2022-07-11T21:29:00.000+02:00,-22.487288,-29.619389,0
2022-07-11T21:30:00.000+02:00,-22.485867,-29.613352,0
2022-07-11T21:31:00.000+02:00,-22.486221,-29.62081,0
2022-07-11T21:32:00.000+02:00,-22.485512,-29.62152,0
2022-07-11T21:33:00.000+02:00,-22.494034,-29.626846,0
2022-07-11T21:34:00.000+02:00,-22.491903,-29.621521,0
2022-07-11T21:35:00.000+02:00,-22.485867,-29.62507,0
2022-07-11T21:36:00.000+02:00,-22.491903,-29.61868,0
2022-07-11T21:37:00.000+02:00,-22.488352,-29.619034,0
2022-07-11T21:38:00.000+02:00,-22.489773,-29.62223,0
2022-07-11T21:39:00.000+02:00,-22.491549,-29.622585,0
2022-07-11T21:40:00.000+02:00,-22.490482,-29.62507,0
2022-07-11T21:41:00.000+02:00,-22.476278,-29.619743,0
2022-07-11T21:42:00.000+02:00,-22.472372,-29.61797,0
2022-07-11T21:43:00.000+02:00,-22.459942,-29.621164,0
2022-07-11T21:44:00.000+02:00,-22.459587,-29.6201,0
2022-07-11T21:45:00.000+02:00,-22.456629,-29.616667,0
2022-07-11T21:46:00.000+02:00,-22.450474,-29.61856,0
2022-07-11T21:47:00.000+02:00,-22.44929,-29.619034,0
2022-07-11T21:48:00.000+02:00,-22.452131,-29.611221,0
2022-07-11T21:49:00.000+02:00,-22.435085,-29.61868,0
2022-07-11T21:50:00.000+02:00,-22.435085,-29.624716,0
2022-07-11T21:51:00.000+02:00,-22.427273,-29.616903,0
2022-07-11T21:52:00.000+02:00,-22.427628,-29.62081,0
