_c0,signal_std_final,signal_rad_final,pluie
2022-05-22T02:52:00.000+02:00,-22.916383,-28.4838545,1
2022-05-22T02:53:00.000+02:00,-22.905019,-28.489359,1
2022-05-22T02:54:00.000+02:00,-22.9034205,-28.4735565,1
2022-05-22T02:55:00.000+02:00,-22.906084,-28.4962835,1
2022-05-22T02:56:00.000+02:00,-22.873236,-28.516348,1
2022-05-22T02:57:00.000+02:00,-22.8702175,-28.538542,1
2022-05-22T02:58:00.000+02:00,-22.869508,-28.5374765,1
2022-05-22T02:59:00.000+02:00,-23.259304,-27.485512,1
2022-05-22T03:00:00.000+02:00,-23.213495,-27.499361,1
2022-05-22T03:01:00.000+02:00,-23.203907,-27.525995,1
2022-05-22T03:02:00.000+02:00,-23.142117,-27.569674,1
2022-05-22T03:03:00.000+02:00,-23.110867,-27.601635,1
2022-05-22T03:04:00.000+02:00,-23.119743,-27.623652,1
2022-05-22T03:05:00.000+02:00,-23.098083,-27.678694,1
2022-05-22T03:06:00.000+02:00,-23.061861,-27.712784,1
2022-05-22T03:07:00.000+02:00,-23.05831,-27.74865,1
2022-05-22T03:08:00.000+02:00,-23.013565,-27.789133,1
2022-05-22T03:09:00.000+02:00,-22.938637,-27.827131,1
2022-05-22T03:10:00.000+02:00,-22.947514,-27.849148,1
2022-05-22T03:11:00.000+02:00,-22.923012,-27.849857,1
2022-05-22T03:12:00.000+02:00,-22.941122,-27.848438,1
2022-05-22T03:13:00.000+02:00,-22.95284,-27.871876,1
2022-05-22T03:14:00.000+02:00,-22.919106,-27.898153,1
2022-05-22T03:15:00.000+02:00,-22.879333,-27.925497,1
2022-05-22T03:16:00.000+02:00,-22.88324,-27.964205,1
2022-05-22T03:17:00.000+02:00,-22.792685,-27.969887,1
2022-05-22T03:18:00.000+02:00,-22.669815,-27.973793,1
2022-05-22T03:19:00.000+02:00,-22.655611,-27.97983,1
2022-05-22T03:20:00.000+02:00,-22.650639,-27.99368,1
2022-05-22T03:21:00.000+02:00,-22.673367,-27.99581,1
2022-05-22T03:22:00.000+02:00,-22.644602,-28.006819,1
2022-05-22T03:23:00.000+02:00,-22.617258,-28.030966,1
2022-05-22T03:24:00.000+02:00,-22.63608,-28.07642,1
2022-05-22T03:25:00.000+02:00,-22.598793,-28.07784,1
2022-05-22T03:26:00.000+02:00,-22.597372,-28.076065,1
2022-05-22T03:27:00.000+02:00,-22.589205,-28.08672,1
2022-05-22T03:28:00.000+02:00,-22.572514,-28.09382,1
2022-05-22T03:29:00.000+02:00,-22.581747,-28.100569,1
2022-05-22T03:30:00.000+02:00,-22.584232,-28.10767,0
2022-05-22T03:31:00.000+02:00,-22.566832,-28.117615,0
2022-05-22T03:32:00.000+02:00,-22.569319,-28.116549,0
2022-05-22T03:33:00.000+02:00,-22.566833,-28.12081,0
2022-05-22T03:34:00.000+02:00,-22.578907,-28.10625,0
2022-05-22T03:35:00.000+02:00,-22.552273,-28.11797,0
2022-05-22T03:36:00.000+02:00,-22.539488,-28.12294,0
2022-05-22T03:37:00.000+02:00,-22.564346,-28.119034,0
2022-05-22T03:38:00.000+02:00,-22.578196,-28.11797,0
2022-05-22T03:39:00.000+02:00,-22.561506,-28.132883,0
2022-05-22T03:40:00.000+02:00,-22.57571,-28.126846,0
2022-05-22T03:41:00.000+02:00,-22.544815,-28.130043,0
2022-05-22T03:42:00.000+02:00,-22.541618,-28.131107,0
2022-05-22T03:43:00.000+02:00,-22.555824,-28.125782,0
2022-05-22T03:44:00.000+02:00,-22.557955,-28.130043,0
2022-05-22T03:45:00.000+02:00,-22.546946,-28.123295,0
2022-05-22T03:46:00.000+02:00,-22.538424,-28.132174,0
2022-05-22T03:47:00.000+02:00,-22.54943,-28.124006,0
2022-05-22T03:48:00.000+02:00,-22.660227,-28.13608,0
2022-05-22T03:49:00.000+02:00,-22.607315,-28.136435,0
2022-05-22T03:50:00.000+02:00,-22.5576,-28.129333,0
2022-05-22T03:51:00.000+02:00,-22.54943,-28.127201,0
2022-05-22T03:52:00.000+02:00,-22.551208,-28.11797,0
2022-05-22T03:53:00.000+02:00,-22.56044,-28.116192,0
2022-05-22T03:54:00.000+02:00,-22.672302,-28.122585,0
2022-05-22T03:55:00.000+02:00,-22.65135,-28.131819,1
2022-05-22T03:56:00.000+02:00,-22.53949,-28.130753,1
2022-05-22T03:57:00.000+02:00,-22.589914,-28.122585,1
2022-05-22T03:58:00.000+02:00,-22.582102,-28.079617,1
2022-05-22T03:59:00.000+02:00,-22.658451,-28.014986,1
2022-05-22T04:00:00.000+02:00,-22.648865,-28.006819,1
2022-05-22T04:01:00.000+02:00,-22.671947,-28.032742,1
2022-05-22T04:02:00.000+02:00,-22.647799,-28.04304,1
2022-05-22T04:03:00.000+02:00,-22.612286,-28.07358,1
2022-05-22T04:04:00.000+02:00,-22.630043,-28.092754,1
2022-05-22T04:05:00.000+02:00,-22.615128,-28.108025,1
2022-05-22T04:06:00.000+02:00,-22.58956,-28.126492,1
2022-05-22T04:07:00.000+02:00,-22.578552,-28.119034,1
2022-05-22T04:08:00.000+02:00,-22.596663,-28.111576,1
2022-05-22T04:09:00.000+02:00,-22.613707,-28.110867,1
2022-05-22T04:10:00.000+02:00,-22.622585,-28.106606,1
2022-05-22T04:11:00.000+02:00,-22.603764,-28.092756,1
2022-05-22T04:12:00.000+02:00,-22.608025,-28.079617,1
2022-05-22T04:13:00.000+02:00,-22.633595,-28.065056,1
2022-05-22T04:14:00.000+02:00,-22.665909,-28.06115,1
2022-05-22T04:15:00.000+02:00,-22.660938,-28.044815,1
2022-05-22T04:16:00.000+02:00,-22.641407,-28.024574,1
2022-05-22T04:17:00.000+02:00,-22.703907,-28.01818,1
2022-05-22T04:18:00.000+02:00,-22.725212,-27.998295,1
2022-05-22T04:19:00.000+02:00,-22.66804,-27.983381,1
2022-05-22T04:20:00.000+02:00,-22.656675,-27.99865,1
2022-05-22T04:21:00.000+02:00,-22.642117,-28.002201,1
2022-05-22T04:22:00.000+02:00,-22.676918,-28.001846,1
2022-05-22T04:23:00.000+02:00,-22.646023,-28.015697,1
2022-05-22T04:24:00.000+02:00,-22.615837,-28.00895,1
2022-05-22T04:25:00.000+02:00,-22.650639,-28.008238,1
2022-05-22T04:26:00.000+02:00,-22.662003,-27.992615,1
2022-05-22T04:27:00.000+02:00,-22.68118,-27.95568,1
2022-05-22T04:28:00.000+02:00,-22.694319,-27.927273,1
2022-05-22T04:29:00.000+02:00,-22.707102,-27.9049,1
2022-05-22T04:30:00.000+02:00,-22.723793,-27.905966,1
