_c0,signal_std_final,signal_rad_final,pluie
2022-05-23T02:52:00.000+02:00,-22.273863,-29.178692,0
2022-05-23T02:53:00.000+02:00,-22.275639,-29.179403,0
2022-05-23T02:54:00.000+02:00,-22.280256,-29.182955,0
2022-05-23T02:55:00.000+02:00,-22.275284,-29.182955,0
2022-05-23T02:56:00.000+02:00,-22.264631,-29.173721,0
2022-05-23T02:57:00.000+02:00,-22.269958,-29.177628,0
2022-05-23T02:58:00.000+02:00,-22.26179,-29.181889,0
2022-05-23T02:59:00.000+02:00,-22.26179,-29.179403,0
2022-05-23T03:00:00.000+02:00,-22.265696,-29.180824,0
2022-05-23T03:01:00.000+02:00,-22.2799,-29.181534,0
2022-05-23T03:02:00.000+02:00,-22.286648,-29.184021,0
2022-05-23T03:03:00.000+02:00,-22.285229,-29.181534,0
2022-05-23T03:04:00.000+02:00,-22.282032,-29.173721,0
2022-05-23T03:05:00.000+02:00,-22.275993,-29.174788,0
2022-05-23T03:06:00.000+02:00,-22.275639,-29.178337,0
2022-05-23T03:07:00.000+02:00,-22.275284,-29.17443,0
2022-05-23T03:08:00.000+02:00,-22.27635,-29.177628,0
2022-05-23T03:09:00.000+02:00,-22.27493,-29.175142,0
2022-05-23T03:10:00.000+02:00,-22.278126,-29.173367,0
2022-05-23T03:11:00.000+02:00,-22.282742,-29.171236,0
2022-05-23T03:12:00.000+02:00,-22.284872,-29.176208,0
2022-05-23T03:13:00.000+02:00,-22.273865,-29.171236,0
2022-05-23T03:14:00.000+02:00,-22.27493,-29.170525,0
2022-05-23T03:15:00.000+02:00,-22.26534,-29.169815,0
2022-05-23T03:16:00.000+02:00,-22.279545,-29.175852,0
2022-05-23T03:17:00.000+02:00,-22.269247,-29.174786,0
2022-05-23T03:18:00.000+02:00,-22.272444,-29.173721,0
2022-05-23T03:19:00.000+02:00,-22.28132,-29.177628,0
2022-05-23T03:20:00.000+02:00,-22.278126,-29.173721,0
2022-05-23T03:21:00.000+02:00,-22.27706,-29.171236,0
2022-05-23T03:22:00.000+02:00,-22.27848,-29.173012,0
2022-05-23T03:23:00.000+02:00,-22.27706,-29.17159,0
2022-05-23T03:24:00.000+02:00,-22.275284,-29.16946,0
2022-05-23T03:25:00.000+02:00,-22.272089,-29.166264,0
2022-05-23T03:26:00.000+02:00,-22.276348,-29.171946,0
2022-05-23T03:27:00.000+02:00,-22.272799,-29.16449,0
2022-05-23T03:28:00.000+02:00,-22.273153,-29.163424,0
2022-05-23T03:29:00.000+02:00,-22.264275,-29.166264,0
2022-05-23T03:30:00.000+02:00,-22.27848,-29.162712,0
2022-05-23T03:31:00.000+02:00,-22.272087,-29.163424,0
2022-05-23T03:32:00.000+02:00,-22.268892,-29.163067,0
2022-05-23T03:33:00.000+02:00,-22.262856,-29.163778,0
2022-05-23T03:34:00.000+02:00,-22.267826,-29.15916,0
2022-05-23T03:35:00.000+02:00,-22.267471,-29.160938,0
2022-05-23T03:36:00.000+02:00,-22.265696,-29.161293,0
2022-05-23T03:37:00.000+02:00,-22.264277,-29.161293,0
2022-05-23T03:38:00.000+02:00,-22.26321,-29.159517,0
2022-05-23T03:39:00.000+02:00,-22.256462,-29.160227,0
2022-05-23T03:40:00.000+02:00,-22.26321,-29.156322,0
2022-05-23T03:41:00.000+02:00,-22.2625,-29.154545,0
2022-05-23T03:42:00.000+02:00,-22.260725,-29.155966,0
2022-05-23T03:43:00.000+02:00,-22.26534,-29.155611,0
2022-05-23T03:44:00.000+02:00,-22.26534,-29.158808,0
2022-05-23T03:45:00.000+02:00,-22.262146,-29.159872,0
2022-05-23T03:46:00.000+02:00,-22.266052,-29.1549,0
2022-05-23T03:47:00.000+02:00,-22.264275,-29.15632,0
2022-05-23T03:48:00.000+02:00,-22.26463,-29.160582,0
2022-05-23T03:49:00.000+02:00,-22.264631,-29.160227,0
2022-05-23T03:50:00.000+02:00,-22.262144,-29.156675,0
2022-05-23T03:51:00.000+02:00,-22.264631,-29.154545,0
2022-05-23T03:52:00.000+02:00,-22.267117,-29.162003,0
2022-05-23T03:53:00.000+02:00,-22.272087,-29.162357,0
2022-05-23T03:54:00.000+02:00,-22.272799,-29.155966,0
2022-05-23T03:55:00.000+02:00,-22.266407,-29.161293,0
2022-05-23T03:56:00.000+02:00,-22.271378,-29.158451,0
2022-05-23T03:57:00.000+02:00,-22.26818,-29.151705,0
2022-05-23T03:58:00.000+02:00,-22.271023,-29.151705,0
2022-05-23T03:59:00.000+02:00,-22.272087,-29.148863,0
2022-05-23T04:00:00.000+02:00,-22.271732,-29.151705,0
2022-05-23T04:01:00.000+02:00,-22.275993,-29.155611,0
2022-05-23T04:02:00.000+02:00,-22.272444,-29.155966,0
2022-05-23T04:03:00.000+02:00,-22.278835,-29.158451,0
2022-05-23T04:04:00.000+02:00,-22.290909,-29.1375,0
2022-05-23T04:05:00.000+02:00,-22.273865,-29.133595,0
2022-05-23T04:06:00.000+02:00,-22.277414,-29.134659,0
2022-05-23T04:07:00.000+02:00,-22.268538,-29.14318,0
2022-05-23T04:08:00.000+02:00,-22.29304,-29.124716,0
2022-05-23T04:09:00.000+02:00,-22.318253,-29.097729,0
2022-05-23T04:10:00.000+02:00,-22.29233,-29.093111,0
2022-05-23T04:11:00.000+02:00,-22.27493,-29.110512,0
2022-05-23T04:12:00.000+02:00,-22.280256,-29.111576,0
2022-05-23T04:13:00.000+02:00,-22.27848,-29.110867,0
2022-05-23T04:14:00.000+02:00,-22.273153,-29.115128,0
2022-05-23T04:15:00.000+02:00,-22.270668,-29.11797,0
2022-05-23T04:16:00.000+02:00,-22.265697,-29.12223,0
2022-05-23T04:17:00.000+02:00,-22.27493,-29.114418,0
2022-05-23T04:18:00.000+02:00,-22.27919,-29.10696,0
2022-05-23T04:19:00.000+02:00,-22.282032,-29.104475,0
2022-05-23T04:20:00.000+02:00,-22.264275,-29.11193,0
2022-05-23T04:21:00.000+02:00,-22.256817,-29.121521,0
2022-05-23T04:22:00.000+02:00,-22.246876,-29.121876,0
2022-05-23T04:23:00.000+02:00,-22.235512,-29.126492,0
2022-05-23T04:24:00.000+02:00,-22.232315,-29.135723,0
2022-05-23T04:25:00.000+02:00,-22.223793,-29.134304,0
2022-05-23T04:26:00.000+02:00,-22.229475,-29.1375,0
2022-05-23T04:27:00.000+02:00,-22.222372,-29.139275,0
2022-05-23T04:28:00.000+02:00,-22.225924,-29.137146,0
2022-05-23T04:29:00.000+02:00,-22.222372,-29.13324,0
2022-05-23T04:30:00.000+02:00,-22.23196,-29.129688,0
2022-05-23T04:31:00.000+02:00,-22.217045,-29.133238,0
2022-05-23T04:32:00.000+02:00,-22.211365,-29.132883,0
2022-05-23T04:33:00.000+02:00,-22.209942,-29.132883,0
2022-05-23T04:34:00.000+02:00,-22.204262,-29.134304,0
2022-05-23T04:35:00.000+02:00,-22.197868,-29.134304,0
2022-05-23T04:36:00.000+02:00,-22.197868,-29.134304,0
2022-05-23T04:37:00.000+02:00,-22.193607,-29.132883,0
2022-05-23T04:38:00.000+02:00,-22.190413,-29.13537,0
2022-05-23T04:39:00.000+02:00,-22.182955,-29.129333,0
2022-05-23T04:40:00.000+02:00,-22.179049,-29.12294,0
2022-05-23T04:41:00.000+02:00,-22.18118,-29.128267,0
2022-05-23T04:42:00.000+02:00,-22.18331,-29.117613,0
2022-05-23T04:43:00.000+02:00,-22.177982,-29.126492,0
2022-05-23T04:44:00.000+02:00,-22.17017,-29.127201,0
2022-05-23T04:45:00.000+02:00,-22.18118,-29.13324,0
2022-05-23T04:46:00.000+02:00,-22.16946,-29.127558,0
2022-05-23T04:47:00.000+02:00,-22.176918,-29.124006,0
2022-05-23T04:48:00.000+02:00,-22.173367,-29.125782,0
2022-05-23T04:49:00.000+02:00,-22.17017,-29.128267,0
2022-05-23T04:50:00.000+02:00,-22.175142,-29.128979,0
2022-05-23T04:51:00.000+02:00,-22.177982,-29.124006,0
2022-05-23T04:52:00.000+02:00,-22.168394,-29.124006,0
2022-05-23T04:53:00.000+02:00,-22.16733,-29.123295,0
2022-05-23T04:54:00.000+02:00,-22.171236,-29.12081,0
2022-05-23T04:55:00.000+02:00,-22.179049,-29.117613,0
