_c0,signal_std_final,signal_rad_final,pluie
2022-05-24T14:52:00.000+02:00,-22.590626,-29.227345,0
2022-05-24T14:53:00.000+02:00,-22.575356,-29.23267,0
2022-05-24T14:54:00.000+02:00,-22.57358,-29.230896,0
2022-05-24T14:55:00.000+02:00,-22.581747,-29.224503,0
2022-05-24T14:56:00.000+02:00,-22.583168,-29.226633,0
2022-05-24T14:57:00.000+02:00,-22.572868,-29.229475,0
2022-05-24T14:58:00.000+02:00,-22.575,-29.233381,0
2022-05-24T14:59:00.000+02:00,-22.57358,-29.242258,0
2022-05-24T15:00:00.000+02:00,-22.577131,-29.247585,0
2022-05-24T15:01:00.000+02:00,-22.557955,-29.225924,0
2022-05-24T15:02:00.000+02:00,-22.57571,-29.237642,0
2022-05-24T15:03:00.000+02:00,-22.587074,-29.230541,0
2022-05-24T15:04:00.000+02:00,-22.579617,-29.209232,0
2022-05-24T15:05:00.000+02:00,-22.572159,-29.223083,0
2022-05-24T15:06:00.000+02:00,-22.563992,-29.227345,0
2022-05-24T15:07:00.000+02:00,-22.564346,-29.210653,0
2022-05-24T15:08:00.000+02:00,-22.573935,-29.217045,0
2022-05-24T15:09:00.000+02:00,-22.581038,-29.18047,0
2022-05-24T15:10:00.000+02:00,-22.600924,-29.179049,0
2022-05-24T15:11:00.000+02:00,-22.570383,-29.201775,0
2022-05-24T15:12:00.000+02:00,-22.552982,-29.19645,0
2022-05-24T15:13:00.000+02:00,-22.567543,-29.21598,0
2022-05-24T15:14:00.000+02:00,-22.557245,-29.206038,0
2022-05-24T15:15:00.000+02:00,-22.56115,-29.204617,0
2022-05-24T15:16:00.000+02:00,-22.56044,-29.197514,0
2022-05-24T15:17:00.000+02:00,-22.556889,-29.204971,1
2022-05-24T15:18:00.000+02:00,-22.566122,-29.193607,1
2022-05-24T15:19:00.000+02:00,-22.579971,-29.181534,1
2022-05-24T15:20:00.000+02:00,-22.565058,-29.176207,1
2022-05-24T15:21:00.000+02:00,-22.60412,-29.13608,1
2022-05-24T15:22:00.000+02:00,-22.62081,-29.079617,1
2022-05-24T15:23:00.000+02:00,-22.684376,-28.959232,1
2022-05-24T15:24:00.000+02:00,-22.738354,-28.898508,1
2022-05-24T15:25:00.000+02:00,-22.6549,-28.956747,1
2022-05-24T15:26:00.000+02:00,-22.567898,-29.033451,1
2022-05-24T15:27:00.000+02:00,-22.628267,-28.999361,1
2022-05-24T15:28:00.000+02:00,-22.603409,-28.99297,1
2022-05-24T15:29:00.000+02:00,-22.525284,-29.070385,1
2022-05-24T15:30:00.000+02:00,-22.45142,-29.159163,1
2022-05-24T15:31:00.000+02:00,-22.468111,-29.164845,1
2022-05-24T15:32:00.000+02:00,-22.44858,-29.175497,1
2022-05-24T15:33:00.000+02:00,-22.454971,-29.184376,0
2022-05-24T15:34:00.000+02:00,-22.46172,-29.183664,0
2022-05-24T15:35:00.000+02:00,-22.469177,-29.197159,0
2022-05-24T15:36:00.000+02:00,-22.456747,-29.19858,0
2022-05-24T15:37:00.000+02:00,-22.473436,-29.197514,0
2022-05-24T15:38:00.000+02:00,-22.472372,-29.198223,0
2022-05-24T15:39:00.000+02:00,-22.487642,-29.19858,0
2022-05-24T15:40:00.000+02:00,-22.461008,-29.2,0
2022-05-24T15:41:00.000+02:00,-22.472372,-29.20142,0
2022-05-24T15:42:00.000+02:00,-22.447159,-29.21669,0
2022-05-24T15:43:00.000+02:00,-22.46669,-29.2277,0
2022-05-24T15:44:00.000+02:00,-22.4848,-29.215626,0
2022-05-24T15:45:00.000+02:00,-22.48196,-29.223793,0
2022-05-24T15:46:00.000+02:00,-22.505753,-29.222372,0
2022-05-24T15:47:00.000+02:00,-22.501492,-29.199646,0
2022-05-24T15:48:00.000+02:00,-22.488707,-29.203552,0
2022-05-24T15:49:00.000+02:00,-22.538778,-29.1826,0
2022-05-24T15:50:00.000+02:00,-22.505398,-29.203552,0
2022-05-24T15:51:00.000+02:00,-22.474503,-29.214914,0
2022-05-24T15:52:00.000+02:00,-22.493324,-29.219175,0
2022-05-24T15:53:00.000+02:00,-22.490837,-29.214205,0
2022-05-24T15:54:00.000+02:00,-22.500427,-29.228764,0
2022-05-24T15:55:00.000+02:00,-22.499006,-29.21598,0
2022-05-24T15:56:00.000+02:00,-22.496164,-29.226278,0
2022-05-24T15:57:00.000+02:00,-22.489773,-29.23054,0
2022-05-24T15:58:00.000+02:00,-22.4777,-29.244743,0
2022-05-24T15:59:00.000+02:00,-22.485512,-29.247585,0
2022-05-24T16:00:00.000+02:00,-22.484446,-29.249716,0
2022-05-24T16:01:00.000+02:00,-22.489773,-29.254333,0
2022-05-24T16:02:00.000+02:00,-22.501137,-29.256819,0
2022-05-24T16:03:00.000+02:00,-22.50291,-29.258595,0
2022-05-24T16:04:00.000+02:00,-22.48267,-29.257528,0
2022-05-24T16:05:00.000+02:00,-22.508595,-29.261435,0
2022-05-24T16:06:00.000+02:00,-22.486221,-29.264631,0
2022-05-24T16:07:00.000+02:00,-22.481606,-29.271023,0
2022-05-24T16:08:00.000+02:00,-22.489418,-29.284872,0
2022-05-24T16:09:00.000+02:00,-22.479475,-29.287003,0
2022-05-24T16:10:00.000+02:00,-22.474503,-29.310085,0
2022-05-24T16:11:00.000+02:00,-22.478054,-29.304403,0
2022-05-24T16:12:00.000+02:00,-22.472729,-29.310795,0
2022-05-24T16:13:00.000+02:00,-22.485512,-29.321095,0
2022-05-24T16:14:00.000+02:00,-22.495455,-29.32429,0
2022-05-24T16:15:00.000+02:00,-22.494034,-29.330326,0
2022-05-24T16:16:00.000+02:00,-22.485157,-29.33672,0
2022-05-24T16:17:00.000+02:00,-22.503977,-29.356606,0
2022-05-24T16:18:00.000+02:00,-22.500427,-29.359446,0
2022-05-24T16:19:00.000+02:00,-22.507174,-29.364063,0
2022-05-24T16:20:00.000+02:00,-22.503622,-29.371876,0
2022-05-24T16:21:00.000+02:00,-22.51605,-29.388565,0
2022-05-24T16:22:00.000+02:00,-22.52706,-29.40348,0
2022-05-24T16:23:00.000+02:00,-22.545525,-29.413067,0
2022-05-24T16:24:00.000+02:00,-22.543394,-29.416618,0
2022-05-24T16:25:00.000+02:00,-22.535938,-29.425852,0
2022-05-24T16:26:00.000+02:00,-22.544815,-29.437216,0
2022-05-24T16:27:00.000+02:00,-22.537357,-29.44574,0
2022-05-24T16:28:00.000+02:00,-22.540909,-29.453907,0
2022-05-24T16:29:00.000+02:00,-22.532742,-29.451065,0
2022-05-24T16:30:00.000+02:00,-22.52493,-29.457813,0
2022-05-24T16:31:00.000+02:00,-22.525995,-29.454971,0
2022-05-24T16:32:00.000+02:00,-22.517117,-29.453196,0
2022-05-24T16:33:00.000+02:00,-22.519247,-29.45071,0
2022-05-24T16:34:00.000+02:00,-22.490482,-29.458168,0
2022-05-24T16:35:00.000+02:00,-22.502556,-29.453907,0
2022-05-24T16:36:00.000+02:00,-22.483027,-29.458878,0
2022-05-24T16:37:00.000+02:00,-22.484447,-29.453907,0
2022-05-24T16:38:00.000+02:00,-22.468111,-29.456392,0
2022-05-24T16:39:00.000+02:00,-22.474503,-29.45071,0
2022-05-24T16:40:00.000+02:00,-22.45284,-29.453197,0
2022-05-24T16:41:00.000+02:00,-22.452486,-29.460653,0
2022-05-24T16:42:00.000+02:00,-22.463139,-29.470951,0
2022-05-24T16:43:00.000+02:00,-22.4674,-29.473438,0
2022-05-24T16:44:00.000+02:00,-22.45142,-29.474503,0
2022-05-24T16:45:00.000+02:00,-22.454971,-29.474857,0
2022-05-24T16:46:00.000+02:00,-22.443964,-29.480894,0
2022-05-24T16:47:00.000+02:00,-22.459944,-29.477345,0
2022-05-24T16:48:00.000+02:00,-22.459587,-29.480894,0
2022-05-24T16:49:00.000+02:00,-22.464205,-29.489063,0
2022-05-24T16:50:00.000+02:00,-22.453196,-29.48409,0
2022-05-24T16:51:00.000+02:00,-22.454262,-29.491194,0
2022-05-24T16:52:00.000+02:00,-22.447868,-29.492258,0
2022-05-24T16:53:00.000+02:00,-22.454262,-29.479118,0
2022-05-24T16:54:00.000+02:00,-22.465626,-29.489063,0
2022-05-24T16:55:00.000+02:00,-22.447159,-29.48693,0
2022-05-24T16:56:00.000+02:00,-22.459944,-29.483025,0
2022-05-24T16:57:00.000+02:00,-22.448935,-29.480896,0
2022-05-24T16:58:00.000+02:00,-22.457813,-29.480896,0
2022-05-24T16:59:00.000+02:00,-22.446095,-29.4777,0
2022-05-24T17:00:00.000+02:00,-22.447868,-29.474857,0
2022-05-24T17:01:00.000+02:00,-22.454262,-29.478054,0
2022-05-24T17:02:00.000+02:00,-22.443607,-29.483736,0
2022-05-24T17:03:00.000+02:00,-22.437572,-29.480185,0
2022-05-24T17:04:00.000+02:00,-22.445028,-29.491194,0
2022-05-24T17:05:00.000+02:00,-22.444674,-29.49581,0
2022-05-24T17:06:00.000+02:00,-22.453907,-29.490128,0
2022-05-24T17:07:00.000+02:00,-22.440056,-29.488708,0
2022-05-24T17:08:00.000+02:00,-22.45568,-29.490837,0
2022-05-24T17:09:00.000+02:00,-22.453552,-29.486221,0
2022-05-24T17:10:00.000+02:00,-22.45071,-29.48409,0
2022-05-24T17:11:00.000+02:00,-22.435795,-29.480896,0
2022-05-24T17:12:00.000+02:00,-22.458523,-29.483025,0
2022-05-24T17:13:00.000+02:00,-22.43544,-29.4777,0
2022-05-24T17:14:00.000+02:00,-22.44858,-29.478764,0
2022-05-24T17:15:00.000+02:00,-22.447159,-29.476278,0
2022-05-24T17:16:00.000+02:00,-22.438637,-29.468111,0
2022-05-24T17:17:00.000+02:00,-22.432243,-29.462074,0
2022-05-24T17:18:00.000+02:00,-22.436861,-29.473083,0
2022-05-24T17:19:00.000+02:00,-22.4326,-29.468466,0
2022-05-24T17:20:00.000+02:00,-22.447514,-29.474148,0
2022-05-24T17:21:00.000+02:00,-22.430824,-29.473083,0
2022-05-24T17:22:00.000+02:00,-22.434021,-29.478409,0
2022-05-24T17:23:00.000+02:00,-22.43473,-29.484446,0
2022-05-24T17:24:00.000+02:00,-22.43757,-29.48125,0
2022-05-24T17:25:00.000+02:00,-22.432598,-29.485867,0
2022-05-24T17:26:00.000+02:00,-22.434376,-29.484802,0
2022-05-24T17:27:00.000+02:00,-22.430115,-29.489773,0
2022-05-24T17:28:00.000+02:00,-22.428337,-29.489418,0
2022-05-24T17:29:00.000+02:00,-22.43118,-29.485867,0
2022-05-24T17:30:00.000+02:00,-22.428694,-29.485867,0
2022-05-24T17:31:00.000+02:00,-22.437216,-29.481606,0
2022-05-24T17:32:00.000+02:00,-22.438992,-29.48409,0
2022-05-24T17:33:00.000+02:00,-22.432245,-29.48409,0
2022-05-24T17:34:00.000+02:00,-22.438992,-29.477345,0
2022-05-24T17:35:00.000+02:00,-22.43615,-29.476988,0
2022-05-24T17:36:00.000+02:00,-22.432955,-29.476633,0
2022-05-24T17:37:00.000+02:00,-22.43047,-29.476278,0
2022-05-24T17:38:00.000+02:00,-22.435795,-29.478054,0
2022-05-24T17:39:00.000+02:00,-22.433664,-29.476278,0
2022-05-24T17:40:00.000+02:00,-22.439701,-29.47983,0
2022-05-24T17:41:00.000+02:00,-22.432243,-29.46882,0
2022-05-24T17:42:00.000+02:00,-22.442543,-29.483027,0
2022-05-24T17:43:00.000+02:00,-22.440767,-29.476278,0
2022-05-24T17:44:00.000+02:00,-22.438992,-29.477343,0
2022-05-24T17:45:00.000+02:00,-22.45284,-29.479475,0
2022-05-24T17:46:00.000+02:00,-22.443962,-29.478054,0
2022-05-24T17:47:00.000+02:00,-22.436861,-29.472727,0
2022-05-24T17:48:00.000+02:00,-22.436506,-29.473438,0
2022-05-24T17:49:00.000+02:00,-22.44929,-29.474148,0
2022-05-24T17:50:00.000+02:00,-22.45142,-29.471306,0
2022-05-24T17:51:00.000+02:00,-22.437572,-29.478409,0
2022-05-24T17:52:00.000+02:00,-22.43615,-29.473793,0
2022-05-24T17:53:00.000+02:00,-22.445383,-29.471308,0
2022-05-24T17:54:00.000+02:00,-22.441833,-29.472372,0
2022-05-24T17:55:00.000+02:00,-22.444674,-29.469532,0
2022-05-24T17:56:00.000+02:00,-22.443962,-29.473083,0
2022-05-24T17:57:00.000+02:00,-22.441479,-29.46882,0
2022-05-24T17:58:00.000+02:00,-22.429758,-29.470596,0
2022-05-24T17:59:00.000+02:00,-22.442543,-29.468466,0
2022-05-24T18:00:00.000+02:00,-22.437927,-29.468111,0
2022-05-24T18:01:00.000+02:00,-22.436861,-29.46598,0
2022-05-24T18:02:00.000+02:00,-22.445028,-29.46385,0
2022-05-24T18:03:00.000+02:00,-22.445383,-29.467045,0
2022-05-24T18:04:00.000+02:00,-22.444319,-29.468822,0
2022-05-24T18:05:00.000+02:00,-22.439701,-29.469175,0
2022-05-24T18:06:00.000+02:00,-22.445028,-29.471308,0
2022-05-24T18:07:00.000+02:00,-22.426563,-29.464914,0
2022-05-24T18:08:00.000+02:00,-22.434376,-29.465626,0
2022-05-24T18:09:00.000+02:00,-22.42976,-29.469532,0
2022-05-24T18:10:00.000+02:00,-22.428339,-29.469532,0
2022-05-24T18:11:00.000+02:00,-22.416618,-29.471663,0
2022-05-24T18:12:00.000+02:00,-22.423367,-29.477345,0
2022-05-24T18:13:00.000+02:00,-22.430115,-29.478409,0
2022-05-24T18:14:00.000+02:00,-22.41875,-29.481606,0
2022-05-24T18:15:00.000+02:00,-22.431889,-29.47983,0
2022-05-24T18:16:00.000+02:00,-22.419106,-29.474503,0
2022-05-24T18:17:00.000+02:00,-22.411648,-29.472372,0
2022-05-24T18:18:00.000+02:00,-22.425497,-29.470596,0
2022-05-24T18:19:00.000+02:00,-22.416975,-29.467756,0
2022-05-24T18:20:00.000+02:00,-22.412357,-29.465271,0
2022-05-24T18:21:00.000+02:00,-22.425497,-29.459232,0
2022-05-24T18:22:00.000+02:00,-22.4223,-29.45142,0
2022-05-24T18:23:00.000+02:00,-22.431889,-29.44858,0
2022-05-24T18:24:00.000+02:00,-22.427273,-29.438282,0
2022-05-24T18:25:00.000+02:00,-22.426208,-29.434376,0
2022-05-24T18:26:00.000+02:00,-22.414845,-29.425852,0
2022-05-24T18:27:00.000+02:00,-22.429403,-29.396023,0
2022-05-24T18:28:00.000+02:00,-22.43473,-29.398865,0
2022-05-24T18:29:00.000+02:00,-22.430115,-29.407032,0
2022-05-24T18:30:00.000+02:00,-22.42159,-29.42017,0
2022-05-24T18:31:00.000+02:00,-22.451183,-29.517235,0
2022-05-24T18:32:00.000+02:00,-22.42017,-29.380398,0
2022-05-24T18:33:00.000+02:00,-22.428694,-29.38395,0
2022-05-24T18:34:00.000+02:00,-22.424788,-29.380043,0
2022-05-24T18:35:00.000+02:00,-22.445028,-29.387144,0
2022-05-24T18:36:00.000+02:00,-22.4326,-29.390696,0
2022-05-24T18:37:00.000+02:00,-22.45,-29.38608,0
2022-05-24T18:38:00.000+02:00,-22.440058,-29.381819,0
2022-05-24T18:39:00.000+02:00,-22.443607,-29.375072,0
2022-05-24T18:40:00.000+02:00,-22.451065,-29.36868,0
2022-05-24T18:41:00.000+02:00,-22.432955,-29.383238,0
2022-05-24T18:42:00.000+02:00,-22.429758,-29.411293,0
