_c0,signal_std_final,signal_rad_final,pluie
2022-05-25T08:52:00.000+02:00,-22.478054,-29.155256,1
2022-05-25T08:53:00.000+02:00,-22.453196,-29.168396,1
2022-05-25T08:54:00.000+02:00,-22.459234,-29.180824,1
2022-05-25T08:55:00.000+02:00,-22.464205,-29.190056,1
2022-05-25T08:56:00.000+02:00,-22.456747,-29.202131,1
2022-05-25T08:57:00.000+02:00,-22.456747,-29.21669,1
2022-05-25T08:58:00.000+02:00,-22.440767,-29.220596,1
2022-05-25T08:59:00.000+02:00,-22.42443,-29.228409,1
2022-05-25T09:00:00.000+02:00,-22.451065,-29.246876,1
2022-05-25T09:01:00.000+02:00,-22.424788,-29.251492,1
2022-05-25T09:02:00.000+02:00,-22.45,-29.254688,0
2022-05-25T09:03:00.000+02:00,-22.444674,-29.251846,0
2022-05-25T09:04:00.000+02:00,-22.43106,-29.256819,0
2022-05-25T09:05:00.000+02:00,-22.455917999999997,-29.4355595,0
2022-05-25T09:06:00.000+02:00,-22.455917999999997,-29.4355595,0
2022-05-25T09:07:00.000+02:00,-22.398865,-29.264868,1
2022-05-25T09:08:00.000+02:00,-22.426208,-29.26392,1
2022-05-25T09:09:00.000+02:00,-22.444319,-29.242613,1
2022-05-25T09:10:00.000+02:00,-22.441832,-29.219887,1
2022-05-25T09:11:00.000+02:00,-22.454971,-29.235867,1
2022-05-25T09:12:00.000+02:00,-22.431889,-29.224857,1
2022-05-25T09:13:00.000+02:00,-22.461008,-29.207102,1
2022-05-25T09:14:00.000+02:00,-22.478764,-29.21243,1
2022-05-25T09:15:00.000+02:00,-22.451065,-29.21385,1
2022-05-25T09:16:00.000+02:00,-22.464205,-29.231606,1
2022-05-25T09:17:00.000+02:00,-22.459942,-29.234446,1
2022-05-25T09:18:00.000+02:00,-22.446095,-29.255043,1
2022-05-25T09:19:00.000+02:00,-22.45,-29.235157,1
2022-05-25T09:20:00.000+02:00,-22.470596,-29.219532,1
2022-05-25T09:21:00.000+02:00,-22.436861,-29.227345,1
2022-05-25T09:22:00.000+02:00,-22.454617,-29.217754,1
2022-05-25T09:23:00.000+02:00,-22.448935,-29.217756,1
2022-05-25T09:24:00.000+02:00,-22.45071,-29.226633,1
2022-05-25T09:25:00.000+02:00,-22.445028,-29.216335,1
2022-05-25T09:26:00.000+02:00,-22.472372,-29.173012,1
2022-05-25T09:27:00.000+02:00,-22.488352,-29.132883,1
2022-05-25T09:28:00.000+02:00,-22.473793,-29.159163,1
2022-05-25T09:29:00.000+02:00,-22.451775,-29.171946,1
2022-05-25T09:30:00.000+02:00,-22.430824,-29.189701,1
2022-05-25T09:31:00.000+02:00,-22.508595,-29.219177,1
2022-05-25T09:32:00.000+02:00,-22.435085,-29.23054,1
2022-05-25T09:33:00.000+02:00,-22.431534,-29.221306,1
2022-05-25T09:34:00.000+02:00,-22.425142,-29.228764,1
