_c0,signal_std_final,signal_rad_final,pluie
2022-05-28T08:52:00.000+02:00,-22.522444,-29.61797,0
2022-05-28T08:53:00.000+02:00,-22.550852,-29.64034,0
2022-05-28T08:54:00.000+02:00,-22.5402,-29.643538,0
2022-05-28T08:55:00.000+02:00,-22.523865,-29.637144,0
2022-05-28T08:56:00.000+02:00,-22.5576,-29.604475,0
2022-05-28T08:57:00.000+02:00,-22.52919,-29.614063,0
2022-05-28T08:58:00.000+02:00,-22.502913,-29.59098,0
2022-05-28T08:59:00.000+02:00,-22.49297,-29.57145,0
2022-05-28T09:00:00.000+02:00,-22.475567,-29.553337,0
2022-05-28T09:01:00.000+02:00,-22.458523,-29.547302,0
2022-05-28T09:02:00.000+02:00,-22.474148,-29.578907,0
2022-05-28T09:03:00.000+02:00,-22.495455,-29.595951,0
2022-05-28T09:04:00.000+02:00,-22.485867,-29.581038,0
2022-05-28T09:05:00.000+02:00,-22.489773,-29.59169,0
2022-05-28T09:06:00.000+02:00,-22.52422,-29.627913,0
2022-05-28T09:07:00.000+02:00,-22.536648,-29.639631,0
2022-05-28T09:08:00.000+02:00,-22.532032,-29.628622,0
2022-05-28T09:09:00.000+02:00,-22.49794,-29.6098,0
2022-05-28T09:10:00.000+02:00,-22.504332,-29.586365,0
2022-05-28T09:11:00.000+02:00,-22.501846,-29.582813,0
2022-05-28T09:12:00.000+02:00,-22.50895,-29.602345,0
2022-05-28T09:13:00.000+02:00,-22.535938,-29.645668,0
2022-05-28T09:14:00.000+02:00,-22.545881,-29.647799,0
2022-05-28T09:15:00.000+02:00,-22.555115,-29.64318,0
2022-05-28T09:16:00.000+02:00,-22.558664,-29.627201,0
2022-05-28T09:17:00.000+02:00,-22.505753,-29.621521,0
2022-05-28T09:18:00.000+02:00,-22.501137,-29.597017,0
2022-05-28T09:19:00.000+02:00,-22.491903,-29.583523,0
2022-05-28T09:20:00.000+02:00,-22.48196,-29.571804,0
2022-05-28T09:21:00.000+02:00,-22.457813,-29.557243,0
2022-05-28T09:22:00.000+02:00,-22.45568,-29.545881,0
2022-05-28T09:23:00.000+02:00,-22.44645,-29.528835,0
2022-05-28T09:24:00.000+02:00,-22.429049,-29.522444,0
2022-05-28T09:25:00.000+02:00,-22.419106,-29.510725,0
2022-05-28T09:26:00.000+02:00,-22.427273,-29.504688,0
2022-05-28T09:27:00.000+02:00,-22.42159,-29.506107,0
2022-05-28T09:28:00.000+02:00,-22.413424,-29.499716,0
2022-05-28T09:29:00.000+02:00,-22.415554,-29.496521,0
2022-05-28T09:30:00.000+02:00,-22.41804,-29.49723,0
2022-05-28T09:31:00.000+02:00,-22.405611,-29.494034,0
2022-05-28T09:32:00.000+02:00,-22.423367,-29.50895,0
2022-05-28T09:33:00.000+02:00,-22.434021,-29.517826,0
2022-05-28T09:34:00.000+02:00,-22.45,-29.525284,0
2022-05-28T09:35:00.000+02:00,-22.456038,-29.536648,0
2022-05-28T09:36:00.000+02:00,-22.430115,-29.521732,0
2022-05-28T09:37:00.000+02:00,-22.43473,-29.512856,0
2022-05-28T09:38:00.000+02:00,-22.421946,-29.5125,0
2022-05-28T09:39:00.000+02:00,-22.46172,-29.507883,0
2022-05-28T09:40:00.000+02:00,-22.469532,-29.51321,0
2022-05-28T09:41:00.000+02:00,-22.47983,-29.531675,0
2022-05-28T09:42:00.000+02:00,-22.47699,-29.582813,0
2022-05-28T09:43:00.000+02:00,-22.492615,-29.594887,0
2022-05-28T09:44:00.000+02:00,-22.510723,-29.624006,0
2022-05-28T09:45:00.000+02:00,-22.538067,-29.659872,0
2022-05-28T09:46:00.000+02:00,-22.547657,-29.66449,0
2022-05-28T09:47:00.000+02:00,-22.550142,-29.658808,0
2022-05-28T09:48:00.000+02:00,-22.512856,-29.655256,0
2022-05-28T09:49:00.000+02:00,-22.547657,-29.649574,0
2022-05-28T09:50:00.000+02:00,-22.540909,-29.62791,0
2022-05-28T09:51:00.000+02:00,-22.49794,-29.621876,0
2022-05-28T09:52:00.000+02:00,-22.516762,-29.626846,0
2022-05-28T09:53:00.000+02:00,-22.528835,-29.64105,0
2022-05-28T09:54:00.000+02:00,-22.558664,-29.660583,0
2022-05-28T09:55:00.000+02:00,-22.563282,-29.6826,0
2022-05-28T09:56:00.000+02:00,-22.57358,-29.705326,0
2022-05-28T09:57:00.000+02:00,-22.586363,-29.726635,0
2022-05-28T09:58:00.000+02:00,-22.589916,-29.74865,0
2022-05-28T09:59:00.000+02:00,-22.62081,-29.760014,0
2022-05-28T10:00:00.000+02:00,-22.612642,-29.76534,0
2022-05-28T10:01:00.000+02:00,-22.630398,-29.783808,0
