_c0,signal_std_final,signal_rad_final,pluie
2022-05-17T14:52:00.000+02:00,-22.501492,-29.6549,0
2022-05-17T14:53:00.000+02:00,-22.508238,-29.655966,0
2022-05-17T14:54:00.000+02:00,-22.499361,-29.655256,0
2022-05-17T14:55:00.000+02:00,-22.485512,-29.646732,0
2022-05-17T14:56:00.000+02:00,-22.495455,-29.647444,0
2022-05-17T14:57:00.000+02:00,-22.499361,-29.643892,0
2022-05-17T14:58:00.000+02:00,-22.493324,-29.647442,0
2022-05-17T14:59:00.000+02:00,-22.498295,-29.6549,0
2022-05-17T15:00:00.000+02:00,-22.508595,-29.660227,0
2022-05-17T15:01:00.000+02:00,-22.49794,-29.647799,0
2022-05-17T15:02:00.000+02:00,-22.50007,-29.647442,0
2022-05-17T15:03:00.000+02:00,-22.497585,-29.647087,0
2022-05-17T15:04:00.000+02:00,-22.496521,-29.654545,0
2022-05-17T15:05:00.000+02:00,-22.49652,-29.659872,0
2022-05-17T15:06:00.000+02:00,-22.4951,-29.659517,0
2022-05-17T15:07:00.000+02:00,-22.503977,-29.664845,0
2022-05-17T15:08:00.000+02:00,-22.501492,-29.664133,0
2022-05-17T15:09:00.000+02:00,-22.50007,-29.661293,0
2022-05-17T15:10:00.000+02:00,-22.49723,-29.65206,0
2022-05-17T15:11:00.000+02:00,-22.487288,-29.65419,0
2022-05-17T15:12:00.000+02:00,-22.502556,-29.655966,0
2022-05-17T15:13:00.000+02:00,-22.492258,-29.650993,0
2022-05-17T15:14:00.000+02:00,-22.498295,-29.667685,0
2022-05-17T15:15:00.000+02:00,-22.517826,-29.665909,0
2022-05-17T15:16:00.000+02:00,-22.499361,-29.663069,0
2022-05-17T15:17:00.000+02:00,-22.504332,-29.663778,0
2022-05-17T15:18:00.000+02:00,-22.483381,-29.65348,0
2022-05-17T15:19:00.000+02:00,-22.511435,-29.64993,0
2022-05-17T15:20:00.000+02:00,-22.483736,-29.646023,0
2022-05-17T15:21:00.000+02:00,-22.496521,-29.650284,0
2022-05-17T15:22:00.000+02:00,-22.478054,-29.648865,0
2022-05-17T15:23:00.000+02:00,-22.495455,-29.647087,0
2022-05-17T15:24:00.000+02:00,-22.488352,-29.644602,0
2022-05-17T15:25:00.000+02:00,-22.48196,-29.642117,0
2022-05-17T15:26:00.000+02:00,-22.475212,-29.639986,0
2022-05-17T15:27:00.000+02:00,-22.468466,-29.63395,0
2022-05-17T15:28:00.000+02:00,-22.468822,-29.63324,0
2022-05-17T15:29:00.000+02:00,-22.473793,-29.635014,0
2022-05-17T15:30:00.000+02:00,-22.472372,-29.632174,0
2022-05-17T15:31:00.000+02:00,-22.476278,-29.632174,0
2022-05-17T15:32:00.000+02:00,-22.480896,-29.63608,0
2022-05-17T15:33:00.000+02:00,-22.467045,-29.625782,0
2022-05-17T15:34:00.000+02:00,-22.460653,-29.631107,0
2022-05-17T15:35:00.000+02:00,-22.476278,-29.63395,0
2022-05-17T15:36:00.000+02:00,-22.454971,-29.62365,0
2022-05-17T15:37:00.000+02:00,-22.453907,-29.61868,0
2022-05-17T15:38:00.000+02:00,-22.461008,-29.611576,0
2022-05-17T15:39:00.000+02:00,-22.44858,-29.598438,0
2022-05-17T15:40:00.000+02:00,-22.431889,-29.595596,0
2022-05-17T15:41:00.000+02:00,-22.427982,-29.58672,0
2022-05-17T15:42:00.000+02:00,-22.43757,-29.579262,0
2022-05-17T15:43:00.000+02:00,-22.410582,-29.578907,0
2022-05-17T15:44:00.000+02:00,-22.415909,-29.577131,0
2022-05-17T15:45:00.000+02:00,-22.400639,-29.572159,0
2022-05-17T15:46:00.000+02:00,-22.409163,-29.567188,0
2022-05-17T15:47:00.000+02:00,-22.416975,-29.575356,0
2022-05-17T15:48:00.000+02:00,-22.407387,-29.569674,0
2022-05-17T15:49:00.000+02:00,-22.403835,-29.568962,0
2022-05-17T15:50:00.000+02:00,-22.398865,-29.565413,0
2022-05-17T15:51:00.000+02:00,-22.397799,-29.570028,0
2022-05-17T15:52:00.000+02:00,-22.411293,-29.568253,0
2022-05-17T15:53:00.000+02:00,-22.38892,-29.554403,0
2022-05-17T15:54:00.000+02:00,-22.395668,-29.565058,0
2022-05-17T15:55:00.000+02:00,-22.404545,-29.562927,0
2022-05-17T15:56:00.000+02:00,-22.393892,-29.562925,0
2022-05-17T15:57:00.000+02:00,-22.398153,-29.553339,0
2022-05-17T15:58:00.000+02:00,-22.410229,-29.565413,0
2022-05-17T15:59:00.000+02:00,-22.4049,-29.561506,0
2022-05-17T16:00:00.000+02:00,-22.41875,-29.569319,0
2022-05-17T16:01:00.000+02:00,-22.41875,-29.577131,0
2022-05-17T16:02:00.000+02:00,-22.415554,-29.577486,0
2022-05-17T16:03:00.000+02:00,-22.417685,-29.57074,0
2022-05-17T16:04:00.000+02:00,-22.434376,-29.573223,0
2022-05-17T16:05:00.000+02:00,-22.419106,-29.576065,0
