_c0,signal_std_final,signal_rad_final,pluie
2022-05-29T14:52:00.000+02:00,-22.453196,-29.550854,0
2022-05-29T14:53:00.000+02:00,-22.453552,-29.54659,0
2022-05-29T14:54:00.000+02:00,-22.465626,-29.550142,0
2022-05-29T14:55:00.000+02:00,-22.466335,-29.552273,0
2022-05-29T14:56:00.000+02:00,-22.47166,-29.566122,0
2022-05-29T14:57:00.000+02:00,-22.472372,-29.570385,0
2022-05-29T14:58:00.000+02:00,-22.475214,-29.567188,0
2022-05-29T14:59:00.000+02:00,-22.460299,-29.56115,0
2022-05-29T15:00:00.000+02:00,-22.473083,-29.561861,0
2022-05-29T15:01:00.000+02:00,-22.46385,-29.571804,0
2022-05-29T15:02:00.000+02:00,-22.48267,-29.565056,0
2022-05-29T15:03:00.000+02:00,-22.469532,-29.561506,0
2022-05-29T15:04:00.000+02:00,-22.462784,-29.545881,0
2022-05-29T15:05:00.000+02:00,-22.473083,-29.566477,0
2022-05-29T15:06:00.000+02:00,-22.498295,-29.563282,0
2022-05-29T15:07:00.000+02:00,-22.490482,-29.571095,0
2022-05-29T15:08:00.000+02:00,-22.48125,-29.571095,0
2022-05-29T15:09:00.000+02:00,-22.49794,-29.573225,0
2022-05-29T15:10:00.000+02:00,-22.486221,-29.57429,0
2022-05-29T15:11:00.000+02:00,-22.490482,-29.579971,0
2022-05-29T15:12:00.000+02:00,-22.491903,-29.58672,0
2022-05-29T15:13:00.000+02:00,-22.48196,-29.568253,0
2022-05-29T15:14:00.000+02:00,-22.501137,-29.571804,0
2022-05-29T15:15:00.000+02:00,-22.499716,-29.575356,0
2022-05-29T15:16:00.000+02:00,-22.494743,-29.586365,0
2022-05-29T15:17:00.000+02:00,-22.501846,-29.594177,0
2022-05-29T15:18:00.000+02:00,-22.484446,-29.586008,0
2022-05-29T15:19:00.000+02:00,-22.48125,-29.579971,0
2022-05-29T15:20:00.000+02:00,-22.486221,-29.57784,0
2022-05-29T15:21:00.000+02:00,-22.48267,-29.566833,0
2022-05-29T15:22:00.000+02:00,-22.487288,-29.571804,0
2022-05-29T15:23:00.000+02:00,-22.478409,-29.56044,0
2022-05-29T15:24:00.000+02:00,-22.487997,-29.563992,0
2022-05-29T15:25:00.000+02:00,-22.48054,-29.56115,0
2022-05-29T15:26:00.000+02:00,-22.469177,-29.557245,0
2022-05-29T15:27:00.000+02:00,-22.465626,-29.556889,0
2022-05-29T15:28:00.000+02:00,-22.457102,-29.548367,0
2022-05-29T15:29:00.000+02:00,-22.446804,-29.54375,0
2022-05-29T15:30:00.000+02:00,-22.44858,-29.52919,0
2022-05-29T15:31:00.000+02:00,-22.44645,-29.537714,0
