_c0,signal_std_final,signal_rad_final,pluie
2022-05-18T02:52:00.000+02:00,-22.278126,-29.186506,0
2022-05-18T02:53:00.000+02:00,-22.282742,-29.187927,0
2022-05-18T02:54:00.000+02:00,-22.27706,-29.186506,0
2022-05-18T02:55:00.000+02:00,-22.287357,-29.182955,0
2022-05-18T02:56:00.000+02:00,-22.268538,-29.182598,0
2022-05-18T02:57:00.000+02:00,-22.270668,-29.1826,0
2022-05-18T02:58:00.000+02:00,-22.272444,-29.177273,0
2022-05-18T02:59:00.000+02:00,-22.260014,-29.177982,0
2022-05-18T03:00:00.000+02:00,-22.284872,-29.184376,0
2022-05-18T03:01:00.000+02:00,-22.283451,-29.185795,0
2022-05-18T03:02:00.000+02:00,-22.278835,-29.178694,0
2022-05-18T03:03:00.000+02:00,-22.283096,-29.174788,0
2022-05-18T03:04:00.000+02:00,-22.288778,-29.182955,0
2022-05-18T03:05:00.000+02:00,-22.287714,-29.186152,0
2022-05-18T03:06:00.000+02:00,-22.284872,-29.183664,0
2022-05-18T03:07:00.000+02:00,-22.278126,-29.187927,0
2022-05-18T03:08:00.000+02:00,-22.287714,-29.183666,0
2022-05-18T03:09:00.000+02:00,-22.29375,-29.186861,0
2022-05-18T03:10:00.000+02:00,-22.289133,-29.18118,0
2022-05-18T03:11:00.000+02:00,-22.282742,-29.1826,0
2022-05-18T03:12:00.000+02:00,-22.29375,-29.180824,0
2022-05-18T03:13:00.000+02:00,-22.27635,-29.174788,0
2022-05-18T03:14:00.000+02:00,-22.272087,-29.177982,0
2022-05-18T03:15:00.000+02:00,-22.275995,-29.178337,0
2022-05-18T03:16:00.000+02:00,-22.287712,-29.18047,0
2022-05-18T03:17:00.000+02:00,-22.289133,-29.168396,0
2022-05-18T03:18:00.000+02:00,-22.330326,-29.158806,0
2022-05-18T03:19:00.000+02:00,-22.325356,-29.153126,0
2022-05-18T03:20:00.000+02:00,-22.279545,-29.166975,0
2022-05-18T03:21:00.000+02:00,-22.295881,-29.179758,0
2022-05-18T03:22:00.000+02:00,-22.29943,-29.18047,0
2022-05-18T03:23:00.000+02:00,-22.304403,-29.176918,0
2022-05-18T03:24:00.000+02:00,-22.30547,-29.171236,0
2022-05-18T03:25:00.000+02:00,-22.290554,-29.18331,0
2022-05-18T03:26:00.000+02:00,-22.282742,-29.183664,0
2022-05-18T03:27:00.000+02:00,-22.282387,-29.182243,0
2022-05-18T03:28:00.000+02:00,-22.288424,-29.171946,0
2022-05-18T03:29:00.000+02:00,-22.29659,-29.176563,0
2022-05-18T03:30:00.000+02:00,-22.29375,-29.1723,0
2022-05-18T03:31:00.000+02:00,-22.280611,-29.17159,0
2022-05-18T03:32:00.000+02:00,-22.328196,-29.186506,0
2022-05-18T03:33:00.000+02:00,-22.279902,-29.172302,0
2022-05-18T03:34:00.000+02:00,-22.286648,-29.173721,1
