_c0,signal_std_final,signal_rad_final,pluie
2022-06-07T02:52:00.000+02:00,-22.215626,-29.191122,0
2022-06-07T02:53:00.000+02:00,-22.215626,-29.191122,0
2022-06-07T02:54:00.000+02:00,-22.218111,-29.190056,0
2022-06-07T02:55:00.000+02:00,-22.219175,-29.188637,0
2022-06-07T02:56:00.000+02:00,-22.214205,-29.191122,0
2022-06-07T02:57:00.000+02:00,-22.21456,-29.190413,0
2022-06-07T02:58:00.000+02:00,-22.220951,-29.192188,0
2022-06-07T02:59:00.000+02:00,-22.218822,-29.191833,0
2022-06-07T03:00:00.000+02:00,-22.213139,-29.19041,0
2022-06-07T03:01:00.000+02:00,-22.207457,-29.179403,0
2022-06-07T03:02:00.000+02:00,-22.209232,-29.17976,0
2022-06-07T03:03:00.000+02:00,-22.197514,-29.180824,0
2022-06-07T03:04:00.000+02:00,-22.202131,-29.177628,0
2022-06-07T03:05:00.000+02:00,-22.204262,-29.173367,0
2022-06-07T03:06:00.000+02:00,-22.203196,-29.168396,0
2022-06-07T03:07:00.000+02:00,-22.198225,-29.168396,0
2022-06-07T03:08:00.000+02:00,-22.195383,-29.171236,0
2022-06-07T03:09:00.000+02:00,-22.19858,-29.166264,0
2022-06-07T03:10:00.000+02:00,-22.200356,-29.160227,0
2022-06-07T03:11:00.000+02:00,-22.192188,-29.162357,0
2022-06-07T03:12:00.000+02:00,-22.190413,-29.160938,0
2022-06-07T03:13:00.000+02:00,-22.188637,-29.158453,0
2022-06-07T03:14:00.000+02:00,-22.193253,-29.15348,0
2022-06-07T03:15:00.000+02:00,-22.193607,-29.151705,0
2022-06-07T03:16:00.000+02:00,-22.197868,-29.155966,0
2022-06-07T03:17:00.000+02:00,-22.185795,-29.154545,0
2022-06-07T03:18:00.000+02:00,-22.191122,-29.150639,0
2022-06-07T03:19:00.000+02:00,-22.196095,-29.152414,0
2022-06-07T03:20:00.000+02:00,-22.19645,-29.155611,0
2022-06-07T03:21:00.000+02:00,-22.201065,-29.158096,0
2022-06-07T03:22:00.000+02:00,-22.207813,-29.158451,0
2022-06-07T03:23:00.000+02:00,-22.19787,-29.148508,0
2022-06-07T03:24:00.000+02:00,-22.192898,-29.15419,0
2022-06-07T03:25:00.000+02:00,-22.196095,-29.150284,0
2022-06-07T03:26:00.000+02:00,-22.193253,-29.153835,0
2022-06-07T03:27:00.000+02:00,-22.191122,-29.15206,0
2022-06-07T03:28:00.000+02:00,-22.198225,-29.147799,0
2022-06-07T03:29:00.000+02:00,-22.190413,-29.150993,0
2022-06-07T03:30:00.000+02:00,-22.188992,-29.15277,0
