_c0,signal_std_final,signal_rad_final,pluie
2022-05-18T14:52:00.000+02:00,-22.491903,-29.64034,0
2022-05-18T14:53:00.000+02:00,-22.484802,-29.653835,0
2022-05-18T14:54:00.000+02:00,-22.506462,-29.650639,0
2022-05-18T14:55:00.000+02:00,-22.489063,-29.654902,0
2022-05-18T14:56:00.000+02:00,-22.493324,-29.653124,0
2022-05-18T14:57:00.000+02:00,-22.4777,-29.648865,0
2022-05-18T14:58:00.000+02:00,-22.474148,-29.639275,0
2022-05-18T14:59:00.000+02:00,-22.457458,-29.627913,0
2022-05-18T15:00:00.000+02:00,-22.449646,-29.619745,0
2022-05-18T15:01:00.000+02:00,-22.446095,-29.612997,0
2022-05-18T15:02:00.000+02:00,-22.438637,-29.608736,0
2022-05-18T15:03:00.000+02:00,-22.440767,-29.601988,0
2022-05-18T15:04:00.000+02:00,-22.436506,-29.594175,0
2022-05-18T15:05:00.000+02:00,-22.427273,-29.593466,0
2022-05-18T15:06:00.000+02:00,-22.424786,-29.584944,0
2022-05-18T15:07:00.000+02:00,-22.467756,-29.576775,0
2022-05-18T15:08:00.000+02:00,-22.438637,-29.593111,0
2022-05-18T15:09:00.000+02:00,-22.45142,-29.60554,0
2022-05-18T15:10:00.000+02:00,-22.45142,-29.628267,0
2022-05-18T15:11:00.000+02:00,-22.460299,-29.626492,0
2022-05-18T15:12:00.000+02:00,-22.444319,-29.618324,0
2022-05-18T15:13:00.000+02:00,-22.443962,-29.615128,0
2022-05-18T15:14:00.000+02:00,-22.452486,-29.613708,0
2022-05-18T15:15:00.000+02:00,-22.454262,-29.61868,0
2022-05-18T15:16:00.000+02:00,-22.448225,-29.590626,0
2022-05-18T15:17:00.000+02:00,-22.45,-29.609446,0
2022-05-18T15:18:00.000+02:00,-22.467756,-29.618324,0
2022-05-18T15:19:00.000+02:00,-22.451065,-29.623295,0
2022-05-18T15:20:00.000+02:00,-22.456747,-29.626846,0
2022-05-18T15:21:00.000+02:00,-22.439701,-29.63821,0
2022-05-18T15:22:00.000+02:00,-22.4674,-29.637856,0
