_c0,signal_std_final,signal_rad_final,pluie
2022-06-09T02:52:00.000+02:00,-22.408806,-29.393538,0
2022-06-09T02:53:00.000+02:00,-22.409872,-29.392826,0
2022-06-09T02:54:00.000+02:00,-22.404545,-29.394602,0
2022-06-09T02:55:00.000+02:00,-22.400639,-29.389277,0
2022-06-09T02:56:00.000+02:00,-22.412003,-29.392471,0
2022-06-09T02:57:00.000+02:00,-22.402771,-29.38821,0
2022-06-09T02:58:00.000+02:00,-22.404545,-29.391052,0
2022-06-09T02:59:00.000+02:00,-22.398508,-29.392826,0
2022-06-09T03:00:00.000+02:00,-22.401705,-29.394247,0
2022-06-09T03:01:00.000+02:00,-22.4049,-29.391762,0
2022-06-09T03:02:00.000+02:00,-22.396732,-29.394602,0
2022-06-09T03:03:00.000+02:00,-22.405256,-29.397444,0
2022-06-09T03:04:00.000+02:00,-22.40206,-29.398863,0
2022-06-09T03:05:00.000+02:00,-22.414133,-29.404545,0
2022-06-09T03:06:00.000+02:00,-22.413069,-29.397444,0
2022-06-09T03:07:00.000+02:00,-22.408451,-29.398153,0
2022-06-09T03:08:00.000+02:00,-22.40632,-29.39318,0
2022-06-09T03:09:00.000+02:00,-22.412357,-29.394602,0
2022-06-09T03:10:00.000+02:00,-22.414133,-29.397444,0
2022-06-09T03:11:00.000+02:00,-22.409517,-29.395668,0
2022-06-09T03:12:00.000+02:00,-22.413067,-29.394604,0
2022-06-09T03:13:00.000+02:00,-22.413778,-29.397799,0
2022-06-09T03:14:00.000+02:00,-22.425497,-29.385014,0
2022-06-09T03:15:00.000+02:00,-22.43118,-29.376492,0
2022-06-09T03:16:00.000+02:00,-22.409517,-29.377201,0
2022-06-09T03:17:00.000+02:00,-22.419815,-29.382174,0
2022-06-09T03:18:00.000+02:00,-22.418396,-29.385723,0
2022-06-09T03:19:00.000+02:00,-22.414845,-29.380398,0
2022-06-09T03:20:00.000+02:00,-22.43757,-29.375782,0
2022-06-09T03:21:00.000+02:00,-22.42017,-29.378267,0
2022-06-09T03:22:00.000+02:00,-22.410229,-29.387856,0
